Sun Feb 26 15:09:50 2017

Number of Points = 3620
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.626921	-0.087532	0.000000	-0.000106	0.281437

0.586821	-0.082194	0.005005	-0.000096	0.281426
0.708986	-0.128286	0.010010	-0.000126	0.281338
0.720186	-0.191636	0.015014	-0.000129	0.281093
0.534559	-0.152844	0.020019	-0.000083	0.281102
0.464697	-0.174717	0.025024	-0.000066	0.280960
0.397601	-0.207167	0.030029	-0.000050	0.280777
0.423285	-0.209149	0.035034	-0.000056	0.280789
0.269958	-0.251774	0.040038	-0.000018	0.280498
0.316893	-0.268375	0.045043	-0.000029	0.280468
0.317110	-0.311860	0.050048	-0.000029	0.280294
0.223417	-0.325325	0.055053	-0.000006	0.280166
0.248326	-0.381056	0.060058	-0.000012	0.279961
0.427413	-0.452187	0.065062	-0.000056	0.279817
0.306072	-0.497863	0.070067	-0.000026	0.279538
0.257135	-0.534988	0.075072	-0.000014	0.279350
0.275349	-0.581509	0.080077	-0.000018	0.279177
0.310002	-0.633009	0.085082	-0.000027	0.278997
0.314565	-0.717630	0.090086	-0.000028	0.278659
0.345420	-0.786649	0.095091	-0.000035	0.278405
0.304687	-0.849590	0.100096	-0.000025	0.278119
0.232874	-0.907898	0.105101	-0.000007	0.277826
0.126913	-0.958534	0.110106	0.000019	0.277537
0.151162	-1.042746	0.115110	0.000013	0.277215
0.060666	-1.101091	0.120115	0.000035	0.276906
0.119811	-1.187592	0.125120	0.000021	0.276602
0.077749	-1.266854	0.130125	0.000032	0.276247
-0.121613	-1.309206	0.135130	0.000080	0.275915
-0.195426	-1.379994	0.140134	0.000099	0.275567
-0.295833	-1.437205	0.145139	0.000123	0.275253
-0.291906	-1.520025	0.150144	0.000123	0.274918
-0.370276	-1.598659	0.155149	0.000142	0.274534
-0.475611	-1.654998	0.160154	0.000168	0.274218
-0.459279	-1.732160	0.165158	0.000164	0.273915
-0.468037	-1.822152	0.170163	0.000166	0.273539
-0.534408	-1.900722	0.175168	0.000183	0.273162
-0.769330	-1.942897	0.180173	0.000240	0.272799
-1.612783	-1.864209	0.185178	0.000446	0.272440
-2.549612	-1.743203	0.190182	0.000675	0.272180
-3.092771	-1.651887	0.195187	0.000808	0.272116
-3.189779	-1.631570	0.200192	0.000832	0.272121
-3.302634	-1.679048	0.205197	0.000860	0.271833
-3.459749	-1.653817	0.210202	0.000898	0.271809
-3.403463	-1.667102	0.215206	0.000884	0.271800
-2.674198	-1.864113	0.220211	0.000706	0.271578
-2.547875	-1.927547	0.225216	0.000676	0.271418
-2.371903	-2.039264	0.230221	0.000633	0.271098
-1.880747	-2.217871	0.235226	0.000513	0.270757
-2.055110	-2.265597	0.240230	0.000556	0.270417
-2.074626	-2.346335	0.245235	0.000561	0.270065
-2.606169	-2.325861	0.250240	0.000691	0.269716
-3.166273	-2.287961	0.255245	0.000828	0.269415
-3.752191	-2.201564	0.260250	0.000971	0.269295
-4.427301	-2.127578	0.265254	0.001136	0.269050
-5.192885	-1.976293	0.270259	0.001323	0.269053
-6.044856	-1.808229	0.275264	0.001531	0.269055
-6.285677	-1.733490	0.280269	0.001590	0.269169
-6.122475	-1.733227	0.285274	0.001550	0.269304
-6.788144	-1.605109	0.290278	0.001713	0.269292
-6.742114	-1.559858	0.295283	0.001702	0.269518
-6.269497	-1.629706	0.300288	0.001586	0.269614
-5.966525	-1.693076	0.305293	0.001513	0.269597
-5.727674	-1.736202	0.310298	0.001454	0.269613
-5.080739	-1.875696	0.315302	0.001297	0.269561
-4.628256	-2.029179	0.320307	0.001186	0.269291
-4.313740	-2.127971	0.325312	0.001110	0.269137
-4.475775	-2.166040	0.330317	0.001149	0.268845
-4.673948	-2.189942	0.335322	0.001198	0.268582
-5.009570	-2.178525	0.340326	0.001280	0.268354
-4.941775	-2.259290	0.345331	0.001264	0.268071
-5.165079	-2.269607	0.350336	0.001318	0.267844
-6.126839	-2.102687	0.355341	0.001553	0.267751
-6.903383	-2.020504	0.360346	0.001743	0.267455
-7.613505	-1.854282	0.365350	0.001916	0.267566
-7.738669	-1.778691	0.370355	0.001947	0.267780
-8.589980	-1.609221	0.375360	0.002155	0.267789
-8.643197	-1.572384	0.380365	0.002168	0.267899
-7.826735	-1.688128	0.385370	0.001969	0.268086
-7.839999	-1.688219	0.390374	0.001972	0.268074
-7.451441	-1.764524	0.395379	0.001877	0.268074
-6.995626	-1.859455	0.400384	0.001766	0.268051
-6.836862	-1.956457	0.405389	0.001728	0.267775
-6.543172	-2.030950	0.410394	0.001656	0.267704
-6.668661	-2.067138	0.415398	0.001687	0.267449
-6.237494	-2.212747	0.420403	0.001582	0.267193
-6.802457	-2.153413	0.425408	0.001720	0.266975
-7.395723	-2.073671	0.430413	0.001865	0.266820
-7.489475	-2.114757	0.435418	0.001888	0.266569
-8.340495	-1.958819	0.440422	0.002096	0.266521
-8.891945	-1.849946	0.445427	0.002231	0.266523
-8.883972	-1.849746	0.450432	0.002229	0.266530
-8.605363	-1.906181	0.455437	0.002161	0.266522
-8.683998	-1.887433	0.460442	0.002180	0.266536
-8.976199	-1.849081	0.465446	0.002252	0.266455
-9.400397	-1.822216	0.470451	0.002355	0.266217
-9.463473	-1.735059	0.475456	0.002371	0.266531
-9.417578	-1.747592	0.480461	0.002360	0.266516
-9.030578	-1.885021	0.485466	0.002265	0.266257
