Sun Feb 26 15:38:41 2017

Number of Points = 3617
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.521775	-0.028013	0.000000	-0.000041	0.283640

0.527245	-0.031147	0.005005	-0.000042	0.283632
0.453533	-0.019958	0.010010	-0.000024	0.283618
0.412746	-0.011344	0.015014	-0.000014	0.283621
0.451363	-0.017835	0.020019	-0.000023	0.283625
0.465920	-0.033143	0.025024	-0.000027	0.283575
0.518258	-0.110206	0.030029	-0.000039	0.283311
0.277924	-0.065107	0.035034	0.000019	0.283302
0.390537	-0.098964	0.040038	-0.000008	0.283256
0.376494	-0.164306	0.045043	-0.000005	0.282986
0.424980	-0.176380	0.050048	-0.000016	0.282975
0.443390	-0.242533	0.055053	-0.000021	0.282727
0.388719	-0.245675	0.060058	-0.000007	0.282672
0.355090	-0.318789	0.065062	0.000001	0.282355
0.420696	-0.360112	0.070067	-0.000015	0.282242
0.333786	-0.394218	0.075072	0.000006	0.282038
0.494068	-0.492271	0.080077	-0.000033	0.281773
0.287727	-0.505472	0.085082	0.000018	0.281559
0.275533	-0.551868	0.090086	0.000021	0.281364
0.322575	-0.627003	0.095091	0.000009	0.281101
0.257407	-0.695319	0.100096	0.000025	0.280777
0.223874	-0.750251	0.105101	0.000034	0.280530
0.111185	-0.794996	0.110106	0.000061	0.280263
0.246139	-0.892452	0.115110	0.000028	0.279978
0.274143	-0.972452	0.120115	0.000022	0.279679
0.140918	-1.030437	0.125120	0.000054	0.279341
0.143756	-1.093475	0.130125	0.000054	0.279090
0.151273	-1.171720	0.135130	0.000052	0.278781
0.001731	-1.230663	0.140134	0.000089	0.278425
0.046080	-1.323798	0.145139	0.000078	0.278084
-0.026448	-1.402486	0.150144	0.000096	0.277709
-0.104171	-1.482169	0.155149	0.000115	0.277325
-0.255459	-1.539901	0.160154	0.000152	0.276971
-0.142019	-1.649528	0.165158	0.000124	0.276616
-0.080515	-1.754750	0.170163	0.000109	0.276238
-0.318665	-1.818182	0.175168	0.000168	0.275790
-0.408572	-1.896239	0.180173	0.000190	0.275400
-0.462081	-1.980092	0.185178	0.000203	0.275015
-0.706011	-2.025113	0.190182	0.000263	0.274635
-0.701742	-2.118436	0.195187	0.000262	0.274257
-0.836873	-2.174302	0.200192	0.000295	0.273919
-1.018464	-2.230664	0.205197	0.000339	0.273542
-1.409970	-2.243948	0.210202	0.000435	0.273171
-1.880685	-2.229292	0.215206	0.000550	0.272851
-1.972444	-2.280046	0.220211	0.000573	0.272568
-2.523465	-2.240111	0.225216	0.000707	0.272286
