Sun Feb 26 14:53:22 2017

Number of Points = 3612
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.239943	0.105714	0.000000	0.000070	0.284995

0.239301	0.144382	0.005005	0.000071	0.285146
0.105085	0.167761	0.010010	0.000104	0.285133
0.211317	0.149558	0.015014	0.000078	0.285143
0.206692	0.149203	0.020019	0.000079	0.285137
0.256591	0.139147	0.025024	0.000067	0.285135
0.353457	0.058117	0.030029	0.000044	0.284890
0.309795	0.045097	0.035034	0.000055	0.284804
0.380503	0.034714	0.040038	0.000038	0.284817
0.370264	0.032249	0.045043	0.000041	0.284799
0.384943	-0.046213	0.050048	0.000038	0.284500
0.375550	-0.041546	0.055053	0.000040	0.284510
0.393883	-0.098960	0.060058	0.000036	0.284297
0.489094	-0.141767	0.065062	0.000013	0.284201
0.393355	-0.171520	0.070067	0.000037	0.284008
0.337601	-0.177732	0.075072	0.000051	0.283939
0.275250	-0.245434	0.080077	0.000066	0.283622
0.078352	-0.237466	0.085082	0.000115	0.283500
0.175962	-0.306306	0.090086	0.000091	0.283303
0.163881	-0.364689	0.095091	0.000094	0.283061
0.100019	-0.397598	0.100096	0.000110	0.282880
0.174685	-0.461082	0.105101	0.000092	0.282685
0.084139	-0.526671	0.110106	0.000115	0.282353
0.068722	-0.577370	0.115110	0.000119	0.282139
0.107609	-0.648409	0.120115	0.000110	0.281886
-0.004111	-0.694556	0.125120	0.000137	0.281613
-0.086047	-0.742950	0.130125	0.000158	0.281356
0.030889	-0.848031	0.135130	0.000129	0.281027
-0.020633	-0.914316	0.140134	0.000142	0.280721
-0.043783	-0.989610	0.145139	0.000148	0.280401
-0.017097	-1.076954	0.150144	0.000142	0.280071
-0.085766	-1.147675	0.155149	0.000159	0.279732
-0.211210	-1.208482	0.160154	0.000190	0.279389
-0.165117	-1.287572	0.165158	0.000179	0.279106
-0.254848	-1.353413	0.170163	0.000201	0.278770
-0.243095	-1.447999	0.175168	0.000199	0.278397
-0.343029	-1.528562	0.180173	0.000224	0.277992
-0.431758	-1.605460	0.185178	0.000246	0.277610
-0.549681	-1.672004	0.190182	0.000275	0.277246
-0.773158	-1.717877	0.195187	0.000330	0.276882
-0.853605	-1.789877	0.200192	0.000350	0.276525
