Sun Feb 26 15:56:19 2017

Number of Points = 3625
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.027583	0.006137	0.000000	0.000008	0.283960

0.083880	-0.013449	0.005005	-0.000019	0.283969
0.098016	-0.016409	0.010010	-0.000022	0.283968
0.046414	-0.007604	0.015014	-0.000010	0.283963
0.124503	-0.020428	0.020019	-0.000029	0.283973
0.146531	-0.027807	0.025024	-0.000034	0.283960
0.237520	-0.118322	0.030029	-0.000056	0.283673
0.158469	-0.112258	0.035034	-0.000037	0.283636
0.190358	-0.151952	0.040038	-0.000045	0.283503
0.211589	-0.202860	0.045043	-0.000050	0.283318
0.216484	-0.235340	0.050048	-0.000051	0.283193
0.185782	-0.279205	0.055053	-0.000043	0.282995
0.152492	-0.315525	0.060058	-0.000035	0.282825
0.044301	-0.328989	0.065062	-0.000009	0.282687
0.165498	-0.427085	0.070067	-0.000038	0.282392
0.108479	-0.465135	0.075072	-0.000024	0.282196
0.025797	-0.493349	0.080077	-0.000004	0.282019
-0.046088	-0.548708	0.085082	0.000014	0.281743
0.118163	-0.641441	0.090086	-0.000026	0.281502
-0.008878	-0.678337	0.095091	0.000005	0.281255
-0.058082	-0.738680	0.100096	0.000017	0.280975
-0.109233	-0.794857	0.105101	0.000029	0.280711
-0.033589	-0.882220	0.110106	0.000011	0.280421
-0.112716	-0.941947	0.115110	0.000030	0.280119
0.010871	-1.044179	0.120115	0.000000	0.279806
0.035732	-1.137900	0.125120	-0.000006	0.279450
-0.177240	-1.170271	0.130125	0.000046	0.279152
-0.061769	-1.264777	0.135130	0.000018	0.278863
-0.171799	-1.340496	0.140134	0.000045	0.278471
-0.003767	-1.461563	0.145139	0.000004	0.278115
-0.132500	-1.541897	0.150144	0.000036	0.277689
-0.179871	-1.634132	0.155149	0.000047	0.277278
-0.353011	-1.691491	0.160154	0.000090	0.276908
-0.535188	-1.749317	0.165158	0.000134	0.276528
-0.863608	-1.779327	0.170163	0.000215	0.276144
-1.271484	-1.785913	0.175168	0.000314	0.275792
-1.820533	-1.747554	0.180173	0.000449	0.275508
-2.059244	-1.760339	0.185178	0.000507	0.275265
-2.294450	-1.757165	0.190182	0.000564	0.275090
-2.460815	-1.773327	0.195187	0.000605	0.274890
-2.703735	-1.796055	0.200192	0.000664	0.274602
-2.750807	-1.804638	0.205197	0.000676	0.274529
-3.127577	-1.796422	0.210202	0.000768	0.274260
-3.025681	-1.838114	0.215206	0.000743	0.274171
-3.326095	-1.810607	0.220211	0.000817	0.274042
-3.131562	-1.894535	0.225216	0.000769	0.273855
-3.373501	-1.883551	0.230221	0.000828	0.273705
-3.450790	-1.924953	0.235226	0.000847	0.273473
-3.635069	-1.910992	0.240230	0.000892	0.273381
-3.774149	-1.950876	0.245235	0.000926	0.273105
-4.184158	-1.880298	0.250240	0.001027	0.273064
-4.247484	-1.915499	0.255245	0.001042	0.272868
-4.662937	-1.858218	0.260250	0.001144	0.272768
-4.783639	-1.836984	0.265254	0.001173	0.272758
-4.843560	-1.826909	0.270259	0.001188	0.272750
-5.506118	-1.773491	0.275264	0.001350	0.272434
-5.788863	-1.717353	0.280269	0.001419	0.272437
-5.921847	-1.634275	0.285274	0.001451	0.272671
-5.336199	-1.790150	0.290278	0.001308	0.272503
-5.714226	-1.729877	0.295283	0.001401	0.272445
-6.048692	-1.667522	0.300288	0.001482	0.272431
-5.504200	-1.772581	0.305293	0.001349	0.272439
-5.497143	-1.772528	0.310298	0.001348	0.272445
-5.817755	-1.770657	0.315302	0.001426	0.272193
-6.144550	-1.721724	0.320307	0.001506	0.272130
-6.129132	-1.727057	0.325312	0.001502	0.272120
-5.832102	-1.784030	0.330317	0.001430	0.272126
-6.118419	-1.745931	0.335322	0.001500	0.272051
-6.216254	-1.785661	0.340326	0.001523	0.271807
-5.825100	-1.860203	0.345331	0.001428	0.271817
-6.308335	-1.816661	0.350336	0.001546	0.271604
-6.374948	-1.826088	0.355341	0.001562	0.271511
-5.971022	-1.920148	0.360346	0.001464	0.271450
-6.659333	-1.852556	0.365350	0.001632	0.271170
-6.750570	-1.831160	0.370355	0.001654	0.271185
-6.620820	-1.884058	0.375360	0.001623	0.271071
-6.768762	-1.906190	0.380365	0.001659	0.270859
-7.251405	-1.809673	0.385370	0.001777	0.270866
-7.537549	-1.756154	0.390374	0.001847	0.270855
-7.456814	-1.815821	0.395379	0.001827	0.270673
-7.957809	-1.749612	0.400384	0.001949	0.270539
-8.126730	-1.714879	0.405389	0.001991	0.270545
-8.144405	-1.709567	0.410394	0.001995	0.270553
-8.214825	-1.698797	0.415398	0.002012	0.270540
-8.278132	-1.681820	0.420403	0.002028	0.270559
-8.269457	-1.686497	0.425408	0.002026	0.270546
-7.872380	-1.763510	0.430413	0.001929	0.270551
-7.996610	-1.793763	0.435418	0.001959	0.270324
-8.430487	-1.728523	0.440422	0.002065	0.270240
-8.281809	-1.754838	0.445427	0.002029	0.270252
-8.227747	-1.793224	0.450432	0.002016	0.270137
-8.612945	-1.770327	0.455437	0.002110	0.269917
-8.406343	-1.809519	0.460442	0.002059	0.269923
