Sun Feb 26 14:50:07 2017

Number of Points = 3617
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.050544	0.060688	0.000000	0.000074	0.278655

0.081887	0.036388	0.005005	0.000042	0.278661
0.131805	0.024019	0.010010	0.000030	0.278650
0.152377	0.022660	0.015014	0.000025	0.278660
0.294743	-0.006498	0.020019	-0.000009	0.278655
0.359274	-0.081024	0.025024	-0.000025	0.278405
0.480476	-0.118407	0.030029	-0.000054	0.278349
0.349207	-0.095953	0.035034	-0.000022	0.278335
0.486029	-0.188127	0.040038	-0.000055	0.278071
0.483509	-0.200187	0.045043	-0.000054	0.278019
0.357135	-0.237916	0.050048	-0.000023	0.277766
0.344910	-0.245839	0.055053	-0.000020	0.277723
0.241607	-0.302305	0.060058	0.000006	0.277412
0.147836	-0.292060	0.065062	0.000029	0.277378
0.090425	-0.354805	0.070067	0.000043	0.277078
0.056715	-0.368994	0.075072	0.000052	0.276993
-0.019520	-0.409806	0.080077	0.000070	0.276766
-0.032541	-0.451975	0.085082	0.000074	0.276584
-0.083199	-0.473760	0.090086	0.000087	0.276454
-0.095941	-0.550078	0.095091	0.000090	0.276133
-0.058395	-0.605038	0.100096	0.000081	0.275939
0.042911	-0.677729	0.105101	0.000057	0.275723
0.002850	-0.738229	0.110106	0.000067	0.275444
0.017343	-0.804392	0.115110	0.000063	0.275185
-0.074769	-0.861883	0.120115	0.000086	0.274876
0.021121	-0.954928	0.125120	0.000063	0.274572
0.043278	-1.034455	0.130125	0.000058	0.274264
0.068293	-1.107458	0.135130	0.000052	0.273984
-0.029211	-1.174984	0.140134	0.000076	0.273628
-0.130497	-1.238352	0.145139	0.000101	0.273286
-0.177647	-1.317485	0.150144	0.000113	0.272922
-0.155676	-1.404573	0.155149	0.000108	0.272580
-0.196882	-1.490934	0.160154	0.000118	0.272190
-0.350311	-1.551646	0.165158	0.000156	0.271814
-0.444594	-1.626197	0.170163	0.000179	0.271429
-0.286647	-1.753661	0.175168	0.000141	0.271029
-0.413523	-1.819990	0.180173	0.000172	0.270650
-0.548762	-1.892859	0.185178	0.000206	0.270237
-0.595717	-1.984310	0.190182	0.000217	0.269818
-0.599979	-2.077033	0.195187	0.000219	0.269427
-0.826758	-2.113384	0.200192	0.000274	0.269089
-1.065860	-2.168867	0.205197	0.000333	0.268661
-1.798251	-2.106529	0.210202	0.000512	0.268319
-1.858044	-2.164910	0.215206	0.000527	0.268024
-2.138987	-2.176941	0.220211	0.000596	0.267742
-2.462744	-2.182031	0.225216	0.000675	0.267453
-2.672279	-2.204567	0.230221	0.000727	0.267185
-2.949553	-2.200530	0.235226	0.000795	0.266972
-3.288103	-2.166439	0.240230	0.000878	0.266835
-3.927953	-2.106075	0.245235	0.001034	0.266559
-4.425202	-2.015645	0.250240	0.001156	0.266527
-4.609264	-1.977475	0.255245	0.001201	0.266535
-4.595476	-1.982225	0.260250	0.001198	0.266525
-4.500697	-2.016334	0.265254	0.001175	0.266459
-5.022667	-1.975850	0.270259	0.001303	0.266197
-4.794838	-2.021948	0.275264	0.001247	0.266191
-4.850098	-2.008148	0.280269	0.001261	0.266202
-4.596130	-2.064420	0.285274	0.001199	0.266175
-4.646687	-2.121747	0.290278	0.001212	0.265890
-4.831875	-2.085989	0.295283	0.001257	0.265886
-4.671675	-2.168609	0.300288	0.001219	0.265670
-5.161029	-2.095293	0.305293	0.001338	0.265572
-5.712027	-1.989271	0.310298	0.001473	0.265562
-6.149496	-1.901570	0.315302	0.001580	0.265568
-6.424690	-1.847966	0.320307	0.001648	0.265566
-6.418852	-1.849600	0.325312	0.001646	0.265563
-6.569686	-1.817730	0.330317	0.001684	0.265571
-6.476238	-1.838949	0.335322	0.001661	0.265559
-6.077513	-1.914243	0.340326	0.001564	0.265571
-5.964949	-1.964457	0.345331	0.001537	0.265451
-5.868903	-2.028723	0.350336	0.001513	0.265258
-5.558865	-2.100953	0.355341	0.001438	0.265210
-5.670474	-2.144224	0.360346	0.001465	0.264933
-5.229836	-2.272506	0.365350	0.001358	0.264755
-5.566952	-2.253462	0.370355	0.001441	0.264554
-5.608512	-2.301173	0.375360	0.001451	0.264316
-5.624533	-2.353770	0.380365	0.001455	0.264079
-5.949731	-2.344586	0.385370	0.001535	0.263845
-6.456020	-2.270078	0.390374	0.001659	0.263738
-6.939242	-2.245375	0.395379	0.001777	0.263438
-7.648554	-2.111053	0.400384	0.001951	0.263415
-8.339533	-1.971741	0.405389	0.002120	0.263430
