Sun Feb 26 15:26:09 2017

Number of Points = 3615
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.363361	0.018804	0.000000	0.000034	0.282328

0.207192	0.054325	0.005005	0.000072	0.282347
0.421756	0.014834	0.010010	0.000020	0.282357
0.417538	-0.033081	0.015014	0.000021	0.282163
0.390999	-0.059570	0.020019	0.000028	0.282037
0.378199	-0.053816	0.025024	0.000031	0.282049
0.395743	-0.060425	0.030029	0.000027	0.282036
0.302586	-0.039344	0.035034	0.000050	0.282047
0.397768	-0.094373	0.040038	0.000027	0.281902
0.425210	-0.143393	0.045043	0.000020	0.281728
0.465013	-0.148164	0.050048	0.000010	0.281740
0.408530	-0.210508	0.055053	0.000024	0.281447
0.311983	-0.195363	0.060058	0.000048	0.281431
0.398677	-0.273564	0.065062	0.000027	0.281187
0.304366	-0.278734	0.070067	0.000050	0.281092
0.420492	-0.370030	0.075072	0.000022	0.280818
0.331649	-0.388697	0.080077	0.000044	0.280673
0.337512	-0.441662	0.085082	0.000043	0.280466
0.150728	-0.468919	0.090086	0.000088	0.280209
0.282439	-0.537597	0.095091	0.000056	0.280038
0.254326	-0.584947	0.100096	0.000063	0.279825
0.256036	-0.660168	0.105101	0.000063	0.279525
0.243424	-0.721392	0.110106	0.000066	0.279268
0.178051	-0.759696	0.115110	0.000082	0.279062
0.153580	-0.819677	0.120115	0.000088	0.278801
0.208483	-0.904099	0.125120	0.000075	0.278504
0.165909	-0.974505	0.130125	0.000086	0.278187
0.148949	-1.048576	0.135130	0.000090	0.277874
0.186503	-1.136290	0.140134	0.000081	0.277549
0.053597	-1.199278	0.145139	0.000114	0.277188
-0.047651	-1.259907	0.150144	0.000139	0.276861
-0.277238	-1.297397	0.155149	0.000195	0.276526
-0.338092	-1.365667	0.160154	0.000210	0.276200
-0.422187	-1.432264	0.165158	0.000230	0.275862
-0.495912	-1.500086	0.170163	0.000249	0.275526
-0.563453	-1.562506	0.175168	0.000265	0.275218
-0.644053	-1.639270	0.180173	0.000285	0.274839
-0.576213	-1.737318	0.185178	0.000269	0.274493
-0.611523	-1.807378	0.190182	0.000278	0.274178
-0.744008	-1.861833	0.195187	0.000310	0.273848
-0.892684	-1.918882	0.200192	0.000346	0.273493
-1.035466	-1.980538	0.205197	0.000382	0.273125
