Sun Feb 26 15:35:45 2017

Number of Points = 3609
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.439157	0.011988	0.000000	0.000016	0.283291

0.392951	0.024121	0.005005	0.000027	0.283303
0.422690	0.017397	0.010010	0.000020	0.283299
0.458516	0.009203	0.015014	0.000011	0.283294
0.487189	0.005378	0.020019	0.000004	0.283301
0.313233	0.036039	0.025024	0.000047	0.283287
0.395027	0.022442	0.030029	0.000027	0.283297
0.371852	-0.052623	0.035034	0.000033	0.282981
0.384841	-0.058772	0.040038	0.000029	0.282966
0.247963	-0.028796	0.045043	0.000063	0.282979
0.199447	-0.065971	0.050048	0.000075	0.282793
0.217380	-0.098734	0.055053	0.000071	0.282677
0.165717	-0.088009	0.060058	0.000083	0.282679
0.185156	-0.164960	0.065062	0.000079	0.282388
0.307424	-0.198072	0.070067	0.000049	0.282352
0.288174	-0.263795	0.075072	0.000054	0.282075
0.372034	-0.308129	0.080077	0.000033	0.281964
0.279059	-0.352066	0.085082	0.000056	0.281716
0.350747	-0.421182	0.090086	0.000039	0.281497
0.254816	-0.450663	0.095091	0.000062	0.281304
0.264199	-0.511924	0.100096	0.000060	0.281067
0.246005	-0.581018	0.105101	0.000065	0.280776
0.149114	-0.628083	0.110106	0.000088	0.280512
0.019248	-0.663151	0.115110	0.000120	0.280269
-0.015352	-0.715125	0.120115	0.000129	0.280033
-0.121206	-0.759509	0.125120	0.000155	0.279772
-0.156316	-0.813655	0.130125	0.000163	0.279527
-0.255244	-0.873540	0.135130	0.000188	0.279208
-0.220526	-0.929084	0.140134	0.000179	0.279012
-0.231621	-0.996160	0.145139	0.000182	0.278733
-0.320163	-1.058324	0.150144	0.000204	0.278412
-0.365698	-1.125290	0.155149	0.000215	0.278106
-0.438070	-1.183964	0.160154	0.000233	0.277811
-0.453285	-1.264890	0.165158	0.000237	0.277472
-0.439272	-1.345807	0.170163	0.000233	0.277156
-0.490955	-1.421219	0.175168	0.000246	0.276809
-0.626025	-1.475893	0.180173	0.000279	0.276479
-0.882627	-1.515064	0.185178	0.000342	0.276115
-0.821752	-1.612701	0.190182	0.000327	0.275766
-0.885798	-1.681254	0.195187	0.000343	0.275436
-1.025455	-1.737884	0.200192	0.000377	0.275093
-1.208323	-1.785407	0.205197	0.000422	0.274752
-1.564759	-1.790001	0.210202	0.000509	0.274447
