Sun Feb 26 14:46:52 2017

Number of Points = 3608
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.512605	0.020770	0.000000	0.000024	0.281758

0.552248	0.011050	0.005005	0.000014	0.281750
0.620225	-0.002594	0.010010	-0.000002	0.281748
0.725885	-0.021033	0.015014	-0.000028	0.281757
0.569461	0.006987	0.020019	0.000010	0.281746
0.680343	-0.010724	0.025024	-0.000017	0.281762
0.542638	0.000218	0.030029	0.000017	0.281697
0.516181	-0.057928	0.035034	0.000024	0.281444
0.439264	-0.040403	0.040038	0.000043	0.281454
0.327416	-0.021477	0.045043	0.000070	0.281441
0.378697	-0.082410	0.050048	0.000058	0.281238
0.263611	-0.090452	0.055053	0.000086	0.281115
0.488337	-0.145712	0.060058	0.000031	0.281070
0.402042	-0.194835	0.065062	0.000052	0.280806
0.363740	-0.200511	0.070067	0.000062	0.280753
0.483578	-0.289192	0.075072	0.000033	0.280492
0.374285	-0.302594	0.080077	0.000060	0.280352
0.480746	-0.366691	0.085082	0.000034	0.280179
0.521572	-0.449769	0.090086	0.000024	0.279878
0.254906	-0.451620	0.095091	0.000089	0.279660
0.326328	-0.509316	0.100096	0.000072	0.279484
0.309616	-0.566537	0.105101	0.000076	0.279241
0.287793	-0.616894	0.110106	0.000082	0.279020
0.229930	-0.669609	0.115110	0.000096	0.278762
0.218746	-0.737995	0.120115	0.000099	0.278478
0.131201	-0.787086	0.125120	0.000120	0.278210
0.039594	-0.837476	0.130125	0.000143	0.277933
0.004546	-0.901253	0.135130	0.000152	0.277648
-0.080926	-0.958852	0.140134	0.000173	0.277346
-0.076397	-1.034988	0.145139	0.000172	0.277041
-0.047941	-1.114910	0.150144	0.000165	0.276740
-0.131024	-1.182129	0.155149	0.000185	0.276400
-0.297800	-1.231571	0.160154	0.000226	0.276066
-0.274264	-1.312919	0.165158	0.000221	0.275753
-0.208464	-1.414024	0.170163	0.000205	0.275394
-0.390338	-1.461284	0.175168	0.000250	0.275055
-0.609160	-1.500986	0.180173	0.000303	0.274717
-0.698857	-1.565185	0.185178	0.000325	0.274382
-0.537703	-1.660382	0.190182	0.000286	0.274122
-0.787663	-1.700833	0.195187	0.000347	0.273755
-0.868157	-1.772627	0.200192	0.000367	0.273395
-0.970578	-1.842627	0.205197	0.000392	0.273024
-1.181306	-1.882298	0.210202	0.000444	0.272690
-1.433659	-1.911863	0.215206	0.000506	0.272364
-2.276493	-1.802499	0.220211	0.000712	0.272132
-2.609755	-1.808048	0.225216	0.000793	0.271838
-2.982934	-1.740238	0.230221	0.000884	0.271815
-3.312246	-1.748163	0.235226	0.000965	0.271515
-3.421634	-1.724788	0.240230	0.000992	0.271522
-3.800524	-1.657363	0.245235	0.001084	0.271493
-3.919565	-1.707768	0.250240	0.001114	0.271187
-4.124600	-1.668553	0.255245	0.001164	0.271182
-4.064651	-1.681482	0.260250	0.001149	0.271177
-3.904495	-1.718206	0.265254	0.001110	0.271155
-3.939567	-1.781344	0.270259	0.001119	0.270865
-3.635606	-1.838491	0.275264	0.001045	0.270875
-3.941404	-1.855800	0.280269	0.001120	0.270554
-3.816828	-1.888352	0.285274	0.001090	0.270520
-3.995720	-1.915710	0.290278	0.001133	0.270260
-3.976396	-1.953659	0.295283	0.001129	0.270118
-4.389458	-1.916622	0.300288	0.001230	0.269934
-4.324761	-1.961813	0.305293	0.001214	0.269798
-4.700119	-1.931465	0.310298	0.001306	0.269617
-4.967885	-1.876160	0.315302	0.001372	0.269628
-5.509865	-1.846226	0.320307	0.001504	0.269309
-5.803618	-1.786505	0.325312	0.001576	0.269317
-6.139420	-1.721931	0.330317	0.001658	0.269310
-6.055435	-1.739187	0.335322	0.001638	0.269307
-6.364087	-1.676113	0.340326	0.001713	0.269317
-6.617699	-1.629378	0.345331	0.001775	0.269303
-6.269605	-1.695828	0.350336	0.001690	0.269311
-6.379204	-1.674639	0.355341	0.001717	0.269309
-6.251863	-1.700015	0.360346	0.001686	0.269307
-6.212694	-1.704748	0.365350	0.001677	0.269319
-6.017865	-1.749331	0.370355	0.001629	0.269293
-6.016699	-1.800363	0.375360	0.001629	0.269080
-6.235563	-1.758260	0.380365	0.001683	0.269076
-6.092739	-1.831968	0.385370	0.001648	0.268885
-6.395519	-1.806387	0.390374	0.001722	0.268743
-5.962612	-1.929024	0.395379	0.001616	0.268586
-6.234507	-1.913328	0.400384	0.001683	0.268428
-6.586228	-1.885281	0.405389	0.001769	0.268256
-7.118198	-1.818181	0.410394	0.001899	0.268099
-6.936160	-1.850698	0.415398	0.001855	0.268112
-7.334056	-1.804127	0.420403	0.001952	0.267979
-7.658475	-1.780941	0.425408	0.002031	0.267809
-7.679904	-1.777823	0.430413	0.002037	0.267804
-7.710125	-1.772903	0.435418	0.002044	0.267799
-8.085896	-1.696724	0.440422	0.002136	0.267808
-8.150818	-1.686126	0.445427	0.002152	0.267799
-7.891669	-1.741713	0.450432	0.002089	0.267779
-8.382509	-1.718466	0.455437	0.002209	0.267472
-8.205280	-1.753319	0.460442	0.002166	0.267471
-8.141205	-1.764640	0.465446	0.002150	0.267476
-7.986836	-1.797977	0.470451	0.002113	0.267463
-8.108021	-1.836308	0.475456	0.002142	0.267202
-8.568245	-1.754364	0.480461	0.002255	0.267166
-8.359673	-1.796904	0.485466	0.002204	0.267159
-8.248737	-1.873026	0.490470	0.002177	0.266930
-8.755856	-1.793717	0.495475	0.002301	0.266844
-8.565369	-1.836607	0.500480	0.002255	0.266821
-8.918919	-1.832711	0.505485	0.002341	0.266544
-9.136397	-1.789940	0.510490	0.002395	0.266544
-9.282447	-1.759245	0.515494	0.002430	0.266552
-9.169887	-1.824650	0.520499	0.002403	0.266369
-9.502463	-1.794313	0.525504	0.002484	0.266221
-9.552992	-1.785556	0.530509	0.002497	0.266216
-9.259883	-1.845210	0.535514	0.002425	0.266207
-9.619302	-1.824141	0.540518	0.002513	0.265997
-10.357673	-1.703988	0.545523	0.002694	0.265891
-10.150143	-1.741817	0.550528	0.002643	0.265904
-10.068069	-1.758753	0.555533	0.002623	0.265900
-10.041978	-1.765084	0.560538	0.002617	0.265894
-10.072950	-1.804271	0.565542	0.002625	0.265703
-10.474049	-1.756371	0.570547	0.002723	0.265572
-10.198009	-1.807039	0.575552	0.002655	0.265586
-10.432969	-1.761744	0.580557	0.002713	0.265582
-10.444751	-1.829682	0.585562	0.002716	0.265285
-10.449157	-1.829100	0.590566	0.002717	0.265283
-10.593376	-1.808538	0.595571	0.002753	0.265250
-10.820382	-1.834169	0.600576	0.002808	0.264952
-11.144791	-1.771315	0.605581	0.002887	0.264948
-11.383501	-1.725437	0.610586	0.002946	0.264943
-11.586914	-1.682954	0.615590	0.002996	0.264953
