Sun Feb 26 15:32:40 2017

Number of Points = 3609
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.434497	0.015634	0.000000	0.000016	0.282692

0.487796	0.006224	0.005005	0.000003	0.282696
0.701753	-0.038466	0.010010	-0.000049	0.282685
0.572403	-0.009847	0.015014	-0.000017	0.282697
0.640655	-0.024874	0.020019	-0.000034	0.282691
0.562530	-0.086186	0.025024	-0.000015	0.282386
0.606903	-0.099806	0.030029	-0.000025	0.282366
0.471150	-0.075603	0.035034	0.000008	0.282356
0.665904	-0.166982	0.040038	-0.000040	0.282145
0.554216	-0.169438	0.045043	-0.000012	0.282048
0.360499	-0.158480	0.050048	0.000035	0.281940
0.296111	-0.195029	0.055053	0.000051	0.281743
0.362965	-0.211863	0.060058	0.000035	0.281728
0.510754	-0.312322	0.065062	-0.000001	0.281444
0.292400	-0.292054	0.070067	0.000052	0.281353
0.172995	-0.330340	0.075072	0.000081	0.281107
0.248185	-0.373782	0.080077	0.000063	0.280992
0.197070	-0.415213	0.085082	0.000076	0.280786
0.217031	-0.480420	0.090086	0.000071	0.280541
0.193533	-0.518325	0.095091	0.000077	0.280370
0.273385	-0.585945	0.100096	0.000057	0.280162
0.331000	-0.674136	0.105101	0.000043	0.279854
0.233965	-0.724117	0.110106	0.000067	0.279577
0.197830	-0.778158	0.115110	0.000076	0.279331
0.204720	-0.837776	0.120115	0.000075	0.279097
0.241665	-0.913387	0.125120	0.000066	0.278821
0.222153	-0.989290	0.130125	0.000071	0.278500
0.005878	-1.028268	0.135130	0.000124	0.278171
0.107259	-1.122276	0.140134	0.000099	0.277872
-0.143530	-1.155708	0.145139	0.000160	0.277538
-0.203095	-1.223668	0.150144	0.000175	0.277215
-0.189904	-1.302202	0.155149	0.000172	0.276907
-0.327314	-1.358131	0.160154	0.000206	0.276571
-0.360850	-1.432034	0.165158	0.000214	0.276244
-0.435674	-1.503306	0.170163	0.000232	0.275894
-0.504228	-1.573319	0.175168	0.000249	0.275554
-0.609040	-1.638794	0.180173	0.000275	0.275203
-0.992330	-1.645910	0.185178	0.000369	0.274867
-1.552421	-1.602766	0.190182	0.000505	0.274593
-2.369509	-1.500350	0.195187	0.000705	0.274355
-2.319418	-1.531030	0.200192	0.000693	0.274270
-2.143576	-1.610492	0.205197	0.000650	0.274086
-2.612167	-1.539623	0.210202	0.000765	0.273999
-2.568834	-1.618561	0.215206	0.000754	0.273710
-1.747362	-1.819962	0.220211	0.000554	0.273545
-1.734163	-1.901905	0.225216	0.000551	0.273220
-1.905183	-1.943035	0.230221	0.000592	0.272912
-2.346937	-1.924802	0.235226	0.000700	0.272630
-2.365135	-1.983198	0.240230	0.000705	0.272374
-3.177893	-1.885694	0.245235	0.000904	0.272118
-3.469600	-1.867865	0.250240	0.000975	0.271955
-4.115622	-1.773900	0.255245	0.001133	0.271818
-4.075641	-1.785571	0.260250	0.001123	0.271802
-4.960023	-1.608761	0.265254	0.001339	0.271815
-6.015838	-1.402478	0.270259	0.001597	0.271810
-5.685854	-1.468052	0.275264	0.001516	0.271807
-5.751358	-1.397054	0.280269	0.001532	0.272046
-5.801443	-1.369309	0.285274	0.001545	0.272120
-5.690451	-1.388564	0.290278	0.001518	0.272130
-5.013725	-1.522671	0.295283	0.001352	0.272125
-4.043917	-1.742351	0.300288	0.001116	0.272005
-4.406064	-1.716714	0.305293	0.001204	0.271817
-4.237240	-1.805453	0.310298	0.001163	0.271587
-3.937659	-1.902696	0.315302	0.001090	0.271428
-4.269127	-1.901263	0.320307	0.001171	0.271164
-4.451151	-1.937766	0.325312	0.001216	0.270865
-5.135274	-1.826085	0.330317	0.001383	0.270770
-6.013015	-1.708605	0.335322	0.001597	0.270542
-6.166608	-1.674421	0.340326	0.001635	0.270558
-6.866454	-1.538508	0.345331	0.001806	0.270552
-6.964206	-1.520348	0.350336	0.001830	0.270547
-6.724087	-1.565084	0.355341	0.001771	0.270557
-6.812307	-1.551294	0.360346	0.001793	0.270542
-6.696563	-1.570718	0.365350	0.001765	0.270556
-6.365987	-1.637672	0.370355	0.001684	0.270547
-5.905556	-1.726868	0.375360	0.001572	0.270552
-6.105921	-1.742642	0.380365	0.001621	0.270323
-6.191979	-1.744877	0.385370	0.001642	0.270243
-5.590423	-1.919095	0.390374	0.001495	0.270010
-5.799739	-1.931786	0.395379	0.001546	0.269786
-6.311108	-1.874038	0.400384	0.001671	0.269608
-6.263960	-1.937906	0.405389	0.001660	0.269380
