Sun Feb 26 15:22:53 2017

Number of Points = 3610
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.569903	0.007313	0.000000	0.000010	0.282018

0.577287	0.008931	0.005005	0.000009	0.282030
0.504309	0.021463	0.010010	0.000026	0.282022
0.548331	0.014003	0.015014	0.000016	0.282027
0.600259	0.005117	0.020019	0.000003	0.282032
0.469690	0.028446	0.025024	0.000035	0.282022
0.431284	-0.030276	0.030029	0.000045	0.281758
0.469312	-0.049967	0.035034	0.000036	0.281709
0.580219	-0.071604	0.040038	0.000009	0.281709
0.572460	-0.097657	0.045043	0.000011	0.281599
0.402500	-0.112452	0.050048	0.000052	0.281407
0.450756	-0.118383	0.055053	0.000040	0.281421
0.506627	-0.205867	0.060058	0.000027	0.281115
0.493014	-0.212285	0.065062	0.000030	0.281079
0.417875	-0.270341	0.070067	0.000049	0.280787
0.264330	-0.250972	0.075072	0.000087	0.280744
0.373242	-0.345554	0.080077	0.000060	0.280451
0.389907	-0.379691	0.085082	0.000056	0.280327
0.439168	-0.434554	0.090086	0.000044	0.280146
0.374901	-0.501509	0.095091	0.000060	0.279826
0.386428	-0.558501	0.100096	0.000057	0.279607
0.347593	-0.605038	0.105101	0.000067	0.279389
0.317358	-0.655279	0.110106	0.000075	0.279163
0.442870	-0.734434	0.115110	0.000044	0.278943
0.237535	-0.768773	0.120115	0.000094	0.278642
0.152820	-0.831912	0.125120	0.000115	0.278321
0.222071	-0.914881	0.130125	0.000098	0.278040
0.137602	-0.973404	0.135130	0.000119	0.277737
0.119754	-1.049886	0.140134	0.000124	0.277413
0.050482	-1.113796	0.145139	0.000141	0.277099
-0.063620	-1.173394	0.150144	0.000169	0.276766
-0.096432	-1.240253	0.155149	0.000177	0.276468
-0.125338	-1.327786	0.160154	0.000184	0.276090
-0.209279	-1.395290	0.165158	0.000205	0.275748
-0.203609	-1.479714	0.170163	0.000204	0.275408
-0.230721	-1.563769	0.175168	0.000210	0.275043
-0.306848	-1.634647	0.180173	0.000229	0.274692
-0.410868	-1.703680	0.185178	0.000255	0.274326
-0.377839	-1.786017	0.190182	0.000247	0.274016
-0.544265	-1.854105	0.195187	0.000288	0.273602
-0.825581	-1.891605	0.200192	0.000356	0.273221
-1.135585	-1.908381	0.205197	0.000432	0.272901
-1.904311	-1.830616	0.210202	0.000620	0.272600
-2.474249	-1.765355	0.215206	0.000759	0.272407
-2.606368	-1.786122	0.220211	0.000792	0.272214
-3.164431	-1.706131	0.225216	0.000928	0.272091
-3.060601	-1.752220	0.230221	0.000903	0.271985
-3.379599	-1.739848	0.235226	0.000981	0.271777
-3.003098	-1.814580	0.240230	0.000889	0.271774
-3.188999	-1.847239	0.245235	0.000935	0.271487
-3.407546	-1.807332	0.250240	0.000988	0.271475
-3.511336	-1.859762	0.255245	0.001014	0.271173
-3.708883	-1.828078	0.260250	0.001062	0.271143
-3.455822	-1.931800	0.265254	0.001000	0.270919
-3.782841	-1.888198	0.270259	0.001080	0.270833
-3.603235	-1.982544	0.275264	0.001037	0.270588
-3.616997	-2.001210	0.280269	0.001040	0.270499
-4.187356	-1.956952	0.285274	0.001179	0.270217
-4.234020	-1.947556	0.290278	0.001191	0.270218
-4.642487	-1.929287	0.295283	0.001291	0.269960
-4.805575	-1.915408	0.300288	0.001331	0.269884
-4.795520	-1.914013	0.305293	0.001328	0.269898
-5.041430	-1.897804	0.310298	0.001389	0.269764
-5.132240	-1.924836	0.315302	0.001411	0.269577
-5.228143	-1.903407	0.320307	0.001434	0.269587
-5.379304	-1.876684	0.325312	0.001471	0.269575
-5.369031	-1.933140	0.330317	0.001469	0.269347
-5.495571	-1.928254	0.335322	0.001500	0.269264
-5.523817	-1.922309	0.340326	0.001507	0.269265
-5.848231	-1.865820	0.345331	0.001586	0.269235
-6.226158	-1.837374	0.350336	0.001679	0.269043
-6.393028	-1.801617	0.355341	0.001720	0.269055
-6.767782	-1.729492	0.360346	0.001811	0.269049
-6.876403	-1.708235	0.365350	0.001838	0.269048
-7.026832	-1.676509	0.370355	0.001875	0.269057
-7.215801	-1.641629	0.375360	0.001921	0.269047
-6.976593	-1.649009	0.380365	0.001863	0.269212
-7.238327	-1.637034	0.385370	0.001927	0.269047
-7.009153	-1.681703	0.390374	0.001871	0.269048
-7.176747	-1.647319	0.395379	0.001912	0.269054
-6.640105	-1.755645	0.400384	0.001781	0.269042
-5.784054	-1.947070	0.405389	0.001572	0.268944
-6.006188	-1.959370	0.410394	0.001626	0.268711
-5.658342	-2.103911	0.415398	0.001541	0.268392
-5.886564	-2.126371	0.420403	0.001597	0.268110
-6.315015	-2.102415	0.425408	0.001702	0.267857
-6.598002	-2.080683	0.430413	0.001771	0.267715
-7.231395	-2.021617	0.435418	0.001926	0.267440
-7.323195	-2.003728	0.440422	0.001949	0.267439
-7.934382	-1.949540	0.445427	0.002098	0.267162
-8.139281	-1.917172	0.450432	0.002148	0.267129
-8.347678	-1.872860	0.455437	0.002199	0.267142
-8.856969	-1.774225	0.460442	0.002324	0.267136
-8.970463	-1.753108	0.465446	0.002351	0.267131
-9.175719	-1.710389	0.470451	0.002402	0.267140
-9.375931	-1.673828	0.475456	0.002451	0.267128
-9.318651	-1.610807	0.480461	0.002437	0.267440
-9.494648	-1.574960	0.485466	0.002480	0.267445
-9.195319	-1.634233	0.490470	0.002407	0.267443
-9.306052	-1.610146	0.495475	0.002434	0.267452
-9.272709	-1.619330	0.500480	0.002426	0.267441
-8.728911	-1.768397	0.505485	0.002293	0.267263
-8.952777	-1.754648	0.510490	0.002348	0.267136
-8.654827	-1.822230	0.515494	0.002275	0.267098
-8.815404	-1.855697	0.520499	0.002315	0.266824
-8.486750	-1.934102	0.525504	0.002235	0.266765
-8.391207	-2.009406	0.530509	0.002211	0.266527
-8.498946	-2.053122	0.535514	0.002238	0.266253
-8.710164	-2.052589	0.540518	0.002289	0.266080
-9.204360	-2.003101	0.545523	0.002410	0.265879
-9.106017	-2.076896	0.550528	0.002386	0.265648
-10.025632	-1.918132	0.555533	0.002611	0.265555
-10.454982	-1.835664	0.560538	0.002716	0.265547
-10.158221	-1.909412	0.565542	0.002644	0.265481
-10.855457	-1.824614	0.570547	0.002814	0.265260
-11.120265	-1.774839	0.575552	0.002879	0.265250
-10.983856	-1.748666	0.580557	0.002846	0.265474
-11.419637	-1.706639	0.585562	0.002952	0.265289
-11.099525	-1.725964	0.590566	0.002874	0.265473
-11.799164	-1.587877	0.595571	0.003045	0.265475
-11.093074	-1.741813	0.600576	0.002873	0.265411
