Sun Feb 26 15:13:06 2017

Number of Points = 3616
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.362448	0.096733	0.000000	0.000049	0.281038

0.324924	0.119874	0.005005	0.000058	0.281100
0.251603	0.135611	0.010010	0.000076	0.281105
0.142253	0.158761	0.015014	0.000103	0.281111
0.022731	0.178465	0.020019	0.000132	0.281096
-0.126595	0.212829	0.025024	0.000169	0.281115
0.060600	0.172677	0.030029	0.000123	0.281101
0.037462	0.178136	0.035034	0.000129	0.281105
0.075813	0.153996	0.040038	0.000120	0.281038
0.087622	0.088632	0.045043	0.000117	0.280785
0.277410	0.055169	0.050048	0.000071	0.280800
0.277746	0.052029	0.055053	0.000071	0.280787
0.237440	-0.005272	0.060058	0.000081	0.280526
0.286933	-0.026432	0.065062	0.000069	0.280480
0.254068	-0.064507	0.070067	0.000078	0.280301
0.409461	-0.124777	0.075072	0.000040	0.280181
0.304084	-0.168678	0.080077	0.000066	0.279922
0.249992	-0.187149	0.085082	0.000079	0.279805
0.203636	-0.241763	0.090086	0.000091	0.279549
0.229415	-0.295278	0.095091	0.000084	0.279354
0.151093	-0.319245	0.100096	0.000104	0.279195
0.250632	-0.386038	0.105101	0.000080	0.279004
0.130041	-0.437736	0.110106	0.000109	0.278701
0.183882	-0.501966	0.115110	0.000096	0.278484
0.171952	-0.572357	0.120115	0.000099	0.278190
0.142949	-0.632200	0.125120	0.000107	0.277925
0.098269	-0.698255	0.130125	0.000118	0.277622
0.126000	-0.780551	0.135130	0.000111	0.277311
0.105220	-0.855070	0.140134	0.000117	0.276992
-0.135831	-0.886391	0.145139	0.000176	0.276673
-0.122798	-0.962210	0.150144	0.000173	0.276375
-0.326323	-1.003927	0.155149	0.000223	0.276042
-0.334826	-1.081374	0.160154	0.000225	0.275720
-0.123390	-1.202754	0.165158	0.000173	0.275394
-0.263645	-1.264365	0.170163	0.000208	0.275030
-0.307905	-1.340413	0.175168	0.000219	0.274684
-0.415662	-1.406794	0.180173	0.000245	0.274325
-0.282139	-1.511840	0.185178	0.000213	0.274002
-0.371968	-1.591895	0.190182	0.000235	0.273601
-0.419519	-1.679244	0.195187	0.000247	0.273204
-0.849994	-1.682529	0.200192	0.000352	0.272842
-1.842602	-1.576266	0.205197	0.000595	0.272476
-1.955571	-1.604627	0.210202	0.000623	0.272267
-2.424629	-1.546733	0.215206	0.000738	0.272125
-2.709798	-1.567590	0.220211	0.000807	0.271808
-2.676539	-1.582856	0.225216	0.000799	0.271771
-3.261139	-1.531353	0.230221	0.000942	0.271509
-2.858928	-1.624692	0.235226	0.000844	0.271449
-3.097795	-1.642079	0.240230	0.000903	0.271182
-2.786485	-1.732858	0.245235	0.000827	0.271059
-2.755205	-1.785853	0.250240	0.000820	0.270865
-2.946005	-1.824873	0.255245	0.000866	0.270547
-2.924892	-1.872962	0.260250	0.000861	0.270364
-3.309314	-1.836801	0.265254	0.000955	0.270200
-3.339298	-1.899418	0.270259	0.000963	0.269915
-3.173764	-1.982594	0.275264	0.000923	0.269704
-3.619264	-1.937369	0.280269	0.001032	0.269527
-3.778361	-1.960275	0.285274	0.001071	0.269301
-3.994297	-1.959050	0.290278	0.001124	0.269128
-4.657953	-1.843425	0.295283	0.001286	0.269066
-4.685277	-1.880846	0.300288	0.001293	0.268887
-5.318237	-1.793211	0.305293	0.001447	0.268733
-5.783607	-1.702737	0.310298	0.001561	0.268729
-6.402564	-1.578187	0.315302	0.001713	0.268740
-6.555793	-1.490985	0.320307	0.001750	0.268978
-6.145061	-1.548911	0.325312	0.001650	0.269073
-6.383811	-1.502379	0.330317	0.001708	0.269071
-6.233309	-1.532624	0.335322	0.001672	0.269067
-6.000508	-1.575962	0.340326	0.001615	0.269077
-5.818107	-1.614579	0.345331	0.001571	0.269065
-5.851450	-1.671065	0.350336	0.001579	0.268801
-6.294701	-1.599374	0.355341	0.001687	0.268736
-6.137027	-1.631438	0.360346	0.001649	0.268731
-5.799778	-1.701712	0.365350	0.001567	0.268714
-6.042419	-1.724912	0.370355	0.001626	0.268417
-5.841714	-1.761334	0.375360	0.001577	0.268429
-6.088541	-1.780186	0.380365	0.001638	0.268147
-6.190236	-1.770948	0.385370	0.001663	0.268101
-6.356121	-1.777492	0.390374	0.001704	0.267937
-6.579742	-1.767687	0.395379	0.001758	0.267793
-6.109246	-1.882841	0.400384	0.001644	0.267698
-6.840941	-1.793137	0.405389	0.001823	0.267470
-6.792951	-1.802820	0.410394	0.001811	0.267469
-6.871625	-1.849162	0.415398	0.001830	0.267209
-6.997684	-1.836992	0.420403	0.001861	0.267155
-7.138715	-1.836686	0.425408	0.001896	0.267040
-7.611795	-1.789547	0.430413	0.002012	0.266846
-7.153848	-1.879712	0.435418	0.001900	0.266845
-7.307405	-1.886342	0.440422	0.001938	0.266690
-8.075660	-1.772061	0.445427	0.002125	0.266535
-8.010166	-1.781699	0.450432	0.002110	0.266548
-8.531002	-1.680878	0.455437	0.002237	0.266541
-9.051327	-1.578930	0.460442	0.002364	0.266539
-9.353549	-1.516410	0.465446	0.002438	0.266552
-9.744419	-1.442811	0.470451	0.002534	0.266538
-9.621313	-1.397972	0.475456	0.002504	0.266828
-9.875118	-1.343409	0.480461	0.002566	0.266847
-9.416658	-1.433202	0.485466	0.002454	0.266848
-9.551621	-1.404831	0.490470	0.002487	0.266855
-9.255100	-1.466122	0.495475	0.002415	0.266842
-8.332790	-1.644807	0.500480	0.002190	0.266852
-7.796092	-1.801291	0.505485	0.002059	0.266637
-7.644069	-1.894102	0.510490	0.002022	0.266371
-7.714242	-1.945664	0.515494	0.002039	0.266095
-7.804918	-2.004851	0.520499	0.002062	0.265769
-7.869614	-2.052676	0.525504	0.002078	0.265513
-8.646219	-1.955907	0.530509	0.002268	0.265276
-8.841827	-1.982404	0.535514	0.002316	0.265001
-9.364199	-1.889704	0.540518	0.002443	0.264958
-10.047103	-1.818295	0.545523	0.002610	0.264691
-10.470007	-1.744269	0.550528	0.002714	0.264652
-11.060973	-1.625305	0.555533	0.002858	0.264664
-11.128010	-1.544320	0.560538	0.002875	0.264951
