Sun Feb 26 15:44:33 2017

Number of Points = 3607
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.595232	0.101061	0.000000	0.000032	0.284500

0.558825	0.109692	0.005005	0.000041	0.284506
0.404790	0.140524	0.010010	0.000079	0.284508
0.510427	0.120329	0.015014	0.000053	0.284510
0.452049	0.088789	0.020019	0.000067	0.284340
0.573100	0.031436	0.025024	0.000038	0.284208
0.518078	0.039165	0.030029	0.000051	0.284195
0.531742	0.036988	0.035034	0.000048	0.284197
0.717919	0.002562	0.040038	0.000002	0.284206
0.943729	-0.101924	0.045043	-0.000053	0.283968
0.903675	-0.094579	0.050048	-0.000043	0.283966
0.648159	-0.132006	0.055053	0.000020	0.283619
0.652043	-0.131440	0.060058	0.000019	0.283624
0.691012	-0.214215	0.065062	0.000009	0.283327
0.617475	-0.220597	0.070067	0.000027	0.283244
0.705123	-0.301708	0.075072	0.000006	0.282991
0.538479	-0.318698	0.080077	0.000047	0.282794
0.533192	-0.352070	0.085082	0.000048	0.282657
0.575612	-0.435080	0.090086	0.000038	0.282360
0.188050	-0.415556	0.095091	0.000132	0.282135
0.016981	-0.404175	0.100096	0.000174	0.282047
0.021724	-0.484047	0.105101	0.000173	0.281732
0.173421	-0.549017	0.110106	0.000136	0.281592
0.093850	-0.582005	0.115110	0.000156	0.281398
0.070829	-0.654087	0.120115	0.000161	0.281093
0.140735	-0.729225	0.125120	0.000144	0.280847
0.266271	-0.824501	0.130125	0.000114	0.280565
0.231202	-0.889565	0.135130	0.000122	0.280277
0.162285	-0.950039	0.140134	0.000139	0.279980
0.222228	-1.045548	0.145139	0.000125	0.279644
0.281578	-1.137397	0.150144	0.000110	0.279322
0.217371	-1.194822	0.155149	0.000126	0.279041
0.054917	-1.251526	0.160154	0.000166	0.278684
-0.070415	-1.320504	0.165158	0.000197	0.278307
-0.313847	-1.356987	0.170163	0.000256	0.277966
-0.316374	-1.435794	0.175168	0.000257	0.277646
-0.557227	-1.471907	0.180173	0.000316	0.277309
-0.665386	-1.530719	0.185178	0.000342	0.276984
-0.752495	-1.590142	0.190182	0.000364	0.276674
-0.791129	-1.663047	0.195187	0.000373	0.276347
-0.742198	-1.757661	0.200192	0.000361	0.276002
-0.707500	-1.853350	0.205197	0.000353	0.275640
-0.829402	-1.916120	0.210202	0.000383	0.275287
-0.983565	-1.973545	0.215206	0.000420	0.274929
-1.745069	-1.914159	0.220211	0.000607	0.274560
-2.534709	-1.818284	0.225216	0.000799	0.274318
-3.626157	-1.619469	0.230221	0.001066	0.274254
-3.462909	-1.651066	0.235226	0.001026	0.274256
-3.476869	-1.668663	0.240230	0.001030	0.274172
-3.764480	-1.648350	0.245235	0.001100	0.274024
-3.314978	-1.733488	0.250240	0.000990	0.274037
-3.020817	-1.840128	0.255245	0.000918	0.273837
-2.757410	-1.936509	0.260250	0.000854	0.273654
-2.404908	-2.077737	0.265254	0.000768	0.273358
-2.301449	-2.185065	0.270259	0.000743	0.273001
