Sun Feb 26 15:41:37 2017

Number of Points = 3601
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.452345	0.111918	0.000000	0.000136	0.283955

0.697591	0.066784	0.005005	0.000077	0.283967
0.634338	0.075782	0.010010	0.000092	0.283953
0.681076	0.069638	0.015014	0.000081	0.283965
0.676730	0.068465	0.020019	0.000082	0.283956
0.730580	0.057926	0.025024	0.000069	0.283956
0.765314	0.053394	0.030029	0.000060	0.283965
0.589344	0.084835	0.035034	0.000103	0.283953
0.670194	0.012065	0.040038	0.000084	0.283728
0.725307	-0.026122	0.045043	0.000070	0.283619
0.715662	-0.024412	0.050048	0.000073	0.283618
0.687446	-0.040252	0.055053	0.000080	0.283534
0.590014	-0.080256	0.060058	0.000104	0.283299
0.672438	-0.093490	0.065062	0.000084	0.283311
0.584068	-0.137677	0.070067	0.000105	0.283067
0.589461	-0.160509	0.075072	0.000104	0.282980
0.630880	-0.213781	0.080077	0.000094	0.282801
0.463287	-0.211368	0.085082	0.000135	0.282680
0.496718	-0.280208	0.090086	0.000127	0.282432
0.576941	-0.327325	0.095091	0.000107	0.282308
0.454045	-0.369372	0.100096	0.000137	0.282044
0.543100	-0.435972	0.105101	0.000116	0.281849
0.439101	-0.467903	0.110106	0.000141	0.281640
0.533042	-0.537609	0.115110	0.000118	0.281435
0.404838	-0.597067	0.120115	0.000150	0.281098
0.380514	-0.652530	0.125120	0.000156	0.280857
0.279380	-0.692518	0.130125	0.000181	0.280617
0.249456	-0.752281	0.135130	0.000188	0.280355
0.196024	-0.806314	0.140134	0.000201	0.280096
0.172043	-0.873136	0.145139	0.000207	0.279809
0.196480	-0.953375	0.150144	0.000201	0.279506
0.132387	-1.013619	0.155149	0.000217	0.279213
0.118479	-1.071237	0.160154	0.000221	0.278971
0.134623	-1.160973	0.165158	0.000217	0.278622
0.081341	-1.237462	0.170163	0.000230	0.278271
-0.041475	-1.296654	0.175168	0.000260	0.277935
-0.131942	-1.361366	0.180173	0.000282	0.277602
-0.301258	-1.413401	0.185178	0.000324	0.277256
-0.211698	-1.512495	0.190182	0.000302	0.276926
-0.370868	-1.566689	0.195187	0.000341	0.276579
-0.631647	-1.603534	0.200192	0.000405	0.276222
-0.786775	-1.650853	0.205197	0.000443	0.275905
-0.941945	-1.702291	0.210202	0.000481	0.275572
-1.148753	-1.733209	0.215206	0.000531	0.275280
-1.736383	-1.689710	0.220211	0.000675	0.274986
-1.829270	-1.722629	0.225216	0.000698	0.274777
