Sun Feb 26 15:06:23 2017

Number of Points = 3615
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.159248	0.058343	0.000000	0.000073	0.279841

0.134595	0.060505	0.005005	0.000079	0.279830
0.111550	0.067738	0.010010	0.000085	0.279840
-0.159423	0.119421	0.015014	0.000151	0.279833
-0.248372	0.136153	0.020019	0.000173	0.279830
-0.199804	0.130677	0.025024	0.000161	0.279845
-0.346632	0.170738	0.030029	0.000197	0.279890
-0.206849	0.156183	0.035034	0.000163	0.279941
-0.139128	0.117560	0.040038	0.000147	0.279838
-0.197905	0.128595	0.045043	0.000162	0.279836
-0.121187	0.115750	0.050048	0.000143	0.279844
0.041518	0.080698	0.055053	0.000103	0.279831
0.220810	0.017287	0.060058	0.000060	0.279717
0.231685	-0.031046	0.065062	0.000057	0.279531
0.292093	-0.074851	0.070067	0.000043	0.279402
0.425429	-0.145054	0.075072	0.000011	0.279225
0.312037	-0.170783	0.080077	0.000039	0.279031
0.138875	-0.163711	0.085082	0.000081	0.278922
0.174138	-0.235962	0.090086	0.000073	0.278659
0.046633	-0.267829	0.095091	0.000104	0.278429
-0.083461	-0.278717	0.100096	0.000136	0.278281
-0.127562	-0.336228	0.105101	0.000147	0.278013
-0.168441	-0.378116	0.110106	0.000157	0.277811
-0.228842	-0.415186	0.115110	0.000172	0.277613
-0.328489	-0.451711	0.120115	0.000197	0.277385
-0.363054	-0.511840	0.125120	0.000205	0.277114
-0.421141	-0.554136	0.130125	0.000220	0.276895
-0.220953	-0.650426	0.135130	0.000171	0.276664
-0.204871	-0.725937	0.140134	0.000168	0.276370
-0.181854	-0.809485	0.145139	0.000162	0.276048
-0.084457	-0.907860	0.150144	0.000139	0.275725
-0.011363	-1.009402	0.155149	0.000121	0.275369
0.027260	-1.105331	0.160154	0.000112	0.275008
0.018234	-1.193793	0.165158	0.000114	0.274639
-0.083227	-1.278068	0.170163	0.000139	0.274212
-0.097917	-1.352495	0.175168	0.000143	0.273895
-0.437322	-1.384975	0.180173	0.000226	0.273488
-0.501469	-1.458336	0.185178	0.000242	0.273134
-0.532310	-1.551809	0.190182	0.000250	0.272724
-0.700584	-1.616602	0.195187	0.000291	0.272320
-0.615751	-1.721428	0.200192	0.000271	0.271956
-0.788048	-1.780743	0.205197	0.000313	0.271571
-0.849986	-1.874063	0.210202	0.000329	0.271134
-0.910345	-1.959277	0.215206	0.000344	0.270731
-0.944446	-2.044791	0.220211	0.000352	0.270348
-0.915898	-2.153762	0.225216	0.000346	0.269917
-1.468492	-2.150683	0.230221	0.000481	0.269478
-2.408486	-2.027701	0.235226	0.000711	0.269220
-3.319251	-1.885775	0.240230	0.000933	0.269065
-3.602093	-1.866126	0.245235	0.001003	0.268914
-4.489181	-1.735388	0.250240	0.001219	0.268732
-4.604117	-1.715889	0.255245	0.001248	0.268718
-4.359837	-1.761140	0.260250	0.001188	0.268729
-4.498853	-1.733901	0.265254	0.001222	0.268728
-4.264070	-1.780491	0.270259	0.001165	0.268725
-4.126349	-1.864528	0.275264	0.001132	0.268487
-4.145939	-1.879057	0.280269	0.001137	0.268409
-3.610954	-2.037450	0.285274	0.001006	0.268186
-3.720753	-2.056190	0.290278	0.001033	0.268016
-3.680370	-2.124097	0.295283	0.001024	0.267764
-3.769555	-2.177126	0.300288	0.001046	0.267468
-4.660070	-2.059436	0.305293	0.001263	0.267226
-5.431729	-1.925092	0.310298	0.001452	0.267153
-5.550583	-1.902164	0.315302	0.001481	0.267151
-5.643438	-1.885869	0.320307	0.001504	0.267142
-6.092616	-1.794125	0.325312	0.001614	0.267156
-6.149550	-1.785246	0.330317	0.001628	0.267145
-5.794733	-1.876282	0.335322	0.001542	0.267055
-6.431176	-1.802494	0.340326	0.001697	0.266839
-6.025846	-1.883422	0.345331	0.001599	0.266833
-6.013002	-1.884426	0.350336	0.001596	0.266839
-5.883045	-1.912469	0.355341	0.001564	0.266827
-5.441044	-2.057917	0.360346	0.001456	0.266580
-5.421298	-2.085329	0.365350	0.001452	0.266480
-5.735679	-2.091285	0.370355	0.001529	0.266194
-5.810457	-2.107127	0.375360	0.001547	0.266065
-6.455411	-2.023475	0.380365	0.001705	0.265882
-6.205048	-2.091216	0.385370	0.001644	0.265803
-7.026772	-1.983820	0.390374	0.001845	0.265574
-7.164325	-1.958865	0.395379	0.001879	0.265565
-7.375575	-1.914794	0.400384	0.001931	0.265575
-7.723495	-1.848355	0.405389	0.002016	0.265566
-7.751739	-1.840995	0.410394	0.002023	0.265573
-8.110006	-1.770636	0.415398	0.002110	0.265572
-8.221314	-1.749976	0.420403	0.002138	0.265566
-8.264987	-1.738591	0.425408	0.002149	0.265577
-8.202885	-1.753912	0.430413	0.002134	0.265564
-8.104241	-1.770763	0.435418	0.002110	0.265574
-8.408954	-1.712003	0.440422	0.002184	0.265568
-8.169820	-1.759750	0.445427	0.002126	0.265564
-7.732834	-1.846015	0.450432	0.002020	0.265562
-7.926121	-1.878409	0.455437	0.002067	0.265264
-7.657828	-1.928562	0.460442	0.002002	0.265274
-7.768480	-1.966138	0.465446	0.002029	0.265022
-7.850094	-1.970000	0.470451	0.002049	0.264937
-7.740722	-2.046039	0.475456	0.002023	0.264705
-7.793766	-2.062667	0.480461	0.002036	0.264590
-7.757351	-2.131114	0.485466	0.002027	0.264329
-7.900156	-2.142846	0.490470	0.002062	0.264159
-8.292525	-2.087093	0.495475	0.002158	0.264068
-8.657216	-2.088995	0.500480	0.002248	0.263754
-8.876179	-2.051164	0.505485	0.002301	0.263731
-9.196344	-2.000749	0.510490	0.002380	0.263677
-9.548726	-1.991091	0.515494	0.002466	0.263423
-9.559374	-1.989547	0.520499	0.002469	0.263420
-10.037819	-1.893373	0.525504	0.002586	0.263428
-10.285134	-1.847485	0.530509	0.002646	0.263416
-10.231487	-1.855212	0.535514	0.002634	0.263427
-10.678587	-1.767314	0.540518	0.002743	0.263427
-10.813835	-1.742696	0.545523	0.002776	0.263418
-10.933376	-1.716211	0.550528	0.002806	0.263430
-11.306232	-1.644122	0.555533	0.002897	0.263424
-10.965645	-1.637263	0.560538	0.002814	0.263738
-11.113800	-1.608365	0.565542	0.002850	0.263736
-10.677293	-1.695087	0.570547	0.002744	0.263732
-10.542108	-1.788580	0.575552	0.002711	0.263446
-10.430439	-1.818378	0.580557	0.002684	0.263412
-10.038975	-1.908702	0.585562	0.002589	0.263354
-10.173657	-1.941852	0.590566	0.002622	0.263099
-9.800693	-2.054679	0.595571	0.002531	0.262930
-10.260085	-1.994008	0.600576	0.002643	0.262802
-10.377792	-2.050273	0.605581	0.002672	0.262462
-10.225058	-2.106172	0.610586	0.002635	0.262351
-10.672741	-2.062622	0.615590	0.002745	0.262160
-10.524696	-2.153360	0.620595	0.002709	0.261895
-10.684293	-2.144726	0.625600	0.002748	0.261797
-11.275249	-2.088813	0.630605	0.002892	0.261538
-11.076080	-2.149539	0.635610	0.002844	0.261445
-12.090294	-2.003588	0.640614	0.003092	0.261215
-12.600152	-1.905507	0.645619	0.003217	0.261205
-13.350111	-1.755128	0.650624	0.003400	0.261217
-13.714901	-1.619313	0.655629	0.003489	0.261492
-13.444468	-1.659498	0.660634	0.003423	0.261547
-13.773458	-1.595784	0.665638	0.003504	0.261542
-13.782085	-1.529588	0.670643	0.003506	0.261818
-13.592197	-1.559464	0.675648	0.003460	0.261849
-13.399559	-1.600104	0.680653	0.003413	0.261837
-13.184959	-1.640255	0.685658	0.003361	0.261845
-12.989757	-1.678173	0.690662	0.003313	0.261846
-12.256972	-1.847311	0.695667	0.003135	0.261738
-11.977149	-1.946368	0.700672	0.003067	0.261548
-11.905855	-2.032999	0.705677	0.003049	0.261235
-11.803258	-2.104253	0.710682	0.003025	0.261015
-12.255696	-2.073563	0.715686	0.003135	0.260764
-12.202406	-2.145514	0.720691	0.003123	0.260498
-12.464547	-2.143013	0.725696	0.003187	0.260286
-13.034630	-2.096060	0.730701	0.003326	0.260004
-13.393812	-2.037796	0.735706	0.003414	0.259950
-13.740206	-2.015767	0.740710	0.003499	0.259751
-14.272723	-1.936334	0.745715	0.003629	0.259641
-14.379060	-1.912307	0.750720	0.003655	0.259654
-14.598536	-1.872471	0.755725	0.003709	0.259639
-14.623151	-1.865139	0.760730	0.003715	0.259649
-15.009560	-1.788921	0.765734	0.003810	0.259649
-15.084424	-1.776161	0.770739	0.003828	0.259640
-15.122459	-1.765257	0.775744	0.003838	0.259654
-15.225186	-1.746555	0.780749	0.003863	0.259647
-14.876825	-1.813668	0.785754	0.003778	0.259653
-14.953569	-1.810066	0.790758	0.003797	0.259602
-15.205680	-1.822920	0.795763	0.003859	0.259331
-15.188914	-1.823626	0.800768	0.003855	0.259342
-15.587050	-1.748356	0.805773	0.003953	0.259328
-15.378990	-1.786960	0.810778	0.003902	0.259338
-15.347204	-1.793083	0.815782	0.003894	0.259337
-15.414071	-1.829533	0.820787	0.003911	0.259122
-15.589533	-1.797769	0.825792	0.003954	0.259109
-15.511296	-1.815471	0.830797	0.003935	0.259099
-15.278244	-1.906308	0.835802	0.003878	0.258903
-15.755151	-1.843902	0.840806	0.003995	0.258766
-15.447074	-1.918996	0.845811	0.003920	0.258702
-15.484515	-1.968160	0.850816	0.003929	0.258456
-15.474545	-1.986816	0.855821	0.003927	0.258383
-15.552389	-2.029641	0.860826	0.003946	0.258130
-15.449515	-2.086069	0.865830	0.003921	0.257971
-15.871054	-2.037442	0.870835	0.004025	0.257822
-16.306460	-2.008854	0.875840	0.004131	0.257573
-16.821467	-1.925406	0.880845	0.004257	0.257494
-17.010008	-1.886840	0.885850	0.004303	0.257500
-17.335053	-1.822211	0.890854	0.004383	0.257503
-17.541910	-1.783615	0.895859	0.004434	0.257493
-17.660290	-1.757159	0.900864	0.004463	0.257506
-18.042683	-1.684711	0.905869	0.004556	0.257494
-18.051760	-1.681732	0.910874	0.004559	0.257498
-18.442860	-1.604082	0.915878	0.004654	0.257501
-18.346622	-1.625367	0.920883	0.004631	0.257490
-18.011152	-1.687871	0.925888	0.004549	0.257504
-17.659022	-1.759480	0.930893	0.004464	0.257493
-17.062002	-1.888604	0.935898	0.004318	0.257441
-17.469569	-1.866174	0.940902	0.004418	0.257189
-17.141384	-1.949852	0.945907	0.004338	0.257104
-17.354903	-1.959309	0.950912	0.004390	0.256879
-17.308638	-2.010726	0.955917	0.004379	0.256693
-17.300572	-2.041377	0.960922	0.004377	0.256565
-17.377792	-2.099777	0.965926	0.004397	0.256242
-17.689398	-2.083028	0.970931	0.004473	0.256047
-18.795137	-1.891242	0.975936	0.004743	0.255934
-18.905012	-1.872416	0.980941	0.004770	0.255921
-19.041430	-1.843766	0.985946	0.004804	0.255928
-19.647011	-1.723877	0.990950	0.004952	0.255931
-19.548070	-1.744949	0.995955	0.004928	0.255923
-19.753329	-1.703404	1.000960	0.004978	0.255928

-19.785448	-1.695935	1.010957	0.004986	0.255932
-19.222649	-1.807003	1.020954	0.004849	0.255928
-18.969776	-1.857029	1.030950	0.004788	0.255926
-18.747332	-1.944758	1.040947	0.004734	0.255731
-18.585972	-2.004541	1.050944	0.004695	0.255606
-19.089706	-1.945565	1.060941	0.004818	0.255429
-19.294924	-1.904256	1.070938	0.004869	0.255432
-19.769225	-1.771511	1.080934	0.004985	0.255604
-19.966940	-1.683563	1.090931	0.005034	0.255818
-19.908452	-1.654047	1.100928	0.005020	0.255997
-19.312384	-1.715671	1.110925	0.004875	0.256239
-18.736472	-1.828920	1.120922	0.004734	0.256238
-18.207439	-1.947413	1.130918	0.004606	0.256173
-18.291814	-1.987405	1.140915	0.004627	0.255923
-18.236084	-2.011596	1.150912	0.004613	0.255864
-18.779415	-1.962576	1.160909	0.004746	0.255609
-19.097217	-1.839753	1.170906	0.004824	0.255872
-19.932945	-1.637267	1.180902	0.005029	0.256038
-19.605909	-1.620750	1.190899	0.004949	0.256391
-18.964853	-1.705435	1.200896	0.004793	0.256571
-18.309521	-1.832702	1.210893	0.004634	0.256576
-17.499680	-1.997095	1.220890	0.004436	0.256552
-17.541843	-2.060123	1.230886	0.004447	0.256239
-18.050276	-2.002399	1.240883	0.004571	0.256052
-18.709598	-1.862664	1.250880	0.004733	0.256095
-19.221092	-1.719484	1.260877	0.004858	0.256281
-19.222128	-1.647290	1.270874	0.004859	0.256594
-18.773657	-1.672355	1.280870	0.004750	0.256869
-18.087424	-1.806770	1.290867	0.004582	0.256870
-17.773272	-1.867841	1.300864	0.004506	0.256871
-17.553922	-1.910907	1.310861	0.004453	0.256870
-17.654126	-1.939027	1.320858	0.004478	0.256660
-17.869918	-1.917233	1.330854	0.004531	0.256568
-18.052415	-1.840602	1.340851	0.004576	0.256745
-17.702252	-1.880099	1.350848	0.004491	0.256872
-17.510690	-1.962984	1.360845	0.004444	0.256673
-17.518448	-1.983908	1.370842	0.004447	0.256573
-18.201543	-1.811808	1.380838	0.004614	0.256737
-18.833423	-1.642798	1.390835	0.004768	0.256932
-19.305676	-1.452902	1.400832	0.004884	0.257354
-18.753568	-1.458412	1.410829	0.004750	0.257802
-17.226503	-1.688766	1.420826	0.004377	0.258105
-15.332414	-2.148268	1.430822	0.003915	0.257724
-14.899109	-2.378098	1.440819	0.003810	0.257091
-15.715805	-2.352898	1.450816	0.004010	0.256498
-17.798546	-1.990048	1.460813	0.004519	0.256293
