Sun Feb 26 14:56:37 2017

Number of Points = 3610
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.422303	0.031529	0.000000	0.000039	0.278987

0.450276	0.029506	0.005005	0.000032	0.279000
0.343852	0.047092	0.010010	0.000058	0.278986
0.375376	0.043217	0.015014	0.000051	0.278995
0.545166	0.010006	0.020019	0.000010	0.278995
0.441983	-0.041707	0.025024	0.000035	0.278704
0.419192	-0.046698	0.030029	0.000041	0.278665
0.430746	-0.051574	0.035034	0.000038	0.278654
0.285527	-0.022469	0.040038	0.000074	0.278656
0.317955	-0.064359	0.045043	0.000066	0.278512
0.284510	-0.102891	0.050048	0.000075	0.278329
0.337687	-0.109312	0.055053	0.000062	0.278345
0.098729	-0.106679	0.060058	0.000121	0.278166
0.221296	-0.166662	0.065062	0.000091	0.278020
0.259591	-0.184575	0.070067	0.000082	0.277977
0.031655	-0.204517	0.075072	0.000138	0.277715
0.145940	-0.229530	0.080077	0.000110	0.277704
0.135622	-0.304907	0.085082	0.000113	0.277390
0.172696	-0.336167	0.090086	0.000104	0.277293
0.275022	-0.407964	0.095091	0.000079	0.277083
0.331039	-0.488596	0.100096	0.000066	0.276800
0.385556	-0.550275	0.105101	0.000053	0.276592
0.278116	-0.596833	0.110106	0.000079	0.276317
0.338655	-0.679140	0.115110	0.000065	0.276030
0.422124	-0.768907	0.120115	0.000045	0.275731
0.286420	-0.819795	0.125120	0.000078	0.275414
0.272111	-0.888229	0.130125	0.000082	0.275123
0.075571	-0.927910	0.135130	0.000130	0.274803
0.037598	-0.995635	0.140134	0.000140	0.274495
0.014836	-1.061959	0.145139	0.000146	0.274204
0.013495	-1.131478	0.150144	0.000146	0.273918
-0.064420	-1.199160	0.155149	0.000165	0.273577
-0.230618	-1.250073	0.160154	0.000206	0.273233
-0.262305	-1.323530	0.165158	0.000214	0.272905
-0.278016	-1.400509	0.170163	0.000218	0.272575
-0.315068	-1.483372	0.175168	0.000228	0.272203
-0.345307	-1.558637	0.180173	0.000235	0.271867
-0.457952	-1.635092	0.185178	0.000263	0.271459
-0.561463	-1.707632	0.190182	0.000289	0.271074
-0.706073	-1.763409	0.195187	0.000324	0.270724
-0.812998	-1.827562	0.200192	0.000351	0.270370
-0.809854	-1.911723	0.205197	0.000350	0.270022
-0.928305	-1.978798	0.210202	0.000379	0.269646
-1.095350	-2.038240	0.215206	0.000420	0.269261
-1.351957	-2.054592	0.220211	0.000483	0.268982
-1.807674	-2.046447	0.225216	0.000595	0.268641
-2.030701	-2.065653	0.230221	0.000650	0.268377
-2.107525	-2.120666	0.235226	0.000669	0.268083
-2.229643	-2.165937	0.240230	0.000699	0.267792
-2.847720	-2.110106	0.245235	0.000850	0.267516
-2.983398	-2.119133	0.250240	0.000883	0.267365
-3.373121	-2.092220	0.255245	0.000979	0.267156
-3.638198	-2.079534	0.260250	0.001044	0.266989
-4.236066	-1.998150	0.265254	0.001190	0.266837
-4.091214	-2.025871	0.270259	0.001155	0.266839
-3.850122	-2.115641	0.275264	0.001096	0.266660
-4.385355	-2.038968	0.280269	0.001227	0.266539
-4.833786	-1.953767	0.285274	0.001337	0.266526
-4.933117	-1.933420	0.290278	0.001361	0.266529
-5.324978	-1.855369	0.295283	0.001457	0.266533
-5.439986	-1.865846	0.300288	0.001486	0.266393
-5.639419	-1.792906	0.305293	0.001534	0.266534
-5.738707	-1.776140	0.310298	0.001559	0.266522
-5.349409	-1.898917	0.315302	0.001464	0.266326
-5.830583	-1.834217	0.320307	0.001582	0.266200
-5.615715	-1.878494	0.325312	0.001530	0.266190
-5.074556	-1.982325	0.330317	0.001398	0.266200
-4.849223	-2.062606	0.335322	0.001343	0.266047
-4.610771	-2.150821	0.340326	0.001285	0.265872
-4.394340	-2.265123	0.345331	0.001232	0.265568
-4.512834	-2.303650	0.350336	0.001261	0.265306
-4.754704	-2.312346	0.355341	0.001321	0.265067
-5.377802	-2.234570	0.360346	0.001473	0.264877
-5.565813	-2.255427	0.365350	0.001519	0.264631
-6.182241	-2.132707	0.370355	0.001670	0.264637
-6.909709	-2.058280	0.375360	0.001848	0.264346
-7.314945	-1.925850	0.380365	0.001947	0.264569
-7.510821	-1.873749	0.385370	0.001995	0.264626
-7.690308	-1.837947	0.390374	0.002039	0.264628
-8.112845	-1.753368	0.395379	0.002143	0.264633
-8.123566	-1.753373	0.400384	0.002145	0.264624
-7.837825	-1.798679	0.405389	0.002076	0.264669
-7.737560	-1.754567	0.410394	0.002052	0.264939
-7.379405	-1.874832	0.415398	0.001964	0.264727
-7.391916	-1.894291	0.420403	0.001968	0.264633
-7.078432	-1.957528	0.425408	0.001891	0.264625
-6.748509	-2.047007	0.430413	0.001811	0.264520
-6.894702	-2.066221	0.435418	0.001847	0.264316
-6.510750	-2.187750	0.440422	0.001753	0.264119
-6.796000	-2.168062	0.445427	0.001823	0.263964
-6.999397	-2.184050	0.450432	0.001873	0.263725
-7.056066	-2.241005	0.455437	0.001887	0.263434
-7.644671	-2.142067	0.460442	0.002031	0.263362
-8.128284	-2.109872	0.465446	0.002150	0.263093
-8.407787	-2.053664	0.470451	0.002218	0.263098
-8.833847	-1.973577	0.475456	0.002322	0.263082
-9.006574	-1.936068	0.480461	0.002365	0.263096
-9.031714	-1.933633	0.485466	0.002371	0.263085
-9.086341	-1.921068	0.490470	0.002385	0.263092
-9.278918	-1.881875	0.495475	0.002432	0.263097
-9.016214	-2.004606	0.500480	0.002368	0.262793
-8.851698	-2.034505	0.505485	0.002328	0.262802
-9.294541	-1.949383	0.510490	0.002436	0.262793
-9.062324	-2.005229	0.515494	0.002380	0.262749
-9.221460	-2.038002	0.520499	0.002419	0.262474
-9.209424	-2.043095	0.525504	0.002416	0.262462
-9.437306	-1.995373	0.530509	0.002472	0.262474
-9.615517	-2.029578	0.535514	0.002516	0.262177
-9.478973	-2.060911	0.540518	0.002483	0.262157
-9.720711	-2.011804	0.545523	0.002542	0.262163
-9.826924	-2.050505	0.550528	0.002568	0.261907
-10.327175	-1.965363	0.555533	0.002691	0.261850
-10.606560	-1.911716	0.560538	0.002759	0.261843
-10.321030	-1.967907	0.565542	0.002690	0.261842
-10.644233	-1.902936	0.570547	0.002769	0.261848
-10.740566	-1.887064	0.575552	0.002793	0.261834
-10.453550	-1.957415	0.580557	0.002723	0.261773
-10.678749	-1.967617	0.585562	0.002778	0.261539
-10.295956	-2.043416	0.590566	0.002685	0.261536
-10.338861	-2.065992	0.595571	0.002695	0.261402
-10.767547	-2.028526	0.600576	0.002800	0.261200
-10.246936	-2.146482	0.605581	0.002673	0.261132
-10.561554	-2.141553	0.610586	0.002750	0.260887
-10.283645	-2.231372	0.615590	0.002683	0.260734
-11.068404	-2.114654	0.620595	0.002875	0.260572
