Sun Feb 26 14:36:34 2017

Number of Points = 3589
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.107915	0.006660	0.000000	0.000006	0.289165

1.044398	0.016279	0.005005	0.000022	0.289153
1.085275	0.008881	0.010010	0.000012	0.289155
1.186406	-0.020396	0.015014	-0.000012	0.289118
1.046863	-0.039593	0.020019	0.000022	0.288936
1.172797	-0.060764	0.025024	-0.000008	0.288950
1.248472	-0.078302	0.030029	-0.000027	0.288939
1.256640	-0.106243	0.035034	-0.000029	0.288836
1.188827	-0.150016	0.040038	-0.000012	0.288614
1.128537	-0.140477	0.045043	0.000003	0.288604
1.142337	-0.206744	0.050048	-0.000000	0.288356
0.945950	-0.186454	0.055053	0.000048	0.288285
0.926980	-0.227152	0.060058	0.000053	0.288111
0.832978	-0.243835	0.065062	0.000076	0.287974
0.886889	-0.288765	0.070067	0.000063	0.287840
0.827289	-0.319174	0.075072	0.000078	0.287675
0.812686	-0.360520	0.080077	0.000082	0.287502
0.769523	-0.393663	0.085082	0.000092	0.287339
0.804895	-0.464934	0.090086	0.000084	0.287087
0.729597	-0.492479	0.095091	0.000102	0.286921
0.619999	-0.522056	0.100096	0.000129	0.286721
0.469061	-0.558411	0.105101	0.000167	0.286462
0.552401	-0.614635	0.110106	0.000146	0.286305
0.590249	-0.679359	0.115110	0.000137	0.286080
0.517828	-0.746168	0.120115	0.000155	0.285761
0.429253	-0.786598	0.125120	0.000177	0.285534
0.398926	-0.839039	0.130125	0.000185	0.285304
0.437639	-0.915179	0.135130	0.000175	0.285033
0.435328	-0.986080	0.140134	0.000176	0.284752
0.243044	-1.021710	0.145139	0.000223	0.284462
0.262297	-1.094062	0.150144	0.000219	0.284191
0.063179	-1.112126	0.155149	0.000268	0.283965
0.076797	-1.195718	0.160154	0.000265	0.283644
-0.117966	-1.233682	0.165158	0.000312	0.283342
-0.213467	-1.288562	0.170163	0.000336	0.283050
-0.359191	-1.326377	0.175168	0.000372	0.282786
-0.591407	-1.352738	0.180173	0.000429	0.282500
-0.687154	-1.397891	0.185178	0.000452	0.282245
-0.831091	-1.430177	0.190182	0.000488	0.282003
-1.126940	-1.439115	0.195187	0.000560	0.281736
-1.157496	-1.493441	0.200192	0.000568	0.281495
-1.239113	-1.535628	0.205197	0.000588	0.281262
-1.402231	-1.559740	0.210202	0.000628	0.281038
-1.484448	-1.604965	0.215206	0.000648	0.280792
-1.563960	-1.659713	0.220211	0.000668	0.280510
-1.549875	-1.713341	0.225216	0.000665	0.280306
-1.533594	-1.780664	0.230221	0.000661	0.280049
-1.693250	-1.814291	0.235226	0.000700	0.279788
-1.789901	-1.857194	0.240230	0.000724	0.279539
-1.885533	-1.917612	0.245235	0.000747	0.279220
-1.841359	-1.969171	0.250240	0.000737	0.279047
-1.991928	-2.010151	0.255245	0.000774	0.278763
-2.526464	-1.968560	0.260250	0.000905	0.278507
-2.847423	-1.944321	0.265254	0.000983	0.278350
-3.414042	-1.905199	0.270259	0.001122	0.278059
-4.119709	-1.772246	0.275264	0.001294	0.278035
-4.392901	-1.722247	0.280269	0.001361	0.278020
-4.171874	-1.764402	0.285274	0.001307	0.278024
-4.411165	-1.716233	0.290278	0.001366	0.278029
-5.026116	-1.597482	0.295283	0.001516	0.278020
-4.926961	-1.614160	0.300288	0.001492	0.278030
-4.613927	-1.680021	0.305293	0.001416	0.278012
-4.339098	-1.806313	0.310298	0.001349	0.277720
-4.215789	-1.828594	0.315302	0.001319	0.277727
-4.120873	-1.894034	0.320307	0.001296	0.277537
-4.065301	-1.938695	0.325312	0.001283	0.277400
-4.152379	-1.985637	0.330317	0.001304	0.277141
-4.351670	-1.968108	0.335322	0.001353	0.277052
-4.383534	-2.030931	0.340326	0.001361	0.276772
-4.630839	-2.007593	0.345331	0.001422	0.276669
-4.724022	-2.037282	0.350336	0.001445	0.276474
-4.712212	-2.077339	0.355341	0.001442	0.276320
-5.073085	-2.052240	0.360346	0.001530	0.276133
-5.668618	-1.935595	0.365350	0.001676	0.276132
-6.387746	-1.872023	0.370355	0.001852	0.275815
-6.501387	-1.775567	0.375360	0.001880	0.276116
-6.536525	-1.764482	0.380365	0.001888	0.276132
-6.430505	-1.837013	0.385370	0.001863	0.275922
-6.419370	-1.862886	0.390374	0.001860	0.275825
-6.275756	-1.893784	0.395379	0.001825	0.275813
-6.195098	-1.906453	0.400384	0.001806	0.275826
-6.292335	-1.910803	0.405389	0.001830	0.275730
-6.308333	-1.963481	0.410394	0.001834	0.275502
-6.189899	-1.985510	0.415398	0.001805	0.275506
-6.217314	-2.041700	0.420403	0.001812	0.275255
-5.914969	-2.114596	0.425408	0.001738	0.275199
-5.913657	-2.194626	0.430413	0.001738	0.274873
-6.105299	-2.204915	0.435418	0.001785	0.274677
-6.395872	-2.174254	0.440422	0.001856	0.274568
-6.890664	-2.154556	0.445427	0.001977	0.274251
-7.221126	-2.087429	0.450432	0.002058	0.274259
-7.865685	-1.962057	0.455437	0.002216	0.274254
-8.517454	-1.834053	0.460442	0.002375	0.274253
-9.615150	-1.616167	0.465446	0.002643	0.274261
-10.146695	-1.457244	0.470451	0.002773	0.274484
-9.737499	-1.490758	0.475456	0.002673	0.274675
-9.249285	-1.538415	0.480461	0.002554	0.274871
-8.306061	-1.722792	0.485466	0.002324	0.274875
-7.268656	-1.947256	0.490470	0.002071	0.274790
-6.669401	-2.133109	0.495475	0.001925	0.274511
-6.505512	-2.236328	0.500480	0.001885	0.274220
-6.576235	-2.288951	0.505485	0.001903	0.273947
-6.459035	-2.401602	0.510490	0.001874	0.273579
-6.494691	-2.481931	0.515494	0.001883	0.273220
-6.856910	-2.499589	0.520499	0.001972	0.272854
-7.777078	-2.394759	0.525504	0.002197	0.272541
-9.304859	-2.121008	0.530509	0.002570	0.272432
-10.287360	-1.927957	0.535514	0.002810	0.272431
-11.403688	-1.672968	0.540518	0.003083	0.272578
-11.468614	-1.616523	0.545523	0.003099	0.272757
-11.657425	-1.506360	0.550528	0.003145	0.273057
-11.724837	-1.450096	0.555533	0.003162	0.273233
-11.068410	-1.542620	0.560538	0.003001	0.273382
-10.704316	-1.565791	0.565542	0.002913	0.273580
-9.890459	-1.759117	0.570547	0.002714	0.273442
-9.383870	-1.871757	0.575552	0.002591	0.273388
-9.118862	-1.945548	0.580557	0.002526	0.273298
-8.852453	-2.055750	0.585562	0.002461	0.273060
-8.387458	-2.214776	0.590566	0.002348	0.272781
-8.220844	-2.338392	0.595571	0.002307	0.272406
-8.742672	-2.309935	0.600576	0.002435	0.272100
-9.304434	-2.271694	0.605581	0.002572	0.271802
-9.357682	-2.321033	0.610586	0.002586	0.271555
-10.123245	-2.203559	0.615590	0.002773	0.271418
-11.078433	-2.076885	0.620595	0.003006	0.271165
-11.073416	-2.075001	0.625600	0.003005	0.271176
-11.972594	-1.900250	0.630605	0.003225	0.271168
-12.676940	-1.753088	0.635610	0.003397	0.271204
-12.688309	-1.677340	0.640614	0.003400	0.271507
-12.755686	-1.667582	0.645619	0.003417	0.271492
-12.426737	-1.704250	0.650624	0.003336	0.271607
-11.900201	-1.759906	0.655629	0.003208	0.271804
-11.320344	-1.940884	0.660634	0.003067	0.271526
-10.959628	-2.015931	0.665638	0.002979	0.271509
-11.107422	-2.054086	0.670643	0.003015	0.271230
-11.047253	-2.082609	0.675648	0.003001	0.271161
-11.114881	-2.143756	0.680653	0.003017	0.270852
-11.149975	-2.177914	0.685658	0.003026	0.270681
-11.937436	-2.055122	0.690662	0.003219	0.270548
-12.159355	-2.032446	0.695667	0.003273	0.270461
-12.579106	-2.002029	0.700672	0.003376	0.270244
-13.520341	-1.819246	0.705677	0.003606	0.270234
-13.692286	-1.735041	0.710682	0.003648	0.270443
