Sun Feb 26 14:00:44 2017

Number of Points = 3563
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
2.202880	0.028266	0.000000	0.000039	0.287956

2.073109	0.072718	0.005005	0.000070	0.288030
2.095663	0.133208	0.010010	0.000065	0.288282
2.234523	0.064270	0.015014	0.000031	0.288120
2.338799	0.005523	0.020019	0.000006	0.287970
2.378959	-0.005184	0.025024	-0.000004	0.287959
2.428561	-0.013909	0.030029	-0.000016	0.287962
2.423711	-0.035615	0.035034	-0.000014	0.287874
2.202986	-0.047878	0.040038	0.000040	0.287656
2.124552	-0.028541	0.045043	0.000059	0.287671
1.989662	-0.009494	0.050048	0.000092	0.287642
1.974527	-0.084407	0.055053	0.000096	0.287338
1.970808	-0.084702	0.060058	0.000097	0.287333
1.893373	-0.091350	0.065062	0.000116	0.287247
1.965968	-0.162048	0.070067	0.000098	0.287027
1.952062	-0.164135	0.075072	0.000102	0.287007
2.112906	-0.272714	0.080077	0.000063	0.286706
2.172242	-0.317496	0.085082	0.000048	0.286576
2.140518	-0.355494	0.090086	0.000056	0.286402
2.156212	-0.438941	0.095091	0.000053	0.286087
2.118593	-0.487862	0.100096	0.000062	0.285865
1.922468	-0.505383	0.105101	0.000110	0.285645
1.788046	-0.529865	0.110106	0.000143	0.285445
1.641726	-0.578756	0.115110	0.000179	0.285139
1.629490	-0.622394	0.120115	0.000182	0.284957
1.421127	-0.634049	0.125120	0.000233	0.284750
1.120056	-0.636112	0.130125	0.000307	0.284508
1.137226	-0.688256	0.135130	0.000303	0.284315
0.979145	-0.693715	0.140134	0.000342	0.284171
0.881876	-0.726644	0.145139	0.000366	0.283965
1.030217	-0.804895	0.150144	0.000329	0.283771
0.950383	-0.845070	0.155149	0.000349	0.283549
1.017900	-0.919329	0.160154	0.000333	0.283307
1.118713	-1.019929	0.165158	0.000308	0.282987
1.050976	-1.071968	0.170163	0.000325	0.282727
0.819875	-1.104642	0.175168	0.000382	0.282417
0.817656	-1.171192	0.180173	0.000382	0.282150
0.618106	-1.200279	0.185178	0.000431	0.281878
0.481483	-1.241302	0.190182	0.000465	0.281607
0.266703	-1.256428	0.195187	0.000517	0.281379
0.166646	-1.308182	0.200192	0.000542	0.281093
0.115262	-1.370434	0.205197	0.000555	0.280804
