Sun Feb 26 13:41:07 2017

Number of Points = 3626
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.683120	-0.099523	0.000000	-0.000123	0.280466

0.665459	-0.097605	0.005005	-0.000119	0.280459
0.733418	-0.110787	0.010010	-0.000135	0.280460
0.934983	-0.197152	0.015014	-0.000184	0.280272
0.883118	-0.215601	0.020019	-0.000171	0.280157
0.657898	-0.217348	0.025024	-0.000116	0.279972
0.587261	-0.235821	0.030029	-0.000099	0.279842
0.578516	-0.268934	0.035034	-0.000096	0.279702
0.501518	-0.295326	0.040038	-0.000077	0.279534
0.213606	-0.269243	0.045043	-0.000007	0.279412
0.114143	-0.295324	0.050048	0.000017	0.279228
0.101230	-0.296476	0.055053	0.000021	0.279213
0.221349	-0.375949	0.060058	-0.000008	0.278987
0.198422	-0.390543	0.065062	-0.000003	0.278910
0.100958	-0.435317	0.070067	0.000021	0.278652
0.235267	-0.508757	0.075072	-0.000011	0.278462
0.400522	-0.594078	0.080077	-0.000051	0.278248
0.459339	-0.671743	0.085082	-0.000066	0.277981
0.427203	-0.727481	0.090086	-0.000057	0.277730
0.381263	-0.802802	0.095091	-0.000046	0.277388
0.599392	-0.914207	0.100096	-0.000099	0.277110
0.631764	-1.010974	0.105101	-0.000107	0.276744
0.558641	-1.083793	0.110106	-0.000089	0.276389
0.471362	-1.155499	0.115110	-0.000067	0.276028
0.114082	-1.170481	0.120115	0.000020	0.275681
0.183160	-1.262052	0.125120	0.000004	0.275363
0.022955	-1.313735	0.130125	0.000043	0.275023
-0.142983	-1.365616	0.135130	0.000084	0.274677
-0.434607	-1.383792	0.140134	0.000155	0.274368
-0.393448	-1.457579	0.145139	0.000145	0.274099
-0.291137	-1.550513	0.150144	0.000120	0.273800
-0.326662	-1.631791	0.155149	0.000129	0.273438
-0.436592	-1.700970	0.160154	0.000156	0.273064
-0.267560	-1.826158	0.165158	0.000115	0.272685
-0.169383	-1.942743	0.170163	0.000092	0.272284
-0.033369	-2.067215	0.175168	0.000059	0.271880
-0.310872	-2.130435	0.180173	0.000127	0.271393
-1.250046	-2.043986	0.185178	0.000356	0.270987
-1.960266	-1.958774	0.190182	0.000530	0.270761
-2.588168	-1.892035	0.195187	0.000683	0.270526
-2.173566	-2.018735	0.200192	0.000582	0.270338
-2.579453	-1.971234	0.205197	0.000682	0.270203
-2.536551	-2.051291	0.210202	0.000671	0.269905
-2.233754	-2.154030	0.215206	0.000597	0.269725
-2.638344	-2.133178	0.220211	0.000696	0.269480
-2.783662	-2.151304	0.225216	0.000732	0.269285
-2.931219	-2.176421	0.230221	0.000768	0.269059
-2.887421	-2.228231	0.235226	0.000758	0.268878
-3.442588	-2.154020	0.240230	0.000894	0.268732
-3.693481	-2.178950	0.245235	0.000955	0.268421
-3.892462	-2.142094	0.250240	0.001004	0.268411
-4.481050	-2.075203	0.255245	0.001148	0.268207
-5.203983	-1.963331	0.260250	0.001324	0.268080
-5.149350	-1.970686	0.265254	0.001311	0.268094
-5.361843	-1.932737	0.270259	0.001363	0.268077
-5.262008	-1.949511	0.275264	0.001339	0.268088
-5.383337	-1.925906	0.280269	0.001369	0.268087
-5.214805	-1.960685	0.285274	0.001328	0.268079
-5.127799	-1.974859	0.290278	0.001307	0.268091
-5.202225	-1.962959	0.295283	0.001325	0.268079
-4.835189	-2.069468	0.300288	0.001236	0.267935
-5.084847	-2.054586	0.305293	0.001297	0.267791
-4.963217	-2.112342	0.310298	0.001267	0.267649
-5.694991	-2.012019	0.315302	0.001446	0.267466
-5.424946	-2.068254	0.320307	0.001380	0.267452
-5.186893	-2.143827	0.325312	0.001322	0.267330
-5.926955	-2.041056	0.330317	0.001503	0.267151
-5.751707	-2.076658	0.335322	0.001461	0.267145
-5.673437	-2.137719	0.340326	0.001442	0.266953
-6.369485	-2.029687	0.345331	0.001612	0.266831
-6.445462	-2.012561	0.350336	0.001631	0.266840
-6.785442	-1.946584	0.355341	0.001714	0.266836
-6.459534	-2.029270	0.360346	0.001634	0.266757
-6.544823	-2.064837	0.365350	0.001655	0.266536
-6.597521	-2.058704	0.370355	0.001668	0.266518
-6.457201	-2.093865	0.375360	0.001634	0.266486
-6.918753	-2.071532	0.380365	0.001747	0.266197
-6.952012	-2.066960	0.385370	0.001755	0.266188
-7.253554	-2.004277	0.390374	0.001829	0.266202
-7.053055	-2.076108	0.395379	0.001780	0.266065
-7.319086	-2.066850	0.400384	0.001846	0.265883
-7.371649	-2.056292	0.405389	0.001859	0.265883
-7.285421	-2.074649	0.410394	0.001838	0.265877
-7.644537	-2.075421	0.415398	0.001926	0.265575
-8.184003	-1.972985	0.420403	0.002057	0.265559
-8.433147	-1.922175	0.425408	0.002118	0.265566
-8.515849	-1.905223	0.430413	0.002139	0.265569
-8.429079	-1.924811	0.435418	0.002118	0.265558
-8.660781	-1.875554	0.440422	0.002174	0.265573
-8.727946	-1.864933	0.445427	0.002191	0.265561
-8.461461	-1.915181	0.450432	0.002126	0.265570
-8.388660	-1.930372	0.455437	0.002108	0.265566
-8.089325	-2.039069	0.460442	0.002036	0.265354
-8.256757	-2.024738	0.465446	0.002077	0.265275
-7.985581	-2.116752	0.470451	0.002011	0.265111
-7.766049	-2.199159	0.475456	0.001957	0.264944
-7.832166	-2.255723	0.480461	0.001973	0.264648
-8.123522	-2.237521	0.485466	0.002045	0.264482
-8.779710	-2.144108	0.490470	0.002205	0.264331
-8.794178	-2.178571	0.495475	0.002209	0.264172
-9.376437	-2.087109	0.500480	0.002351	0.264074
-9.882353	-1.987807	0.505485	0.002475	0.264072
-9.890953	-1.988032	0.510490	0.002477	0.264064
-10.002992	-1.963316	0.515494	0.002505	0.264075
-10.383685	-1.890574	0.520499	0.002598	0.264065
-10.293266	-1.906226	0.525504	0.002576	0.264074
-10.189413	-1.927326	0.530509	0.002551	0.264070
-9.957113	-2.015032	0.535514	0.002494	0.263891
-9.979908	-2.045484	0.540518	0.002500	0.263742
-10.332998	-1.978783	0.545523	0.002586	0.263730
-10.495194	-1.945321	0.550528	0.002626	0.263736
-10.584882	-1.941084	0.555533	0.002648	0.263679
-10.899074	-1.942382	0.560538	0.002725	0.263410
-11.095004	-1.899720	0.565542	0.002773	0.263427
-11.106400	-1.900544	0.570547	0.002776	0.263413
-10.611909	-1.996383	0.575552	0.002655	0.263418
-11.176406	-1.884196	0.580557	0.002793	0.263423
-11.113968	-1.907213	0.585562	0.002778	0.263377
-10.939013	-2.005272	0.590566	0.002736	0.263105
-10.641715	-2.066551	0.595571	0.002663	0.263092
-10.996898	-2.044767	0.600576	0.002750	0.262887
-11.041076	-2.055651	0.605581	0.002761	0.262802
-10.237482	-2.263119	0.610586	0.002565	0.262590
-10.678432	-2.218598	0.615590	0.002673	0.262409
-11.545329	-2.107879	0.620595	0.002885	0.262154
-11.475338	-2.120351	0.625600	0.002868	0.262159
-11.803488	-2.098310	0.630605	0.002948	0.261976
-12.293904	-2.034163	0.635610	0.003068	0.261837
-12.462978	-1.997529	0.640614	0.003110	0.261851
-13.283340	-1.838999	0.645619	0.003310	0.261839
-13.362239	-1.821891	0.650624	0.003330	0.261846
