Sun Feb 26 13:37:51 2017

Number of Points = 3622
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.407994	-0.068229	0.000000	-0.000081	0.279536

0.434102	-0.076206	0.005005	-0.000087	0.279524
0.697104	-0.125670	0.010010	-0.000151	0.279532
0.607546	-0.185585	0.015014	-0.000129	0.279220
0.509693	-0.166418	0.020019	-0.000105	0.279219
0.703063	-0.230455	0.025024	-0.000152	0.279114
0.573910	-0.236408	0.030029	-0.000121	0.278988
0.274602	-0.205369	0.035034	-0.000047	0.278875
0.048120	-0.214175	0.040038	0.000008	0.278660
-0.002601	-0.204759	0.045043	0.000021	0.278657
-0.103857	-0.237965	0.050048	0.000046	0.278443
-0.242934	-0.237633	0.055053	0.000080	0.278333
-0.127127	-0.270475	0.060058	0.000052	0.278292
-0.209215	-0.322955	0.065062	0.000072	0.278014
-0.153440	-0.339044	0.070067	0.000059	0.277993
0.024348	-0.439418	0.075072	0.000016	0.277728
0.207159	-0.523296	0.080077	-0.000029	0.277534
0.342577	-0.608790	0.085082	-0.000062	0.277295
0.333959	-0.677320	0.090086	-0.000059	0.277010
0.338490	-0.751094	0.095091	-0.000060	0.276714
0.344694	-0.825675	0.100096	-0.000061	0.276415
0.238370	-0.887373	0.105101	-0.000035	0.276079
0.242909	-0.967087	0.110106	-0.000036	0.275758
0.086031	-1.015152	0.115110	0.000002	0.275436
-0.070123	-1.059851	0.120115	0.000041	0.275128
-0.349163	-1.076663	0.125120	0.000109	0.274835
-0.520102	-1.113937	0.130125	0.000151	0.274545
-0.765616	-1.132943	0.135130	0.000211	0.274269
-0.743128	-1.187139	0.140134	0.000206	0.274065
-0.743906	-1.255996	0.145139	0.000207	0.273781
-0.753267	-1.323429	0.150144	0.000209	0.273497
-0.680034	-1.418039	0.155149	0.000191	0.273167
-0.527925	-1.524112	0.160154	0.000155	0.272853
-0.573342	-1.603930	0.165158	0.000166	0.272487
-0.696107	-1.675991	0.170163	0.000196	0.272090
-0.525812	-1.799308	0.175168	0.000155	0.271718
-1.224790	-1.755773	0.180173	0.000326	0.271330
-2.177211	-1.615554	0.185178	0.000559	0.271135
-2.652765	-1.591405	0.190182	0.000675	0.270847
-2.254469	-1.701735	0.195187	0.000578	0.270714
-2.743584	-1.646934	0.200192	0.000698	0.270542
-2.475344	-1.758025	0.205197	0.000632	0.270299
-2.263441	-1.841891	0.210202	0.000581	0.270123
-2.103565	-1.943822	0.215206	0.000542	0.269829
-2.018490	-2.036208	0.220211	0.000521	0.269513
-2.124153	-2.084638	0.225216	0.000547	0.269224
-2.197951	-2.137633	0.230221	0.000566	0.268942
-2.179370	-2.219762	0.235226	0.000561	0.268614
-2.256322	-2.289935	0.240230	0.000580	0.268257
-2.912999	-2.237795	0.245235	0.000741	0.267934
-3.474487	-2.168606	0.250240	0.000878	0.267761
-4.311780	-2.076893	0.255245	0.001083	0.267455
-4.992348	-1.940078	0.260250	0.001250	0.267467
-5.826963	-1.777734	0.265254	0.001454	0.267459
-5.804322	-1.783084	0.270259	0.001448	0.267455
-6.282965	-1.642106	0.275264	0.001565	0.267651
-6.151244	-1.636132	0.280269	0.001533	0.267784
-5.985797	-1.665998	0.285274	0.001493	0.267795
-5.773362	-1.708714	0.290278	0.001441	0.267790
-5.277211	-1.806647	0.295283	0.001320	0.267787
-5.200267	-1.826718	0.300288	0.001302	0.267766
-5.284141	-1.884380	0.305293	0.001322	0.267454
-5.075680	-1.922604	0.310298	0.001272	0.267465
-5.112514	-1.969585	0.315302	0.001281	0.267237
-5.035797	-2.006832	0.320307	0.001262	0.267143
-5.251761	-2.029429	0.325312	0.001315	0.266869
-5.522750	-1.985889	0.330317	0.001382	0.266827
-5.491410	-2.055144	0.335322	0.001374	0.266561
-5.673637	-2.026523	0.340326	0.001419	0.266530
-6.145413	-2.007537	0.345331	0.001535	0.266219
-6.321494	-1.975940	0.350336	0.001578	0.266206
-6.524772	-1.938782	0.355341	0.001628	0.266193
-6.659313	-1.943157	0.360346	0.001661	0.266063
-7.292418	-1.861808	0.365350	0.001815	0.265880
-7.012192	-1.916778	0.370355	0.001747	0.265880
-7.199974	-1.877069	0.375360	0.001793	0.265891
-7.251553	-1.870461	0.380365	0.001806	0.265876
-7.016166	-1.913879	0.385370	0.001749	0.265887
-6.922605	-1.975331	0.390374	0.001726	0.265704
-7.408981	-1.914153	0.395379	0.001845	0.265558
-7.338895	-1.925280	0.400384	0.001828	0.265569
-7.301616	-1.953363	0.405389	0.001819	0.265480
-8.096117	-1.846381	0.410394	0.002014	0.265272
-8.289456	-1.809458	0.415398	0.002061	0.265267
-8.170221	-1.833408	0.420403	0.002032	0.265264
