Sun Feb 26 13:44:26 2017

Number of Points = 3601
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.680852	0.071046	0.000000	0.000087	0.281087

0.532403	0.099029	0.005005	0.000123	0.281082
0.375576	0.153697	0.010010	0.000162	0.281177
0.227024	0.244251	0.015014	0.000198	0.281421
0.186447	0.248981	0.020019	0.000208	0.281408
0.295500	0.231108	0.025024	0.000182	0.281421
0.226693	0.242660	0.030029	0.000198	0.281413
0.532911	0.182216	0.035034	0.000124	0.281411
0.567116	0.178184	0.040038	0.000116	0.281422
0.548859	0.179239	0.045043	0.000120	0.281411
0.678704	0.119628	0.050048	0.000089	0.281274
0.872472	0.032718	0.055053	0.000042	0.281079
0.860562	0.033874	0.060058	0.000045	0.281074
0.877604	-0.045223	0.065062	0.000041	0.280771
0.711815	-0.015281	0.070067	0.000081	0.280760
0.807687	-0.110483	0.075072	0.000058	0.280454
0.535032	-0.068002	0.080077	0.000125	0.280409
0.488475	-0.123994	0.085082	0.000136	0.280148
0.231679	-0.078703	0.090086	0.000199	0.280127
0.026534	-0.115500	0.095091	0.000250	0.279817
0.150589	-0.136248	0.100096	0.000219	0.279831
0.072246	-0.192004	0.105101	0.000239	0.279545
0.140488	-0.218909	0.110106	0.000222	0.279491
0.319200	-0.323657	0.115110	0.000179	0.279210
0.422680	-0.383903	0.120115	0.000154	0.279049
0.452675	-0.442409	0.125120	0.000146	0.278837
0.674849	-0.562051	0.130125	0.000092	0.278531
0.801179	-0.670611	0.135130	0.000062	0.278193
0.906140	-0.773441	0.140134	0.000036	0.277860
0.757042	-0.836298	0.145139	0.000073	0.277487
0.989894	-0.973987	0.150144	0.000016	0.277115
0.825431	-1.051070	0.155149	0.000057	0.276671
0.674868	-1.113996	0.160154	0.000094	0.276295
0.601381	-1.192844	0.165158	0.000112	0.275915
0.376676	-1.248615	0.170163	0.000167	0.275508
0.352103	-1.339660	0.175168	0.000173	0.275117
0.321020	-1.428554	0.180173	0.000181	0.274728
0.151348	-1.488480	0.185178	0.000223	0.274347
0.212989	-1.576435	0.190182	0.000208	0.274036
0.223251	-1.691844	0.195187	0.000205	0.273570
0.335305	-1.811981	0.200192	0.000178	0.273167
0.244538	-1.910343	0.205197	0.000201	0.272689
0.216726	-2.014631	0.210202	0.000208	0.272236
-0.005338	-2.082712	0.215206	0.000262	0.271775
-0.048931	-2.184171	0.220211	0.000273	0.271320
-0.148320	-2.274041	0.225216	0.000298	0.270866
-0.130274	-2.392009	0.230221	0.000293	0.270391
-0.259313	-2.480360	0.235226	0.000325	0.269918
-0.179733	-2.609114	0.240230	0.000306	0.269447
-0.450427	-2.655819	0.245235	0.000372	0.269030
-0.475490	-2.763885	0.250240	0.000379	0.268558
-0.648575	-2.845691	0.255245	0.000421	0.268073
-0.814511	-2.925908	0.260250	0.000462	0.267600
-0.841980	-3.028905	0.265254	0.000469	0.267144
-1.017942	-3.110741	0.270259	0.000512	0.266654
-5.632476	-2.274429	0.275264	0.001639	0.266357
-5.728724	-2.172911	0.280269	0.001663	0.266704
-6.177378	-2.058583	0.285274	0.001772	0.266814
-5.737318	-2.135657	0.290278	0.001665	0.266853
-5.236498	-2.169190	0.295283	0.001543	0.267125
-5.467507	-2.121278	0.300288	0.001599	0.267135
-5.699469	-2.076484	0.305293	0.001656	0.267131
-5.499080	-2.116920	0.310298	0.001607	0.267126
-5.214186	-2.169969	0.315302	0.001538	0.267138
-5.096863	-2.195852	0.320307	0.001509	0.267126
-4.809799	-2.250061	0.325312	0.001439	0.267135
-4.721263	-2.286035	0.330317	0.001418	0.267056
-4.809644	-2.326970	0.335322	0.001440	0.266810
-4.882745	-2.309655	0.340326	0.001458	0.266822
-5.020151	-2.344347	0.345331	0.001491	0.266562
-5.191266	-2.320348	0.350336	0.001533	0.266521
-5.347268	-2.298966	0.355341	0.001572	0.266482
-5.792833	-2.283163	0.360346	0.001681	0.266179
-6.417806	-2.158139	0.365350	0.001833	0.266188
-7.300545	-1.969095	0.370355	0.002049	0.266253
-6.993080	-1.965574	0.375360	0.001974	0.266522
-7.064134	-1.952722	0.380365	0.001992	0.266517
-6.839288	-1.997231	0.385370	0.001937	0.266515
-6.809705	-2.000416	0.390374	0.001930	0.266525
-6.519573	-2.061072	0.395379	0.001859	0.266509
-6.032625	-2.164897	0.400384	0.001740	0.266475
