Sun Feb 26 13:28:06 2017

Number of Points = 3584
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.671200	-0.036605	0.000000	-0.000044	0.278362

1.721476	-0.048183	0.005005	-0.000056	0.278354
1.668857	-0.036965	0.010010	-0.000043	0.278357
1.602523	-0.021916	0.015014	-0.000027	0.278364
1.605559	-0.025057	0.020019	-0.000027	0.278353
1.627723	-0.082024	0.025024	-0.000032	0.278140
1.388220	-0.060140	0.030029	0.000026	0.278038
1.454356	-0.073749	0.035034	0.000010	0.278034
1.421559	-0.086274	0.040038	0.000019	0.277957
1.259959	-0.111302	0.045043	0.000058	0.277727
1.317172	-0.118937	0.050048	0.000045	0.277741
1.162258	-0.116644	0.055053	0.000083	0.277626
1.234463	-0.185545	0.060058	0.000065	0.277404
1.372989	-0.222428	0.065062	0.000032	0.277364
1.279415	-0.272909	0.070067	0.000055	0.277085
1.370941	-0.315381	0.075072	0.000033	0.276985
1.364705	-0.364608	0.080077	0.000035	0.276779
1.265721	-0.404338	0.085082	0.000059	0.276538
1.339135	-0.458230	0.090086	0.000042	0.276377
1.281520	-0.504992	0.095091	0.000056	0.276141
1.248825	-0.573183	0.100096	0.000064	0.275836
1.150085	-0.613538	0.105101	0.000089	0.275592
1.024864	-0.642702	0.110106	0.000119	0.275372
1.077764	-0.707781	0.115110	0.000107	0.275149
0.862889	-0.731140	0.120115	0.000160	0.274880
0.886360	-0.805254	0.125120	0.000154	0.274596
0.928317	-0.876542	0.130125	0.000144	0.274337
0.708551	-0.888686	0.135130	0.000198	0.274110
0.694128	-0.940601	0.140134	0.000202	0.273885
0.627619	-1.001940	0.145139	0.000218	0.273579
0.656394	-1.076019	0.150144	0.000212	0.273297
0.508173	-1.120802	0.155149	0.000248	0.272993
0.433899	-1.178580	0.160154	0.000267	0.272694
0.523029	-1.270646	0.165158	0.000245	0.272386
0.429473	-1.335928	0.170163	0.000268	0.272040
0.385348	-1.400944	0.175168	0.000279	0.271735
0.280466	-1.461728	0.180173	0.000305	0.271398
0.091795	-1.507056	0.185178	0.000352	0.271056
0.200787	-1.607597	0.190182	0.000325	0.270728
-0.013051	-1.646749	0.195187	0.000378	0.270390
-0.163872	-1.693876	0.200192	0.000415	0.270071
-0.307998	-1.744529	0.205197	0.000450	0.269741
-0.297292	-1.825504	0.210202	0.000448	0.269412
-0.368719	-1.875035	0.215206	0.000466	0.269146
-0.625677	-1.903160	0.220211	0.000529	0.268817
-0.611082	-1.983428	0.225216	0.000526	0.268493
-0.828200	-2.021389	0.230221	0.000579	0.268155
-0.986054	-2.065409	0.235226	0.000618	0.267840
-1.155643	-2.105675	0.240230	0.000659	0.267531
-1.407236	-2.130721	0.245235	0.000721	0.267217
