Sun Feb 26 14:10:26 2017

Number of Points = 3621
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.961346	-0.099216	0.000000	-0.000123	0.283963

0.782152	-0.061274	0.005005	-0.000079	0.283973
0.628191	-0.032372	0.010010	-0.000041	0.283968
0.692929	-0.047017	0.015014	-0.000057	0.283960
0.756384	-0.140864	0.020019	-0.000072	0.283638
0.775245	-0.146995	0.025024	-0.000077	0.283628
0.735523	-0.154156	0.030029	-0.000067	0.283569
0.647729	-0.200882	0.035034	-0.000045	0.283315
0.597005	-0.192137	0.040038	-0.000033	0.283310
0.605523	-0.254275	0.045043	-0.000035	0.283071
0.580501	-0.269494	0.050048	-0.000029	0.282991
0.698361	-0.348278	0.055053	-0.000057	0.282770
0.731050	-0.384455	0.060058	-0.000065	0.282651
0.797367	-0.467682	0.065062	-0.000081	0.282372
0.850000	-0.538917	0.070067	-0.000094	0.282130
0.768649	-0.583362	0.075072	-0.000074	0.281889
0.772980	-0.643835	0.080077	-0.000075	0.281652
0.560277	-0.662712	0.085082	-0.000023	0.281410
0.628524	-0.752057	0.090086	-0.000040	0.281107
0.575569	-0.814077	0.095091	-0.000027	0.280817
0.318540	-0.834652	0.100096	0.000036	0.280533
0.394356	-0.907513	0.105101	0.000018	0.280301
0.331396	-0.967038	0.110106	0.000033	0.280013
0.396105	-1.055160	0.115110	0.000018	0.279710
0.385159	-1.127952	0.120115	0.000020	0.279409
0.246234	-1.173855	0.125120	0.000054	0.279115
0.364359	-1.265978	0.130125	0.000026	0.278837
0.322734	-1.349405	0.135130	0.000036	0.278468
0.291483	-1.433414	0.140134	0.000044	0.278104
0.189054	-1.496397	0.145139	0.000069	0.277769
0.208367	-1.605183	0.150144	0.000064	0.277344
0.415011	-1.739271	0.155149	0.000014	0.276965
0.102902	-1.773406	0.160154	0.000090	0.276578
0.129419	-1.883463	0.165158	0.000084	0.276152
-0.066007	-1.948560	0.170163	0.000132	0.275731
-0.195610	-2.016893	0.175168	0.000164	0.275349
-0.255920	-2.094452	0.180173	0.000178	0.274984
-0.153046	-2.222566	0.185178	0.000153	0.274543
-0.106711	-2.327589	0.190182	0.000142	0.274151
-0.342209	-2.373997	0.195187	0.000200	0.273771
-0.561003	-2.449211	0.200192	0.000254	0.273286
-0.992856	-2.454131	0.205197	0.000359	0.272917
-1.763677	-2.378136	0.210202	0.000547	0.272606
-2.038576	-2.394127	0.215206	0.000615	0.272317
-2.713001	-2.307331	0.220211	0.000779	0.272129
-2.931188	-2.318878	0.225216	0.000833	0.271904
-3.372317	-2.251542	0.230221	0.000941	0.271824
-3.691431	-2.191210	0.235226	0.001019	0.271814
-3.739678	-2.254248	0.240230	0.001031	0.271514
-4.005145	-2.202277	0.245235	0.001095	0.271513
-3.972428	-2.212112	0.250240	0.001087	0.271499
-3.918214	-2.246600	0.255245	0.001074	0.271400
-4.459927	-2.195275	0.260250	0.001207	0.271172
-4.116177	-2.263054	0.265254	0.001123	0.271171
-4.216729	-2.241500	0.270259	0.001147	0.271178
-4.066486	-2.338403	0.275264	0.001111	0.270899
-3.505151	-2.463580	0.280269	0.000974	0.270837
-3.516481	-2.533240	0.285274	0.000977	0.270539
-3.590406	-2.577712	0.290278	0.000995	0.270294
-4.107103	-2.514027	0.295283	0.001121	0.270136
-4.537107	-2.482734	0.300288	0.001226	0.269915
-4.445443	-2.537842	0.305293	0.001204	0.269761
-5.539235	-2.358136	0.310298	0.001471	0.269614
-5.545235	-2.358811	0.315302	0.001473	0.269606
-5.711995	-2.323497	0.320307	0.001513	0.269616
-6.291972	-2.212473	0.325312	0.001655	0.269604
-6.581673	-2.152356	0.330317	0.001726	0.269617
-7.070179	-2.057843	0.335322	0.001845	0.269611
-7.057831	-2.046421	0.340326	0.001842	0.269668
-6.834538	-2.027365	0.345331	0.001788	0.269930
-6.995332	-1.999593	0.350336	0.001827	0.269914
-6.434629	-2.106592	0.355341	0.001690	0.269927
-6.426036	-2.109390	0.360346	0.001688	0.269922
-6.143627	-2.218905	0.365350	0.001619	0.269697
-6.302305	-2.208356	0.370355	0.001658	0.269611
-6.143167	-2.241498	0.375360	0.001619	0.269603
-5.823102	-2.365378	0.380365	0.001541	0.269348
-5.886929	-2.373725	0.385370	0.001557	0.269261
-5.975034	-2.403452	0.390374	0.001579	0.269065
-6.177791	-2.409635	0.395379	0.001628	0.268873
-6.914268	-2.300707	0.400384	0.001808	0.268723
-6.531146	-2.404665	0.405389	0.001715	0.268603
-7.041324	-2.348997	0.410394	0.001839	0.268416
-7.333855	-2.291648	0.415398	0.001911	0.268416
-7.587323	-2.240500	0.420403	0.001973	0.268421
-7.886498	-2.254285	0.425408	0.002046	0.268117
-8.260594	-2.184021	0.430413	0.002137	0.268103
-8.705536	-2.072207	0.435418	0.002246	0.268205
-7.937093	-2.213152	0.440422	0.002058	0.268247
-8.626723	-2.112372	0.445427	0.002227	0.268102
-8.630313	-2.114167	0.450432	0.002228	0.268091
-8.441394	-2.149238	0.455437	0.002182	0.268099
-8.484068	-2.141782	0.460442	0.002192	0.268095
-8.316195	-2.176115	0.465446	0.002151	0.268089
-8.494930	-2.138008	0.470451	0.002195	0.268102
-8.484087	-2.168369	0.475456	0.002192	0.267983
-8.714586	-2.165856	0.480461	0.002249	0.267804
-8.631253	-2.183947	0.485466	0.002229	0.267796
-8.682151	-2.174683	0.490470	0.002241	0.267793
-8.638034	-2.252261	0.495475	0.002230	0.267504
-8.836220	-2.222149	0.500480	0.002279	0.267467
-9.030700	-2.184897	0.505485	0.002326	0.267462
-9.472539	-2.170601	0.510490	0.002434	0.267158
-9.264268	-2.211572	0.515494	0.002384	0.267157
-9.524953	-2.158922	0.520499	0.002447	0.267163
-9.702281	-2.126600	0.525504	0.002491	0.267152
-9.431878	-2.222750	0.530509	0.002425	0.266971
-9.887910	-2.163569	0.535514	0.002536	0.266843
-9.667222	-2.207918	0.540518	0.002482	0.266839
-9.749635	-2.203056	0.545523	0.002503	0.266791
-10.171784	-2.182204	0.550528	0.002606	0.266529
-9.947440	-2.224644	0.555533	0.002551	0.266536
-10.335945	-2.148865	0.560538	0.002646	0.266533
-10.256438	-2.210657	0.565542	0.002627	0.266339
-10.681797	-2.157998	0.570547	0.002731	0.266208
-10.804949	-2.137019	0.575552	0.002761	0.266194
-10.639656	-2.166992	0.580557	0.002720	0.266205
-10.874548	-2.121334	0.585562	0.002778	0.266202
-10.813057	-2.185862	0.590566	0.002763	0.265981
-11.084194	-2.153734	0.595571	0.002829	0.265891
-11.089062	-2.154711	0.600576	0.002830	0.265883
-11.181541	-2.134724	0.605581	0.002853	0.265890
-11.461566	-2.085145	0.610586	0.002922	0.265867
-11.392387	-2.168928	0.615590	0.002905	0.265570
-11.532947	-2.139277	0.620595	0.002939	0.265579
-11.701847	-2.109563	0.625600	0.002980	0.265564
-11.431832	-2.162305	0.630605	0.002915	0.265565
-11.712927	-2.174715	0.635610	0.002983	0.265279
-11.970834	-2.125508	0.640614	0.003046	0.265272
-12.393362	-2.039666	0.645619	0.003150	0.265284
-12.295876	-2.061063	0.650624	0.003126	0.265274
-12.042667	-2.113035	0.655629	0.003064	0.265265
-12.397138	-2.117564	0.660634	0.003151	0.264950
-12.413595	-2.115244	0.665638	0.003155	0.264946
-12.434482	-2.108198	0.670643	0.003160	0.264958
-12.778998	-2.044478	0.675648	0.003244	0.264941
-12.711056	-2.083100	0.680653	0.003228	0.264834
-13.037953	-2.064183	0.685658	0.003308	0.264642
-12.728392	-2.126163	0.690662	0.003232	0.264637
-12.665084	-2.135589	0.695667	0.003217	0.264649
-12.717212	-2.191271	0.700672	0.003230	0.264369
-12.603941	-2.220982	0.705677	0.003202	0.264337
-12.890521	-2.202014	0.710682	0.003272	0.264178
-12.997397	-2.205463	0.715686	0.003298	0.264074
-12.830144	-2.261606	0.720691	0.003257	0.263975
-13.533311	-2.178709	0.725696	0.003429	0.263740
-13.583792	-2.167763	0.730701	0.003442	0.263744
-13.785736	-2.131657	0.735706	0.003491	0.263728
-13.853049	-2.190166	0.740710	0.003508	0.263423
-14.334743	-2.093511	0.745715	0.003625	0.263431
-14.573491	-2.050006	0.750720	0.003684	0.263416
-14.389462	-2.083168	0.755725	0.003639	0.263429
-14.803540	-2.002961	0.760730	0.003740	0.263423
-14.961425	-1.973179	0.765734	0.003778	0.263418
-14.976481	-1.967703	0.770739	0.003782	0.263428
-15.152962	-1.934833	0.775744	0.003825	0.263421
-14.949354	-1.973198	0.780749	0.003776	0.263427
-14.738463	-2.021927	0.785754	0.003724	0.263396
-14.765242	-2.085488	0.790758	0.003731	0.263102
-14.956112	-2.046116	0.795763	0.003778	0.263110
-14.986247	-2.041695	0.800768	0.003785	0.263104
-14.627107	-2.162333	0.805773	0.003697	0.262890
-15.102391	-2.087521	0.810778	0.003814	0.262810
-14.751990	-2.187785	0.815782	0.003728	0.262676
-14.903487	-2.202221	0.820787	0.003765	0.262486
-14.885500	-2.246406	0.825792	0.003761	0.262312
-15.449990	-2.167823	0.830797	0.003899	0.262174
-15.554612	-2.148255	0.835802	0.003924	0.262169
-15.650445	-2.199828	0.840806	0.003948	0.261867
-16.186522	-2.095573	0.845811	0.004079	0.261862
-16.437635	-2.049869	0.850816	0.004140	0.261846
-16.251436	-2.083441	0.855821	0.004095	0.261859
-16.744978	-1.987035	0.860826	0.004215	0.261856
-17.049563	-1.928983	0.865830	0.004290	0.261848
-17.222701	-1.891337	0.870835	0.004332	0.261864
-17.154622	-1.908351	0.875840	0.004316	0.261848
-17.112395	-1.914936	0.880845	0.004305	0.261855
-16.996883	-1.949508	0.885850	0.004277	0.261804
-17.078631	-1.994768	0.890854	0.004297	0.261541
-16.995023	-2.007939	0.895859	0.004277	0.261554
-17.156915	-1.979184	0.900864	0.004317	0.261541
-16.708753	-2.083141	0.905869	0.004207	0.261473
-16.799945	-2.125827	0.910874	0.004230	0.261212
-16.691128	-2.168894	0.915878	0.004203	0.261119
-17.307719	-2.097557	0.920883	0.004354	0.260904
-17.235295	-2.113793	0.925888	0.004336	0.260895
-17.364872	-2.136069	0.930893	0.004368	0.260689
-18.402091	-1.957128	0.935898	0.004621	0.260582
-18.360253	-1.966707	0.940902	0.004611	0.260576
-18.258033	-1.983643	0.945907	0.004586	0.260589
-18.458094	-1.947116	0.950912	0.004635	0.260577
-18.348596	-1.967018	0.955917	0.004608	0.260584
-18.358761	-1.965918	0.960922	0.004611	0.260580
-18.080744	-2.082505	0.965926	0.004543	0.260312
-18.141006	-2.075670	0.970931	0.004558	0.260291
-18.199045	-2.105720	0.975936	0.004572	0.260111
-18.268837	-2.126077	0.980941	0.004589	0.259964
-18.135859	-2.166943	0.985946	0.004557	0.259900
-18.481272	-2.158050	0.990950	0.004641	0.259645
-18.674420	-2.117198	0.995955	0.004689	0.259657
-19.303485	-2.062143	1.000960	0.004842	0.259360

-19.737474	-1.975662	1.010957	0.004948	0.259365
-19.799669	-1.896970	1.020954	0.004964	0.259652
-19.807831	-1.894298	1.030950	0.004966	0.259656
-19.673773	-1.888057	1.040947	0.004933	0.259797
-19.364735	-1.911122	1.050944	0.004858	0.259959
-19.230316	-1.937029	1.060941	0.004825	0.259961
-18.664509	-2.080195	1.070938	0.004687	0.259823
-18.730524	-2.105340	1.080934	0.004703	0.259657
-18.614381	-2.127973	1.090931	0.004675	0.259658
-19.099104	-2.032960	1.100928	0.004794	0.259656
-19.170293	-2.019643	1.110925	0.004811	0.259653
-19.134450	-2.025516	1.120922	0.004802	0.259657
-19.063505	-2.038365	1.130918	0.004785	0.259662
-19.246248	-1.982998	1.140915	0.004830	0.259745
-18.902761	-1.999733	1.150912	0.004746	0.259964
-19.015493	-1.977979	1.160909	0.004774	0.259962
-19.403854	-1.892662	1.170906	0.004869	0.260001
-19.152593	-1.874020	1.180902	0.004807	0.260294
-18.872446	-1.929336	1.190899	0.004739	0.260292
-18.677514	-1.955591	1.200896	0.004692	0.260344
-18.090928	-2.069440	1.210893	0.004549	0.260350
-17.822605	-2.135985	1.220890	0.004483	0.260290
-17.767023	-2.195420	1.230886	0.004470	0.260080
-17.700248	-2.235564	1.240883	0.004454	0.259963
-18.256366	-2.126470	1.250880	0.004589	0.259962
-18.971561	-1.985891	1.260877	0.004764	0.259961
-19.564183	-1.808675	1.270874	0.004909	0.260223
-19.325028	-1.771637	1.280870	0.004851	0.260585
-18.949580	-1.772238	1.290867	0.004759	0.260900
-18.411633	-1.827939	1.300864	0.004628	0.261115
-17.624791	-1.974906	1.310861	0.004436	0.261147
-17.157183	-2.124108	1.320858	0.004322	0.260900
-16.935888	-2.218742	1.330854	0.004268	0.260680
-17.148822	-2.206380	1.340851	0.004320	0.260552
-17.642716	-2.172190	1.350848	0.004441	0.260281
-18.132036	-2.036190	1.360845	0.004560	0.260452
-18.220146	-1.988851	1.370842	0.004582	0.260581
-18.317016	-1.940156	1.380838	0.004606	0.260708
-18.058478	-1.946563	1.390835	0.004543	0.260899
-18.064752	-1.901362	1.400832	0.004544	0.261088
-17.818134	-1.921071	1.410829	0.004484	0.261211
-17.568303	-1.968738	1.420826	0.004423	0.261217
