Sun Feb 26 14:03:58 2017

Number of Points = 3602
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.723209	0.055077	0.000000	0.000020	0.290672

0.773824	0.023227	0.005005	0.000008	0.290587
0.589899	0.006043	0.010010	0.000053	0.290381
0.649522	-0.002159	0.015014	0.000039	0.290394
0.708039	-0.015063	0.020019	0.000024	0.290389
0.518772	0.020744	0.025024	0.000071	0.290383
0.519213	0.023607	0.030029	0.000071	0.290394
0.544436	0.015573	0.035034	0.000065	0.290382
0.682488	-0.016765	0.040038	0.000031	0.290361
0.517938	-0.053353	0.045043	0.000072	0.290095
0.475072	-0.044992	0.050048	0.000082	0.290094
0.508878	-0.048941	0.055053	0.000074	0.290104
0.598723	-0.151561	0.060058	0.000052	0.289775
0.504036	-0.131947	0.065062	0.000075	0.289779
0.423133	-0.177810	0.070067	0.000095	0.289539
0.415757	-0.197927	0.075072	0.000097	0.289455
0.493188	-0.266606	0.080077	0.000078	0.289248
0.412360	-0.276462	0.085082	0.000098	0.289147
0.354736	-0.317771	0.090086	0.000113	0.288943
0.520983	-0.385945	0.095091	0.000072	0.288805
0.596537	-0.465809	0.100096	0.000054	0.288551
0.441469	-0.503350	0.105101	0.000092	0.288287
0.422563	-0.571487	0.110106	0.000097	0.288007
0.485678	-0.643559	0.115110	0.000081	0.287774
0.495321	-0.714734	0.120115	0.000079	0.287503
0.395080	-0.775565	0.125120	0.000104	0.287188
0.417399	-0.850989	0.130125	0.000098	0.286910
0.285507	-0.906390	0.135130	0.000131	0.286592
0.290283	-0.982753	0.140134	0.000130	0.286296
0.125664	-1.033233	0.145139	0.000170	0.285971
-0.080010	-1.072888	0.150144	0.000221	0.285657
0.116270	-1.188352	0.155149	0.000173	0.285354
-0.065391	-1.235112	0.160154	0.000217	0.285029
0.031788	-1.340033	0.165158	0.000194	0.284691
-0.078661	-1.404937	0.170163	0.000221	0.284349
-0.145877	-1.468985	0.175168	0.000237	0.284044
-0.165788	-1.546937	0.180173	0.000242	0.283720
-0.247425	-1.629779	0.185178	0.000263	0.283329
-0.401412	-1.696822	0.190182	0.000300	0.282943
-0.437031	-1.778945	0.195187	0.000309	0.282589
-0.740544	-1.812203	0.200192	0.000384	0.282219
-0.706552	-1.900175	0.205197	0.000375	0.281896
-1.023086	-1.927081	0.210202	0.000453	0.281541
-1.534629	-1.902495	0.215206	0.000578	0.281238
-1.946705	-1.884402	0.220211	0.000679	0.280987
-2.269723	-1.875073	0.225216	0.000758	0.280770
-2.371019	-1.919012	0.230221	0.000783	0.280514
-2.352784	-1.959067	0.235226	0.000778	0.280368
-2.640540	-1.953342	0.240230	0.000849	0.280165
-3.140643	-1.914710	0.245235	0.000971	0.279925
-3.242100	-1.918599	0.250240	0.000996	0.279830
-2.906303	-2.020623	0.255245	0.000914	0.279685
-3.343929	-1.975403	0.260250	0.001021	0.279521
-3.653498	-1.964396	0.265254	0.001097	0.279320
-3.767063	-1.967709	0.270259	0.001125	0.279217
-3.681579	-1.999228	0.275264	0.001104	0.279158
-4.172789	-1.943000	0.280269	0.001224	0.278995
-4.478234	-1.886687	0.285274	0.001299	0.278980
-4.368698	-1.905915	0.290278	0.001272	0.278989
-4.505586	-1.938967	0.295283	0.001306	0.278748
-4.709751	-1.924246	0.300288	0.001356	0.278645
-4.708823	-1.920471	0.305293	0.001355	0.278661
-4.780342	-1.915617	0.310298	0.001373	0.278623
-4.989994	-1.945342	0.315302	0.001424	0.278337
-4.996536	-1.944616	0.320307	0.001426	0.278335
-4.726906	-1.998994	0.325312	0.001360	0.278329
-4.630908	-2.093267	0.330317	0.001337	0.278024
-4.823802	-2.064128	0.335322	0.001384	0.277988
-4.818736	-2.132638	0.340326	0.001383	0.277715
-4.823455	-2.153243	0.345331	0.001384	0.277628
-5.328289	-2.114846	0.350336	0.001508	0.277382
-5.637376	-2.051652	0.355341	0.001583	0.277392
-5.816316	-2.071778	0.360346	0.001627	0.277168
-6.111732	-2.035747	0.365350	0.001700	0.277078
-6.548656	-1.950328	0.370355	0.001806	0.277076
-7.042117	-1.855225	0.375360	0.001927	0.277068
-7.335101	-1.794797	0.380365	0.001999	0.277080
-7.266778	-1.811418	0.385370	0.001982	0.277066
-7.140091	-1.772297	0.390374	0.001951	0.277325
-7.019365	-1.830580	0.395379	0.001922	0.277185
-7.126121	-1.838600	0.400384	0.001948	0.277067
-6.918390	-1.876690	0.405389	0.001897	0.277078
-6.961508	-1.870380	0.410394	0.001908	0.277069
-6.935398	-1.873839	0.415398	0.001902	0.277075
-6.527527	-1.985892	0.420403	0.001802	0.276945
-6.460881	-2.045957	0.425408	0.001786	0.276755
-6.412366	-2.109707	0.430413	0.001774	0.276534
-6.685027	-2.079626	0.435418	0.001841	0.276439
-6.830986	-2.126909	0.440422	0.001877	0.276130
-7.008585	-2.105113	0.445427	0.001920	0.276076
