Sun Feb 26 13:18:16 2017

Number of Points = 3613
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.946384	-0.124714	0.000000	-0.000109	0.285845

0.927132	-0.130960	0.005005	-0.000105	0.285806
0.848767	-0.118301	0.010010	-0.000086	0.285795
0.861434	-0.121331	0.015014	-0.000089	0.285793
1.014273	-0.224833	0.020019	-0.000126	0.285505
0.877945	-0.204794	0.025024	-0.000093	0.285478
0.793030	-0.225407	0.030029	-0.000072	0.285332
0.885114	-0.283850	0.035034	-0.000095	0.285173
0.765444	-0.288750	0.040038	-0.000065	0.285062
0.705936	-0.329442	0.045043	-0.000051	0.284856
0.595724	-0.331528	0.050048	-0.000024	0.284762
0.612134	-0.388272	0.055053	-0.000028	0.284552
0.409091	-0.377577	0.060058	0.000021	0.284437
0.561053	-0.458492	0.065062	-0.000016	0.284235
0.587146	-0.503890	0.070067	-0.000022	0.284077
0.613239	-0.552321	0.075072	-0.000028	0.283906
0.518534	-0.595073	0.080077	-0.000005	0.283663
0.600297	-0.681054	0.085082	-0.000025	0.283387
0.546652	-0.730502	0.090086	-0.000012	0.283149
0.526004	-0.787261	0.095091	-0.000007	0.282908
0.429572	-0.835528	0.100096	0.000016	0.282642
0.503844	-0.922403	0.105101	-0.000002	0.282355
0.459187	-0.988752	0.110106	0.000009	0.282056
0.425969	-1.059702	0.115110	0.000017	0.281748
0.424105	-1.135923	0.120115	0.000018	0.281443
0.535688	-1.249844	0.125120	-0.000010	0.281076
0.456687	-1.321618	0.130125	0.000010	0.280728
0.316046	-1.380851	0.135130	0.000044	0.280381
0.325377	-1.470820	0.140134	0.000042	0.280028
0.373038	-1.566549	0.145139	0.000030	0.279682
0.289696	-1.645581	0.150144	0.000050	0.279299
0.296327	-1.732216	0.155149	0.000049	0.278956
0.322418	-1.839034	0.160154	0.000042	0.278547
0.152631	-1.905485	0.165158	0.000084	0.278145
0.182522	-2.018008	0.170163	0.000077	0.277714
0.052299	-2.100771	0.175168	0.000109	0.277276
-0.109444	-2.162783	0.180173	0.000148	0.276897
-0.272682	-2.240249	0.185178	0.000188	0.276453
-0.417568	-2.312983	0.190182	0.000223	0.276042
-0.520785	-2.383733	0.195187	0.000249	0.275672
-0.663528	-2.451355	0.200192	0.000283	0.275282
-0.858612	-2.516487	0.205197	0.000331	0.274860
-0.919509	-2.595132	0.210202	0.000346	0.274490
-1.171008	-2.625731	0.215206	0.000407	0.274163
-1.763665	-2.585395	0.220211	0.000552	0.273852
-3.461055	-2.284048	0.225216	0.000966	0.273720
-3.362934	-2.359108	0.230221	0.000943	0.273492
