Sun Feb 26 14:07:14 2017

Number of Points = 3618
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.381910	-0.028758	0.000000	0.000010	0.281732

0.370319	-0.028460	0.005005	0.000013	0.281724
0.361392	-0.026589	0.010010	0.000015	0.281724
0.530322	-0.058175	0.015014	-0.000026	0.281730
0.553493	-0.066130	0.020019	-0.000032	0.281716
0.508295	-0.053559	0.025024	-0.000021	0.281730
0.412354	-0.064114	0.030029	0.000003	0.281613
0.400819	-0.110446	0.035034	0.000006	0.281419
0.431491	-0.114826	0.040038	-0.000002	0.281425
0.307520	-0.134265	0.045043	0.000029	0.281250
0.285304	-0.168096	0.050048	0.000034	0.281097
0.171982	-0.147866	0.055053	0.000062	0.281089
0.068508	-0.192223	0.060058	0.000088	0.280830
0.065860	-0.204342	0.065062	0.000088	0.280779
0.103530	-0.249168	0.070067	0.000079	0.280629
0.189707	-0.307364	0.075072	0.000058	0.280464
0.018199	-0.319114	0.080077	0.000101	0.280281
0.124244	-0.371444	0.085082	0.000075	0.280155
0.113866	-0.440649	0.090086	0.000077	0.279869
0.242088	-0.511218	0.095091	0.000046	0.279686
0.327809	-0.584411	0.100096	0.000026	0.279460
0.319767	-0.649500	0.105101	0.000028	0.279192
0.443590	-0.729719	0.110106	-0.000002	0.278966
0.265448	-0.772253	0.115110	0.000041	0.278654
0.231675	-0.846682	0.120115	0.000050	0.278327
0.171041	-0.909886	0.125120	0.000065	0.278024
0.111634	-0.973519	0.130125	0.000079	0.277719
0.041485	-1.042883	0.135130	0.000097	0.277382
-0.095334	-1.093004	0.140134	0.000130	0.277070
-0.341385	-1.122311	0.145139	0.000190	0.276755
-0.236182	-1.212898	0.150144	0.000165	0.276471
-0.302322	-1.288449	0.155149	0.000181	0.276111
-0.294269	-1.373622	0.160154	0.000179	0.275771
-0.370858	-1.441772	0.165158	0.000198	0.275432
-0.445503	-1.510846	0.170163	0.000217	0.275090
-0.400108	-1.606714	0.175168	0.000206	0.274735
-0.420288	-1.690206	0.180173	0.000211	0.274377
-0.504885	-1.749366	0.185178	0.000232	0.274066
-0.499037	-1.855183	0.190182	0.000231	0.273637
-0.676054	-1.919322	0.195187	0.000274	0.273230
-0.865815	-1.966455	0.200192	0.000320	0.272883
-1.527025	-1.924928	0.205197	0.000482	0.272519
-1.750615	-1.951264	0.210202	0.000537	0.272229
-1.940578	-1.977086	0.215206	0.000583	0.271968
-2.302532	-1.968643	0.220211	0.000672	0.271709
-2.454158	-1.989491	0.225216	0.000709	0.271499
-2.834433	-1.986655	0.230221	0.000802	0.271202
-3.175312	-1.938301	0.235226	0.000886	0.271124
-3.890939	-1.864350	0.240230	0.001060	0.270848
-3.775226	-1.889854	0.245235	0.001032	0.270836
-3.923363	-1.857396	0.250240	0.001069	0.270849
-4.383791	-1.831819	0.255245	0.001181	0.270580
-4.610078	-1.800776	0.260250	0.001237	0.270524
-4.855504	-1.750146	0.265254	0.001297	0.270534
-5.052550	-1.714661	0.270259	0.001345	0.270520
-4.807457	-1.759973	0.275264	0.001285	0.270531
-4.963022	-1.730531	0.280269	0.001323	0.270526
-4.718243	-1.779375	0.285274	0.001264	0.270523
-4.817375	-1.771066	0.290278	0.001288	0.270476
-5.061749	-1.783677	0.295283	0.001348	0.270224
-4.817720	-1.828614	0.300288	0.001288	0.270236
-4.980506	-1.798818	0.305293	0.001328	0.270226
-4.864142	-1.893193	0.310298	0.001300	0.269929
-4.718085	-1.925214	0.315302	0.001264	0.269915
-4.699332	-1.997862	0.320307	0.001260	0.269627
-4.523593	-2.056649	0.325312	0.001217	0.269526
-4.857025	-2.048640	0.330317	0.001299	0.269286
-4.780314	-2.103510	0.335322	0.001280	0.269120
-5.508856	-1.974693	0.340326	0.001458	0.269059
-6.152918	-1.916108	0.345331	0.001616	0.268775
-6.514869	-1.856800	0.350336	0.001704	0.268726
-6.969134	-1.768584	0.355341	0.001815	0.268721
-6.780961	-1.805545	0.360346	0.001769	0.268720
-7.018413	-1.756831	0.365350	0.001827	0.268729
-7.318696	-1.698368	0.370355	0.001901	0.268726
-6.907670	-1.712182	0.375360	0.001801	0.269005
-7.336133	-1.695263	0.380365	0.001905	0.268724
-7.125674	-1.737346	0.385370	0.001854	0.268720
-7.174726	-1.726152	0.390374	0.001866	0.268727
-7.083336	-1.746343	0.395379	0.001844	0.268717
-6.719767	-1.815419	0.400384	0.001755	0.268726
-6.884153	-1.827685	0.405389	0.001796	0.268540
-7.191538	-1.800777	0.410394	0.001871	0.268399
-6.855643	-1.869785	0.415398	0.001789	0.268386
-7.548833	-1.807610	0.420403	0.001958	0.268076
-7.623598	-1.790317	0.425408	0.001977	0.268087
-7.702343	-1.775193	0.430413	0.001996	0.268085
-7.300524	-1.888607	0.435418	0.001898	0.267940
-7.545854	-1.876070	0.440422	0.001958	0.267790
-7.001681	-2.011493	0.445427	0.001825	0.267670
-7.079345	-2.045589	0.450432	0.001845	0.267463
-7.300448	-2.068223	0.455437	0.001899	0.267185
-7.374299	-2.084002	0.460442	0.001917	0.267057
-7.761863	-2.059859	0.465446	0.002012	0.266838
-8.120695	-2.027148	0.470451	0.002099	0.266679
-8.833642	-1.921472	0.475456	0.002274	0.266533
-9.318339	-1.826282	0.480461	0.002392	0.266533
-9.419136	-1.808451	0.485466	0.002417	0.266524
-9.999811	-1.691148	0.490470	0.002559	0.266537
-10.355953	-1.571455	0.495475	0.002646	0.266746
-9.898010	-1.639752	0.500480	0.002534	0.266837
-10.074715	-1.606297	0.505485	0.002577	0.266831
-10.017368	-1.618252	0.510490	0.002563	0.266828
-9.903684	-1.637512	0.515494	0.002536	0.266840
-9.949259	-1.632089	0.520499	0.002547	0.266825
-9.809735	-1.656468	0.525504	0.002513	0.266837
-9.760075	-1.667121	0.530509	0.002501	0.266833
-9.077864	-1.854206	0.535514	0.002335	0.266610
-9.190692	-1.849408	0.540518	0.002362	0.266536
-9.334569	-1.897012	0.545523	0.002398	0.266216
-9.026839	-1.977055	0.550528	0.002323	0.266133
-9.577780	-1.928629	0.555533	0.002457	0.265880
-9.178982	-2.056180	0.560538	0.002360	0.265672
-9.408471	-2.042505	0.565542	0.002416	0.265539
-9.595945	-2.072081	0.570547	0.002462	0.265258
-9.634373	-2.108188	0.575552	0.002472	0.265072
-10.758454	-1.918771	0.580557	0.002746	0.264938
-10.894058	-1.893207	0.585562	0.002780	0.264933
-11.077749	-1.884678	0.590566	0.002825	0.264816
-12.074214	-1.709923	0.595571	0.003068	0.264726
-11.792140	-1.713609	0.600576	0.002999	0.264945
-12.171175	-1.640499	0.605581	0.003092	0.264939
-12.151170	-1.645682	0.610586	0.003087	0.264934
-12.329523	-1.606743	0.615590	0.003131	0.264950
-12.648404	-1.547375	0.620595	0.003209	0.264935
-12.483292	-1.577142	0.625600	0.003169	0.264946
-12.277777	-1.568270	0.630605	0.003118	0.265154
-11.669473	-1.738944	0.635610	0.002970	0.264937
-11.469497	-1.776336	0.640614	0.002921	0.264945
-11.283483	-1.849139	0.645619	0.002876	0.264791
-10.943307	-1.958235	0.650624	0.002793	0.264612
-11.164587	-1.983617	0.655629	0.002847	0.264319
-11.512844	-1.949458	0.660634	0.002933	0.264173
-11.930919	-1.891549	0.665638	0.003035	0.264069
-11.924642	-1.950882	0.670643	0.003033	0.263822
-12.200719	-1.916125	0.675648	0.003101	0.263738
-12.794006	-1.800202	0.680653	0.003246	0.263735
-12.742849	-1.879686	0.685658	0.003234	0.263439
-12.851165	-1.862535	0.690662	0.003260	0.263421
-12.878625	-1.860158	0.695667	0.003267	0.263408
-12.899961	-1.894429	0.700672	0.003272	0.263243
-13.471213	-1.818215	0.705677	0.003412	0.263089
-13.310787	-1.850707	0.710682	0.003373	0.263085
-13.307334	-1.848740	0.715686	0.003372	0.263095
-13.819988	-1.757886	0.720691	0.003498	0.263053
-14.145456	-1.753992	0.725696	0.003577	0.262796
-14.352277	-1.662785	0.730701	0.003628	0.263011
-14.531404	-1.670429	0.735706	0.003672	0.262828
-14.492730	-1.615628	0.740710	0.003662	0.263094
-14.519049	-1.634965	0.745715	0.003669	0.262989
-13.980126	-1.768619	0.750720	0.003537	0.262870
-14.532543	-1.677910	0.755725	0.003672	0.262793
-14.263032	-1.731850	0.760730	0.003607	0.262789
-14.113059	-1.763912	0.765734	0.003570	0.262777
-14.713686	-1.721025	0.770739	0.003717	0.262456
-14.446243	-1.770187	0.775744	0.003652	0.262470
-14.281031	-1.803440	0.780749	0.003612	0.262466
-14.113191	-1.904541	0.785754	0.003571	0.262174
-14.239902	-1.888610	0.790758	0.003602	0.262135
-14.601299	-1.887877	0.795763	0.003690	0.261834
-14.372022	-1.937164	0.800768	0.003634	0.261815
-15.134660	-1.851241	0.805773	0.003821	0.261540
-15.151789	-1.849122	0.810778	0.003825	0.261535
-15.105018	-1.865247	0.815782	0.003814	0.261504
-15.548113	-1.848393	0.820787	0.003922	0.261202
