Sun Feb 26 13:34:36 2017

Number of Points = 3588
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.204694	0.008555	0.000000	0.000012	0.288937

1.205406	0.009473	0.005005	0.000012	0.288940
1.150790	0.022264	0.010010	0.000026	0.288948
1.163845	0.015623	0.015014	0.000023	0.288931
1.186704	0.014861	0.020019	0.000017	0.288945
1.137564	0.022170	0.025024	0.000029	0.288936
1.062601	-0.012743	0.030029	0.000048	0.288742
1.137531	-0.061311	0.035034	0.000030	0.288610
1.022996	-0.041770	0.040038	0.000058	0.288598
0.999024	-0.034079	0.045043	0.000064	0.288609
1.066986	-0.118183	0.050048	0.000048	0.288333
0.993421	-0.115774	0.055053	0.000066	0.288286
0.928043	-0.118590	0.060058	0.000082	0.288224
0.860401	-0.174170	0.065062	0.000099	0.287956
0.940087	-0.186479	0.070067	0.000079	0.287968
0.946692	-0.263356	0.075072	0.000078	0.287673
0.886573	-0.263609	0.080077	0.000093	0.287625
0.933593	-0.344814	0.085082	0.000082	0.287344
0.870579	-0.374097	0.090086	0.000097	0.287181
0.781061	-0.393319	0.095091	0.000119	0.287036
0.719693	-0.456957	0.100096	0.000135	0.286740
0.604380	-0.470748	0.105101	0.000163	0.286596
0.569959	-0.511608	0.110106	0.000172	0.286409
0.583324	-0.592238	0.115110	0.000168	0.286103
0.473173	-0.617150	0.120115	0.000196	0.285920
0.513946	-0.678999	0.125120	0.000186	0.285708
0.403874	-0.725091	0.130125	0.000213	0.285441
0.356852	-0.781889	0.135130	0.000225	0.285181
0.355664	-0.848593	0.140134	0.000225	0.284917
0.346511	-0.909914	0.145139	0.000228	0.284668
0.275180	-0.964781	0.150144	0.000245	0.284395
0.242651	-1.026020	0.155149	0.000254	0.284128
0.267048	-1.092545	0.160154	0.000248	0.283884
0.133929	-1.151547	0.165158	0.000281	0.283546
0.164928	-1.235680	0.170163	0.000273	0.283237
0.031759	-1.289553	0.175168	0.000306	0.282919
0.027609	-1.371834	0.180173	0.000307	0.282588
-0.091977	-1.428857	0.185178	0.000337	0.282268
-0.242932	-1.483011	0.190182	0.000374	0.281934
-0.381976	-1.532498	0.195187	0.000408	0.281628
-0.512421	-1.585723	0.200192	0.000440	0.281313
-0.565734	-1.659276	0.205197	0.000453	0.280977
-0.475904	-1.757213	0.210202	0.000432	0.280656
-0.702856	-1.797122	0.215206	0.000487	0.280317
-0.623018	-1.893603	0.220211	0.000468	0.279993
-0.828636	-1.938765	0.225216	0.000518	0.279649
-0.837801	-2.020908	0.230221	0.000521	0.279312
-1.093920	-2.034907	0.235226	0.000584	0.279052
-1.333899	-2.071115	0.240230	0.000643	0.278717
-1.407863	-2.131964	0.245235	0.000661	0.278412
-1.590303	-2.176447	0.250240	0.000706	0.278088
-1.947833	-2.177660	0.255245	0.000793	0.277799
-2.194151	-2.187540	0.260250	0.000854	0.277563
-2.438107	-2.196777	0.265254	0.000913	0.277331
-2.683004	-2.207814	0.270259	0.000973	0.277091
-2.843903	-2.230336	0.275264	0.001013	0.276871
-2.944068	-2.243935	0.280269	0.001038	0.276736
-2.919091	-2.314339	0.285274	0.001032	0.276469
-3.149099	-2.324348	0.290278	0.001088	0.276245
-3.113967	-2.368905	0.295283	0.001080	0.276091
-3.474055	-2.364819	0.300288	0.001168	0.275819
-3.647354	-2.364801	0.305293	0.001210	0.275680
-4.257945	-2.288210	0.310298	0.001360	0.275503
-4.445015	-2.254186	0.315302	0.001406	0.275491
-4.421046	-2.299955	0.320307	0.001400	0.275324
-4.677966	-2.279436	0.325312	0.001463	0.275201
-4.594993	-2.296152	0.330317	0.001443	0.275199
-4.759943	-2.304563	0.335322	0.001483	0.275031
-5.743616	-2.151762	0.340326	0.001724	0.274866
-5.814354	-2.134710	0.345331	0.001741	0.274878
-5.857116	-2.126916	0.350336	0.001752	0.274875
-5.898397	-2.118085	0.355341	0.001762	0.274877
-6.024263	-2.091976	0.360346	0.001793	0.274882
-6.316930	-2.037233	0.365350	0.001865	0.274870
-6.207675	-2.056814	0.370355	0.001838	0.274878
-6.248354	-2.049654	0.375360	0.001848	0.274874
-6.022404	-2.094014	0.380365	0.001793	0.274873
-5.648096	-2.165278	0.385370	0.001702	0.274882
-5.431804	-2.225242	0.390374	0.001649	0.274810
-5.452208	-2.279284	0.395379	0.001655	0.274572
-5.581348	-2.280925	0.400384	0.001686	0.274461
-5.654616	-2.317398	0.405389	0.001705	0.274252
-5.706501	-2.335095	0.410394	0.001717	0.274138
-5.999591	-2.305231	0.415398	0.001789	0.274024
-6.092214	-2.336334	0.420403	0.001812	0.273821
-6.848136	-2.219894	0.425408	0.001997	0.273689
-7.043596	-2.181945	0.430413	0.002045	0.273686
-7.348742	-2.119177	0.435418	0.002119	0.273697
-7.747408	-2.044579	0.440422	0.002217	0.273681
-7.927684	-2.005716	0.445427	0.002261	0.273695
-8.444110	-1.904861	0.450432	0.002387	0.273692
-8.350891	-1.922774	0.455437	0.002365	0.273693
-8.133612	-1.964157	0.460442	0.002312	0.273698
-8.024994	-1.988503	0.465446	0.002286	0.273685
-7.580974	-2.072058	0.470451	0.002177	0.273699
-7.025686	-2.183554	0.475456	0.002042	0.273689
-6.745523	-2.313830	0.480461	0.001974	0.273379
-6.931967	-2.321936	0.485466	0.002020	0.273195
-7.030856	-2.348842	0.490470	0.002044	0.273004
-6.900147	-2.433103	0.495475	0.002012	0.272763
-7.158323	-2.454643	0.500480	0.002076	0.272465
-7.910397	-2.333868	0.505485	0.002259	0.272353
-8.639618	-2.244861	0.510490	0.002438	0.272128
-9.038167	-2.169251	0.515494	0.002535	0.272117
-9.451175	-2.085360	0.520499	0.002636	0.272127
-9.917259	-1.994505	0.525504	0.002750	0.272124
-9.967556	-1.934240	0.530509	0.002763	0.272331
-9.800778	-1.941623	0.535514	0.002722	0.272435
-9.878937	-1.928643	0.540518	0.002741	0.272425
-9.950943	-1.912273	0.545523	0.002759	0.272433
-9.980871	-1.907543	0.550528	0.002767	0.272428
-9.448485	-2.013215	0.555533	0.002637	0.272423
-8.925491	-2.123110	0.560538	0.002509	0.272393
-8.941371	-2.187070	0.565542	0.002513	0.272116
-8.512998	-2.303855	0.570547	0.002409	0.271980
-8.865611	-2.277289	0.575552	0.002495	0.271803
-8.596771	-2.404254	0.580557	0.002430	0.271497
-8.887035	-2.399369	0.585562	0.002501	0.271280
-9.639919	-2.281566	0.590566	0.002685	0.271155
-9.691720	-2.337639	0.595571	0.002698	0.270880
-10.097055	-2.265394	0.600576	0.002797	0.270849
-10.447283	-2.198504	0.605581	0.002883	0.270840
-11.258162	-2.099278	0.610586	0.003081	0.270590
-11.384598	-2.013475	0.615590	0.003112	0.270843
-11.538659	-1.980307	0.620595	0.003150	0.270854
-11.553226	-1.978234	0.625600	0.003154	0.270850
-11.138788	-2.059859	0.630605	0.003053	0.270849
-10.912036	-2.102823	0.635610	0.002997	0.270855
-10.995778	-2.163414	0.640614	0.003018	0.270535
-11.063651	-2.148937	0.645619	0.003035	0.270539
-11.100964	-2.142511	0.650624	0.003044	0.270534
-10.930775	-2.232622	0.655629	0.003003	0.270298
-11.346248	-2.164182	0.660634	0.003104	0.270243
-11.603543	-2.116955	0.665638	0.003167	0.270229
-11.414638	-2.206374	0.670643	0.003122	0.270011
-12.206811	-2.075634	0.675648	0.003315	0.269906
-12.275578	-2.062691	0.680653	0.003332	0.269903
-12.120790	-2.089715	0.685658	0.003295	0.269917
-11.961855	-2.124165	0.690662	0.003256	0.269903
-11.865259	-2.191200	0.695667	0.003233	0.269702
-12.226224	-2.142238	0.700672	0.003321	0.269610
-12.131066	-2.162676	0.705677	0.003298	0.269602
-12.412725	-2.149442	0.710682	0.003367	0.269427
-13.028626	-2.061828	0.715686	0.003517	0.269287
-12.550639	-2.153425	0.720691	0.003401	0.269296
-12.513454	-2.161767	0.725696	0.003392	0.269291
-12.675472	-2.173573	0.730701	0.003432	0.269108
-12.854576	-2.148373	0.735706	0.003476	0.269066
-12.974554	-2.127732	0.740710	0.003505	0.269053
-12.875321	-2.195343	0.745715	0.003481	0.268852
-13.598971	-2.083493	0.750720	0.003658	0.268724
-13.423035	-2.119056	0.755725	0.003615	0.268720
-13.157695	-2.168874	0.760730	0.003551	0.268729
-13.449156	-2.185759	0.765734	0.003622	0.268418
-13.493062	-2.178602	0.770739	0.003633	0.268411
-13.641301	-2.150496	0.775744	0.003669	0.268406
-13.740115	-2.196295	0.780749	0.003694	0.268133
-14.057205	-2.144226	0.785754	0.003771	0.268089
-14.226653	-2.113852	0.790758	0.003813	0.268077
-14.392644	-2.078537	0.795763	0.003854	0.268087
-14.817132	-1.995559	0.800768	0.003958	0.268085
-15.300259	-1.901971	0.805773	0.004076	0.268079
-15.181216	-1.922726	0.810778	0.004047	0.268089
-15.247287	-1.912955	0.815782	0.004063	0.268075
-15.120517	-1.935639	0.820787	0.004032	0.268084
-14.824261	-1.993999	0.825792	0.003960	0.268082
-14.443629	-2.128934	0.830797	0.003867	0.267830
-14.576740	-2.110804	0.835802	0.003900	0.267796
-14.729731	-2.128908	0.840806	0.003938	0.267593
-14.521140	-2.201889	0.845811	0.003887	0.267458
-14.224582	-2.305025	0.850816	0.003815	0.267269
-14.524878	-2.283070	0.855821	0.003888	0.267113
-14.940402	-2.266935	0.860826	0.003990	0.266837
-15.112385	-2.243013	0.865830	0.004032	0.266795
-15.436431	-2.241217	0.870835	0.004112	0.266533
-16.097826	-2.110735	0.875840	0.004273	0.266535
-16.428885	-2.047211	0.880845	0.004354	0.266528
-16.568856	-2.017912	0.885850	0.004389	0.266535
-16.723174	-1.989792	0.890854	0.004427	0.266525
-16.626484	-2.006773	0.895859	0.004403	0.266533
-16.804407	-1.972040	0.900864	0.004447	0.266531
-16.732732	-1.987149	0.905869	0.004429	0.266526
-16.945805	-1.941854	0.910874	0.004482	0.266540
-16.927073	-1.949102	0.915878	0.004477	0.266524
-16.777011	-2.018518	0.920883	0.004441	0.266356
-17.034819	-2.005645	0.925888	0.004504	0.266196
-16.665439	-2.080029	0.930893	0.004414	0.266187
-16.394337	-2.145237	0.935898	0.004348	0.266136
-16.884756	-2.110140	0.940902	0.004468	0.265877
-16.544598	-2.180799	0.945907	0.004385	0.265861
-17.091987	-2.144529	0.950912	0.004519	0.265559
-17.379659	-2.088489	0.955917	0.004589	0.265556
-17.450117	-2.072482	0.960922	0.004607	0.265564
-17.459227	-2.124596	0.965926	0.004609	0.265336
-17.554130	-2.122417	0.970931	0.004633	0.265266
-17.788691	-2.076080	0.975936	0.004690	0.265266
-17.828104	-2.098490	0.980941	0.004700	0.265138
-18.545817	-2.003759	0.985946	0.004875	0.264941
-18.639906	-1.988104	0.990950	0.004899	0.264928
-18.515156	-2.010552	0.995955	0.004868	0.264936
-18.572299	-2.000078	1.000960	0.004882	0.264933

-18.238159	-2.064448	1.010957	0.004801	0.264937
-18.173510	-2.113765	1.020954	0.004786	0.264780
-18.025953	-2.177766	1.030950	0.004750	0.264631
-18.078734	-2.167410	1.040947	0.004763	0.264629
-18.426855	-2.118080	1.050944	0.004849	0.264547
-18.837630	-2.017491	1.060941	0.004949	0.264630
-18.864298	-2.011935	1.070938	0.004956	0.264630
-19.200083	-1.897932	1.080934	0.005039	0.264833
-18.965287	-1.880558	1.090931	0.004982	0.265100
-18.090933	-2.013938	1.100928	0.004769	0.265262
-18.194232	-2.025326	1.110925	0.004794	0.265127
-17.791848	-2.122386	1.120922	0.004696	0.265049
-17.536433	-2.199288	1.130918	0.004634	0.264935
-17.626703	-2.181440	1.140915	0.004657	0.264934
-18.054160	-2.097208	1.150912	0.004761	0.264934
-17.942666	-2.144177	1.160909	0.004735	0.264826
-18.217378	-2.063931	1.170906	0.004802	0.264936
-18.388275	-2.030137	1.180902	0.004844	0.264936
-18.425165	-1.955430	1.190899	0.004853	0.265220
-18.424424	-1.936495	1.200896	0.004854	0.265300
-18.124372	-1.933463	1.210893	0.004781	0.265561
-17.756026	-2.005179	1.220890	0.004691	0.265562
-17.227726	-2.109245	1.230886	0.004562	0.265560
-17.045321	-2.154995	1.240883	0.004518	0.265517
-17.328100	-2.158928	1.250880	0.004588	0.265264
-17.353431	-2.152688	1.260877	0.004594	0.265268
-17.448122	-2.134028	1.270874	0.004618	0.265267
-17.565733	-2.080441	1.280870	0.004647	0.265395
-17.649575	-2.025167	1.290867	0.004668	0.265557
-17.629400	-2.028956	1.300864	0.004663	0.265557
-17.441614	-2.064551	1.310861	0.004618	0.265561
-17.140490	-2.093234	1.320858	0.004544	0.265689
-17.120846	-2.092104	1.330854	0.004540	0.265709
-17.182056	-2.039460	1.340851	0.004555	0.265879
-17.326891	-2.011094	1.350848	0.004591	0.265877
-17.392403	-1.996758	1.360845	0.004607	0.265882
-17.061884	-2.009204	1.370842	0.004527	0.266103
-16.611471	-2.102413	1.380838	0.004417	0.266082
-16.717035	-2.129826	1.390835	0.004444	0.265877
-16.453923	-2.180916	1.400832	0.004380	0.265878
-16.577237	-2.155674	1.410829	0.004410	0.265881
-16.794990	-2.112521	1.420826	0.004464	0.265882
-16.915312	-2.085007	1.430822	0.004493	0.265897
-16.703681	-2.057234	1.440819	0.004442	0.266188
-16.866424	-2.024465	1.450816	0.004482	0.266190
-17.033523	-1.983747	1.460813	0.004523	0.266222
-16.440820	-2.026781	1.470810	0.004379	0.266530
-16.446391	-2.026113	1.480806	0.004381	0.266527
-16.494181	-2.016662	1.490803	0.004393	0.266526
-16.363252	-2.042021	1.500800	0.004361	0.266527
-16.163728	-2.079723	1.510797	0.004313	0.266532
-15.793103	-2.151341	1.520794	0.004223	0.266536
-15.566747	-2.214474	1.530790	0.004168	0.266456
-16.159868	-2.157882	1.540787	0.004313	0.266202
-15.995150	-2.112316	1.550784	0.004273	0.266529
-16.075658	-2.095855	1.560781	0.004293	0.266531
-16.181548	-2.074667	1.570778	0.004319	0.266531
-16.419852	-2.027935	1.580774	0.004378	0.266529
-16.211355	-2.001846	1.590771	0.004327	0.266810
-16.201743	-1.999491	1.600768	0.004325	0.266827
-16.035961	-2.001686	1.610765	0.004285	0.266953
-15.552189	-2.069702	1.620762	0.004167	0.267066
-15.646862	-2.031950	1.630758	0.004191	0.267145
-15.439040	-2.072678	1.640755	0.004140	0.267144
-15.312863	-2.108609	1.650752	0.004110	0.267096
-15.472177	-2.140501	1.660749	0.004149	0.266829
-15.351536	-2.131404	1.670746	0.004120	0.266966
-15.246827	-2.175600	1.680742	0.004095	0.266865
-15.354661	-2.123413	1.690739	0.004122	0.266995
-15.234933	-2.133729	1.700736	0.004093	0.267049
-15.739720	-2.010291	1.710733	0.004216	0.267150
-15.597516	-2.037446	1.720730	0.004182	0.267152
-15.644501	-1.965077	1.730726	0.004194	0.267415
-15.429254	-1.997010	1.740723	0.004142	0.267458
-15.417428	-1.944419	1.750720	0.004139	0.267687
-15.081074	-1.985510	1.760717	0.004057	0.267790
-14.638405	-2.071455	1.770714	0.003950	0.267794
-14.564896	-2.109128	1.780710	0.003932	0.267695
-14.533574	-2.146458	1.790707	0.003925	0.267563
-14.467106	-2.184380	1.800704	0.003909	0.267457
-14.179069	-2.240001	1.810701	0.003839	0.267460
-14.721374	-2.133124	1.820698	0.003972	0.267460
-14.882826	-2.101148	1.830694	0.004012	0.267460
-15.070519	-2.064202	1.840691	0.004058	0.267459
-15.144057	-1.975511	1.850688	0.004076	0.267769
-14.905143	-2.017077	1.860685	0.004018	0.267791
-14.638473	-2.001157	1.870682	0.003953	0.268076
-14.690845	-1.987965	1.880678	0.003966	0.268087
-14.264805	-2.072017	1.890675	0.003863	0.268084
-14.217133	-2.080949	1.900672	0.003852	0.268084
-14.191902	-2.084957	1.910669	0.003846	0.268087
-14.170293	-2.088226	1.920666	0.003841	0.268090
-13.765569	-2.168298	1.930662	0.003742	0.268087
-14.011064	-2.120476	1.940659	0.003803	0.268084
-14.021840	-2.118128	1.950656	0.003806	0.268083
-14.113623	-2.099423	1.960653	0.003828	0.268085
-13.974809	-2.125545	1.970650	0.003795	0.268088
-14.380373	-2.013938	1.980646	0.003894	0.268221
-14.206538	-2.002990	1.990643	0.003852	0.268408
-14.435814	-1.933726	2.000640	0.003909	0.268508
-13.784720	-2.009729	2.010637	0.003750	0.268724
-13.550156	-2.055271	2.020634	0.003693	0.268725
-13.036798	-2.174654	2.030630	0.003568	0.268647
-13.460905	-2.148049	2.040627	0.003672	0.268408
-13.489075	-2.142675	2.050624	0.003679	0.268406
-13.509725	-2.137153	2.060621	0.003685	0.268411
-13.607368	-2.095937	2.070618	0.003709	0.268502
-13.518419	-2.060404	2.080614	0.003687	0.268722
-13.613604	-2.041974	2.090611	0.003711	0.268720
-13.456904	-2.072184	2.100608	0.003673	0.268721
-13.183068	-2.125289	2.110605	0.003607	0.268723
-13.225574	-2.117211	2.120602	0.003617	0.268720
-13.054767	-2.107469	2.130598	0.003576	0.268900
-13.207628	-2.070522	2.140595	0.003614	0.268928
-13.397987	-2.001779	2.150592	0.003661	0.269057
-13.715617	-1.927066	2.160589	0.003738	0.269107
-13.245014	-1.973925	2.170586	0.003624	0.269296
-12.687512	-2.083235	2.180582	0.003488	0.269296
-12.139391	-2.199402	2.190579	0.003355	0.269259
-12.157808	-2.243482	2.200576	0.003360	0.269059
-12.241157	-2.226208	2.210573	0.003380	0.269062
-12.541784	-2.234452	2.220570	0.003454	0.268780
-12.719058	-2.136164	2.230566	0.003498	0.269043
-12.936242	-2.089029	2.240563	0.003551	0.269061
-13.212439	-2.022827	2.250560	0.003619	0.269109
-13.233750	-1.973730	2.260557	0.003624	0.269295
-12.871991	-1.991575	2.270554	0.003536	0.269516
-12.645072	-2.013827	2.280550	0.003481	0.269607
-12.641371	-2.014277	2.290547	0.003481	0.269607
-12.170063	-2.070584	2.300544	0.003366	0.269757
-12.276345	-2.085283	2.310541	0.003392	0.269608
-12.097678	-2.094267	2.320538	0.003349	0.269715
-11.753768	-2.187438	2.330534	0.003266	0.269608
-11.501562	-2.236975	2.340531	0.003204	0.269606
-11.631119	-2.211870	2.350528	0.003236	0.269604
-12.074219	-2.152786	2.360525	0.003345	0.269486
-12.237231	-2.090797	2.370522	0.003385	0.269610
-12.812189	-1.949227	2.380518	0.003526	0.269727
-12.450562	-1.975872	2.390515	0.003438	0.269911
-12.022119	-1.991891	2.400512	0.003334	0.270193
-11.864472	-2.011277	2.410509	0.003295	0.270240
-11.667468	-2.049549	2.420506	0.003248	0.270240
-11.420101	-2.098783	2.430502	0.003188	0.270237
-11.247819	-2.132169	2.440499	0.003146	0.270237
-11.255916	-2.163903	2.450496	0.003148	0.270098
-11.558115	-2.126867	2.460493	0.003223	0.270004
-11.344565	-2.141754	2.470490	0.003171	0.270115
-11.325947	-2.143974	2.480486	0.003167	0.270120
-11.170129	-2.177040	2.490483	0.003129	0.270108
-11.406922	-2.115992	2.500480	0.003187	0.270167
-11.422464	-2.094717	2.510477	0.003191	0.270242
-11.406477	-2.097553	2.520474	0.003188	0.270242
-11.702705	-2.020374	2.530470	0.003260	0.270319
-11.722234	-1.964173	2.540467	0.003265	0.270535
-11.454941	-1.962161	2.550464	0.003201	0.270760
-11.013852	-2.025867	2.560461	0.003093	0.270854
-10.648637	-2.097268	2.570458	0.003004	0.270854
-10.422337	-2.163371	2.580454	0.002949	0.270764
-10.382760	-2.225027	2.590451	0.002940	0.270539
-10.360555	-2.229508	2.600448	0.002935	0.270537
-10.839278	-2.135451	2.610445	0.003052	0.270536
-11.232691	-2.057577	2.620442	0.003149	0.270537
-11.197588	-2.000398	2.630438	0.003141	0.270802
-10.964053	-2.033230	2.640435	0.003084	0.270854
-10.675117	-2.038557	2.650432	0.003014	0.271066
-10.441175	-2.085642	2.660429	0.002957	0.271060
-10.521877	-2.043405	2.670426	0.002977	0.271168
-10.311105	-2.084734	2.680422	0.002926	0.271168
-10.539257	-2.040073	2.690419	0.002982	0.271166
-10.400764	-2.066686	2.700416	0.002949	0.271167
-10.229527	-2.099817	2.710413	0.002907	0.271168
-9.862045	-2.170794	2.720410	0.002818	0.271172
-9.916813	-2.160322	2.730406	0.002831	0.271169
-9.777845	-2.187789	2.740403	0.002798	0.271167
-10.117289	-2.120902	2.750400	0.002881	0.271167
-10.008694	-2.141971	2.760397	0.002855	0.271167
-10.065020	-2.129966	2.770394	0.002869	0.271169
-10.068931	-2.129647	2.780390	0.002870	0.271166
-10.288042	-2.029844	2.790387	0.002924	0.271400
-10.143533	-2.033875	2.800384	0.002889	0.271499
-10.385793	-1.956005	2.810381	0.002949	0.271623
-10.146303	-1.957393	2.820378	0.002891	0.271811
-9.940171	-1.968051	2.830374	0.002841	0.271933
-9.184838	-2.093314	2.840371	0.002657	0.272027
-8.964157	-2.189303	2.850368	0.002603	0.271809
-8.352431	-2.348402	2.860365	0.002454	0.271647
-8.543460	-2.379872	2.870362	0.002501	0.271360
-9.107185	-2.315135	2.880358	0.002639	0.271168
-9.814406	-2.168199	2.890355	0.002812	0.271200
-10.340935	-1.990209	2.900352	0.002941	0.271507
-11.034654	-1.753402	2.910349	0.003111	0.271921
-10.303292	-1.796313	2.920346	0.002933	0.272336
-9.298910	-1.969125	2.930342	0.002688	0.272436
-8.460385	-2.134719	2.940339	0.002483	0.272431
-7.697528	-2.317730	2.950336	0.002297	0.272293
-7.810851	-2.379137	2.960333	0.002326	0.271947
-7.847294	-2.441663	2.970330	0.002335	0.271658
-8.787723	-2.293844	2.980326	0.002565	0.271504
-9.599833	-2.116657	2.990323	0.002764	0.271576
-10.266169	-1.896840	3.000320	0.002927	0.271941
-9.805777	-1.893301	3.010317	0.002814	0.272328
-9.275717	-1.941834	3.020314	0.002685	0.272556
-8.586802	-2.026172	3.030310	0.002517	0.272765
-8.381360	-2.066434	3.040307	0.002468	0.272764
-8.119165	-2.151466	3.050304	0.002404	0.272625
-8.017505	-2.218036	3.060301	0.002380	0.272431
-7.813284	-2.257047	3.070298	0.002330	0.272435
-8.335788	-2.193309	3.080294	0.002458	0.272273
-8.387747	-2.144467	3.090291	0.002471	0.272431
-8.768171	-2.069765	3.100288	0.002564	0.272430
-8.956822	-1.988896	3.110285	0.002611	0.272609
-8.911629	-1.957528	3.120282	0.002600	0.272773
-8.419200	-1.983862	3.130278	0.002480	0.273062
-7.750465	-2.115654	3.140275	0.002317	0.273059
-7.836584	-2.098719	3.150272	0.002339	0.273058
-7.710291	-2.164047	3.160269	0.002308	0.272890
-7.446819	-2.246288	3.170266	0.002244	0.272763
-7.378138	-2.259267	3.180262	0.002228	0.272764
-7.851906	-2.166796	3.190259	0.002344	0.272761
-8.224995	-2.093556	3.200256	0.002435	0.272759
-8.591377	-1.981503	3.210253	0.002525	0.272923
-8.519549	-1.932055	3.220250	0.002508	0.273183
-8.128530	-1.959679	3.230246	0.002413	0.273383
-7.733686	-2.009394	3.240243	0.002317	0.273497
-7.319663	-2.109877	3.250240	0.002216	0.273417
-6.950067	-2.190879	3.260237	0.002126	0.273381
-6.468114	-2.307346	3.270234	0.002009	0.273291
-6.949595	-2.267922	3.280230	0.002127	0.273063
-7.055944	-2.247283	3.290227	0.002153	0.273060
-7.253831	-2.208003	3.300224	0.002202	0.273061
-7.896295	-2.082178	3.310221	0.002359	0.273058
-7.895367	-2.010170	3.320218	0.002359	0.273353
-7.799174	-1.987454	3.330214	0.002336	0.273523
-7.603203	-1.984377	3.340211	0.002289	0.273692
-7.395492	-1.966171	3.350208	0.002238	0.273933
-6.888902	-2.041904	3.360205	0.002115	0.274029
-6.470882	-2.146318	3.370202	0.002013	0.273937
