Sun Feb 26 13:54:13 2017

Number of Points = 3597
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.709529	0.053936	0.000000	0.000079	0.281717

0.791714	0.046573	0.005005	0.000059	0.281752
0.841552	0.034195	0.010010	0.000047	0.281741
0.953135	0.015264	0.015014	0.000019	0.281752
0.854826	-0.010881	0.020019	0.000044	0.281571
0.919884	-0.056176	0.025024	0.000028	0.281441
1.039693	-0.078723	0.030029	-0.000001	0.281444
1.022085	-0.078845	0.035034	0.000003	0.281430
0.995019	-0.120877	0.040038	0.000010	0.281240
0.955451	-0.148145	0.045043	0.000020	0.281100
0.956237	-0.146758	0.050048	0.000020	0.281106
0.957084	-0.224806	0.055053	0.000020	0.280794
0.645807	-0.165691	0.060058	0.000096	0.280786
0.847726	-0.252888	0.065062	0.000047	0.280596
0.889746	-0.292984	0.070067	0.000036	0.280468
0.912333	-0.356476	0.075072	0.000031	0.280231
0.971600	-0.401438	0.080077	0.000017	0.280097
0.874302	-0.443966	0.085082	0.000041	0.279850
0.915021	-0.514155	0.090086	0.000031	0.279600
0.799516	-0.543340	0.095091	0.000059	0.279391
0.894235	-0.614609	0.100096	0.000036	0.279179
0.785665	-0.637617	0.105101	0.000063	0.279000
0.638888	-0.693442	0.110106	0.000099	0.278659
0.715099	-0.766151	0.115110	0.000081	0.278426
0.469364	-0.786671	0.120115	0.000141	0.278148
0.400789	-0.834535	0.125120	0.000158	0.277900
0.301540	-0.872224	0.130125	0.000182	0.277669
0.209525	-0.921506	0.135130	0.000205	0.277396
0.241250	-1.001052	0.140134	0.000197	0.277099
0.092262	-1.041323	0.145139	0.000234	0.276817
0.242840	-1.137721	0.150144	0.000197	0.276545
0.228092	-1.212475	0.155149	0.000201	0.276230
0.146824	-1.278764	0.160154	0.000221	0.275895
0.198146	-1.365504	0.165158	0.000209	0.275582
0.187962	-1.444396	0.170163	0.000211	0.275252
0.083631	-1.518575	0.175168	0.000237	0.274866
0.099331	-1.607357	0.180173	0.000233	0.274515
-0.163196	-1.637923	0.185178	0.000298	0.274179
0.021230	-1.746859	0.190182	0.000253	0.273880
-0.364744	-1.764893	0.195187	0.000347	0.273495
-0.465571	-1.828952	0.200192	0.000372	0.273150
-0.505175	-1.901228	0.205197	0.000382	0.272821
-0.739020	-1.947760	0.210202	0.000439	0.272440
-0.690494	-2.042829	0.215206	0.000427	0.272087
-0.824556	-2.099852	0.220211	0.000460	0.271742
-1.011781	-2.149136	0.225216	0.000506	0.271386
-1.066037	-2.220945	0.230221	0.000520	0.271044
-1.203230	-2.282062	0.235226	0.000553	0.270679
-1.463812	-2.304621	0.240230	0.000617	0.270373
-2.065523	-2.259251	0.245235	0.000764	0.270070
-2.552704	-2.211651	0.250240	0.000883	0.269869
-3.058349	-2.172765	0.255245	0.001007	0.269617
-3.097989	-2.177128	0.260250	0.001017	0.269566
-3.046444	-2.249600	0.265254	0.001004	0.269306
-3.533150	-2.159104	0.270259	0.001123	0.269284
-4.043035	-2.113596	0.275264	0.001248	0.269056
-4.345287	-2.052248	0.280269	0.001322	0.269063
-4.560094	-2.011994	0.285274	0.001375	0.269055
-4.561712	-2.008691	0.290278	0.001375	0.269067
-5.045125	-1.916694	0.295283	0.001493	0.269054
-5.107886	-1.903220	0.300288	0.001509	0.269058
-5.258439	-1.872102	0.305293	0.001546	0.269064
-5.007547	-1.923167	0.310298	0.001484	0.269057
-4.579953	-2.004081	0.315302	0.001380	0.269069
-4.470908	-2.079850	0.320307	0.001354	0.268842
-4.362208	-2.128780	0.325312	0.001327	0.268726
-3.912621	-2.264936	0.330317	0.001218	0.268526
-3.889354	-2.328233	0.335322	0.001212	0.268280
-4.280751	-2.295155	0.340326	0.001308	0.268096
-4.410715	-2.340430	0.345331	0.001340	0.267799
-4.424632	-2.377308	0.350336	0.001343	0.267633
-5.026925	-2.297063	0.355341	0.001491	0.267472
-5.341422	-2.292639	0.360346	0.001568	0.267231
-6.171875	-2.145916	0.365350	0.001770	0.267162
-6.806980	-2.023010	0.370355	0.001926	0.267153
-6.953258	-1.993372	0.375360	0.001961	0.267156
-7.279800	-1.866716	0.380365	0.002041	0.267418
-7.411896	-1.830711	0.385370	0.002074	0.267460
-7.416982	-1.826818	0.390374	0.002075	0.267472
-7.364095	-1.839371	0.395379	0.002062	0.267462
-7.062045	-1.898310	0.400384	0.001989	0.267464
-6.687542	-1.970083	0.405389	0.001897	0.267471
-6.111770	-2.085437	0.410394	0.001757	0.267461
-5.555023	-2.233589	0.415398	0.001621	0.267298
-5.685861	-2.259562	0.420403	0.001653	0.267081
-5.475076	-2.370204	0.425408	0.001602	0.266789
-5.817079	-2.362088	0.430413	0.001686	0.266540
-6.342322	-2.331500	0.435418	0.001814	0.266234
-6.804863	-2.247751	0.440422	0.001927	0.266203
-7.344600	-2.216493	0.445427	0.002059	0.265887
-7.750455	-2.137778	0.450432	0.002158	0.265882
-8.332935	-2.021482	0.455437	0.002301	0.265889
-8.643352	-1.962608	0.460442	0.002377	0.265880
-8.281832	-2.031035	0.465446	0.002288	0.265891
-8.558995	-1.978470	0.470451	0.002356	0.265882
-8.456140	-1.998038	0.475456	0.002331	0.265885
-8.315509	-2.023305	0.480461	0.002297	0.265894
-8.157150	-2.057645	0.485466	0.002258	0.265880
-7.739334	-2.146266	0.490470	0.002157	0.265852
-7.985890	-2.165751	0.495475	0.002217	0.265565
-7.854523	-2.195386	0.500480	0.002185	0.265548
-8.160746	-2.199258	0.505485	0.002260	0.265277
-8.616097	-2.112706	0.510490	0.002371	0.265264
-8.806749	-2.072502	0.515494	0.002418	0.265275
-9.553476	-2.003571	0.520499	0.002600	0.264945
-9.567247	-1.924799	0.525504	0.002604	0.265267
-9.647113	-1.906270	0.530509	0.002623	0.265278
-9.758521	-1.954945	0.535514	0.002651	0.264979
-9.547409	-1.954712	0.540518	0.002599	0.265156
-9.868248	-1.941762	0.545523	0.002678	0.264943
-9.235846	-2.066188	0.550528	0.002524	0.264942
-8.975985	-2.114445	0.555533	0.002460	0.264953
-8.784256	-2.226311	0.560538	0.002414	0.264638
-8.360459	-2.346623	0.565542	0.002310	0.264481
-8.995668	-2.267954	0.570547	0.002466	0.264284
-9.241370	-2.268723	0.575552	0.002526	0.264076
-9.278924	-2.296751	0.580557	0.002535	0.263925
-9.885186	-2.221406	0.585562	0.002683	0.263738
-10.016516	-2.213889	0.590566	0.002715	0.263659
-10.913926	-2.092281	0.595571	0.002935	0.263426
-11.253240	-2.025394	0.600576	0.003018	0.263426
-11.571919	-1.910282	0.605581	0.003096	0.263649
-11.400159	-1.923897	0.610586	0.003054	0.263735
-11.485995	-1.903509	0.615590	0.003075	0.263749
-11.593461	-1.884645	0.620595	0.003101	0.263739
-11.447937	-1.912463	0.625600	0.003066	0.263742
-11.382236	-1.923969	0.630605	0.003050	0.263748
-11.265278	-1.990911	0.635610	0.003021	0.263560
-11.624664	-1.950786	0.640614	0.003109	0.263430
-11.323095	-2.012107	0.645619	0.003036	0.263421
-10.930126	-2.088736	0.650624	0.002940	0.263423
-11.275448	-2.092558	0.655629	0.003025	0.263117
-11.503385	-2.052540	0.660634	0.003080	0.263096
-11.264394	-2.122824	0.665638	0.003022	0.262996
-11.687111	-2.084711	0.670643	0.003125	0.262803
-11.753827	-2.072281	0.675648	0.003142	0.262800
-11.664408	-2.143862	0.680653	0.003120	0.262569
-11.556105	-2.188482	0.685658	0.003094	0.262469
-11.747217	-2.200451	0.690662	0.003141	0.262256
-12.308647	-2.111249	0.695667	0.003278	0.262165
-12.017471	-2.179982	0.700672	0.003207	0.262116
-12.326146	-2.179018	0.705677	0.003283	0.261859
-12.549780	-2.138086	0.710682	0.003337	0.261846
-12.758310	-2.110134	0.715686	0.003388	0.261790
-12.987847	-2.122289	0.720691	0.003445	0.261543
