Sun Feb 26 13:57:28 2017

Number of Points = 3593
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.879800	-0.029716	0.000000	-0.000033	0.283619

0.721309	-0.000958	0.005005	0.000006	0.283609
0.633395	0.019828	0.010010	0.000027	0.283623
0.857471	-0.027547	0.015014	-0.000027	0.283609
0.925277	-0.039055	0.020019	-0.000044	0.283616
0.877142	-0.088209	0.025024	-0.000032	0.283384
0.781668	-0.093220	0.030029	-0.000009	0.283290
0.686807	-0.070462	0.035034	0.000015	0.283306
0.874376	-0.156456	0.040038	-0.000031	0.283111
0.916322	-0.198717	0.045043	-0.000041	0.282976
0.943338	-0.236451	0.050048	-0.000048	0.282847
0.665165	-0.224874	0.055053	0.000020	0.282676
0.749560	-0.279418	0.060058	-0.000000	0.282525
0.338492	-0.243551	0.065062	0.000100	0.282346
0.407482	-0.283734	0.070067	0.000084	0.282240
0.300438	-0.311872	0.075072	0.000110	0.282044
0.260252	-0.330407	0.080077	0.000120	0.281939
0.288592	-0.386826	0.085082	0.000113	0.281736
0.201319	-0.402979	0.090086	0.000134	0.281603
0.111807	-0.431449	0.095091	0.000156	0.281419
0.173097	-0.503139	0.100096	0.000141	0.281181
0.086436	-0.526480	0.105101	0.000163	0.281020
0.010888	-0.572903	0.110106	0.000181	0.280775
-0.077112	-0.608987	0.115110	0.000203	0.280561
-0.093203	-0.645944	0.120115	0.000207	0.280400
-0.212453	-0.683184	0.125120	0.000236	0.280157
-0.273866	-0.733659	0.130125	0.000251	0.279906
-0.184502	-0.796220	0.135130	0.000229	0.279726
-0.319731	-0.827215	0.140134	0.000263	0.279494
-0.398888	-0.882587	0.145139	0.000282	0.279209
-0.410046	-0.922778	0.150144	0.000285	0.279039
-0.607380	-0.947728	0.155149	0.000333	0.278782
-0.608477	-1.004851	0.160154	0.000334	0.278551
-0.815576	-1.023948	0.165158	0.000384	0.278310
-0.941329	-1.074107	0.170163	0.000415	0.278008
-1.050455	-1.104705	0.175168	0.000442	0.277797
-1.174944	-1.140691	0.180173	0.000472	0.277553
-1.127475	-1.203025	0.185178	0.000461	0.277338
-1.313796	-1.233143	0.190182	0.000506	0.277068
-1.424186	-1.279564	0.195187	0.000534	0.276791
-1.430329	-1.330711	0.200192	0.000535	0.276579
-1.426494	-1.398143	0.205197	0.000534	0.276308
-1.491110	-1.449419	0.210202	0.000550	0.276048
-1.796990	-1.451560	0.215206	0.000625	0.275794
-1.780178	-1.531684	0.220211	0.000621	0.275481
-1.853738	-1.574496	0.225216	0.000639	0.275248
-2.067191	-1.599651	0.230221	0.000691	0.274974
-2.223886	-1.622041	0.235226	0.000730	0.274756
