Sun Feb 26 14:33:18 2017

Number of Points = 3588
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.543801	-0.064920	0.000000	-0.000038	0.280649

1.698556	-0.143137	0.005005	-0.000076	0.280457
1.752260	-0.152490	0.010010	-0.000089	0.280461
1.588509	-0.122091	0.015014	-0.000049	0.280453
1.786206	-0.176127	0.020019	-0.000097	0.280392
1.733933	-0.224276	0.025024	-0.000084	0.280158
1.654513	-0.208656	0.030029	-0.000064	0.280157
1.486013	-0.228109	0.035034	-0.000023	0.279946
1.357200	-0.231561	0.040038	0.000009	0.279830
1.490728	-0.260716	0.045043	-0.000024	0.279818
1.316247	-0.300327	0.050048	0.000019	0.279521
1.189773	-0.274035	0.055053	0.000050	0.279526
1.203077	-0.329502	0.060058	0.000047	0.279314
1.209917	-0.356635	0.065062	0.000045	0.279209
1.264231	-0.403186	0.070067	0.000032	0.279065
1.244079	-0.417529	0.075072	0.000038	0.278991
1.209180	-0.494002	0.080077	0.000046	0.278655
1.423401	-0.575117	0.085082	-0.000006	0.278497
1.325602	-0.613074	0.090086	0.000018	0.278266
1.400088	-0.688663	0.095091	0.000000	0.278019
1.395334	-0.763323	0.100096	0.000002	0.277714
1.269931	-0.810148	0.105101	0.000032	0.277424
1.457719	-0.913115	0.110106	-0.000013	0.277156
1.297939	-0.962635	0.115110	0.000026	0.276828
1.160226	-1.004678	0.120115	0.000060	0.276547
1.175624	-1.087889	0.125120	0.000056	0.276221
1.096814	-1.151467	0.130125	0.000076	0.275899
1.108248	-1.232618	0.135130	0.000073	0.275577
0.917389	-1.275234	0.140134	0.000120	0.275250
0.785556	-1.327757	0.145139	0.000152	0.274930
0.652088	-1.380965	0.150144	0.000185	0.274605
0.733168	-1.473177	0.155149	0.000166	0.274292
0.665625	-1.520139	0.160154	0.000182	0.274045
0.641712	-1.612214	0.165158	0.000188	0.273648
0.635272	-1.696878	0.170163	0.000190	0.273295
0.583653	-1.775267	0.175168	0.000203	0.272931
0.543666	-1.857265	0.180173	0.000213	0.272560
0.514473	-1.940087	0.185178	0.000220	0.272195
0.451376	-2.033248	0.190182	0.000236	0.271759
0.388111	-2.113856	0.195187	0.000252	0.271374
0.234471	-2.179194	0.200192	0.000289	0.270978
0.079197	-2.241544	0.205197	0.000328	0.270592
0.049232	-2.334240	0.210202	0.000335	0.270183
-0.230133	-2.373528	0.215206	0.000404	0.269791
-0.408101	-2.421683	0.220211	0.000447	0.269444
