Sun Feb 26 13:31:21 2017

Number of Points = 3580
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.501591	0.013267	0.000000	0.000019	0.278995

1.501929	0.010713	0.005005	0.000019	0.278984
1.522104	0.008153	0.010010	0.000014	0.278989
1.423653	0.010112	0.015014	0.000038	0.278919
1.356825	-0.045034	0.020019	0.000055	0.278643
1.419358	-0.053905	0.025024	0.000040	0.278656
1.304429	-0.032966	0.030029	0.000068	0.278649
1.208301	-0.013535	0.035034	0.000092	0.278650
1.283401	-0.027172	0.040038	0.000074	0.278654
1.307917	-0.064397	0.045043	0.000068	0.278523
1.187023	-0.085234	0.050048	0.000098	0.278342
1.342189	-0.118785	0.055053	0.000060	0.278329
1.336539	-0.157378	0.060058	0.000062	0.278169
1.368316	-0.200820	0.065062	0.000054	0.278018
1.244938	-0.209113	0.070067	0.000084	0.277886
1.342932	-0.269127	0.075072	0.000061	0.277720
1.180399	-0.281587	0.080077	0.000101	0.277540
1.112331	-0.306600	0.085082	0.000118	0.277384
1.124143	-0.366819	0.090086	0.000115	0.277149
1.101464	-0.392969	0.095091	0.000121	0.277024
1.010514	-0.439772	0.100096	0.000143	0.276762
1.045628	-0.492784	0.105101	0.000135	0.276574
1.095161	-0.550710	0.110106	0.000123	0.276377
0.972063	-0.588003	0.115110	0.000153	0.276127
0.809540	-0.629852	0.120115	0.000193	0.275826
0.858179	-0.687588	0.125120	0.000182	0.275629
0.679199	-0.706840	0.130125	0.000226	0.275407
0.721944	-0.770075	0.135130	0.000215	0.275183
0.586300	-0.820510	0.140134	0.000249	0.274867
0.682187	-0.902461	0.145139	0.000226	0.274609
0.715180	-0.973905	0.150144	0.000218	0.274343
0.493799	-0.990770	0.155149	0.000272	0.274095
0.469266	-1.047119	0.160154	0.000278	0.273844
0.416371	-1.108031	0.165158	0.000292	0.273550
0.337250	-1.170284	0.170163	0.000311	0.273230
0.280120	-1.228828	0.175168	0.000325	0.272943
0.373937	-1.324272	0.180173	0.000303	0.272625
0.092322	-1.351915	0.185178	0.000372	0.272283
-0.185880	-1.363664	0.190182	0.000440	0.272008
-0.329600	-1.405645	0.195187	0.000475	0.271718
-0.435469	-1.446673	0.200192	0.000501	0.271461
-0.517965	-1.505929	0.205197	0.000522	0.271148
-0.681477	-1.545818	0.210202	0.000562	0.270849
-0.872228	-1.572339	0.215206	0.000609	0.270583
-0.864378	-1.633487	0.220211	0.000607	0.270335
-0.886325	-1.693551	0.225216	0.000613	0.270067
-0.970929	-1.745535	0.230221	0.000634	0.269781
-1.084733	-1.790252	0.235226	0.000662	0.269501
-1.089252	-1.854009	0.240230	0.000663	0.269231
-1.226812	-1.884269	0.245235	0.000697	0.268991
-1.373318	-1.923581	0.250240	0.000733	0.268706
-1.487007	-1.975213	0.255245	0.000761	0.268396
-1.785220	-1.988393	0.260250	0.000834	0.268095
-1.914155	-2.017854	0.265254	0.000866	0.267865
-2.238662	-2.011419	0.270259	0.000945	0.267624
-2.450052	-2.009546	0.275264	0.000997	0.267457
-2.837222	-2.007028	0.280269	0.001092	0.267147
-3.409310	-1.896857	0.285274	0.001232	0.267137
-3.670031	-1.891113	0.290278	0.001296	0.266945
-4.106948	-1.834815	0.295283	0.001403	0.266820
-4.209196	-1.810994	0.300288	0.001428	0.266835
-4.163258	-1.822846	0.305293	0.001417	0.266822
-4.085866	-1.836831	0.310298	0.001398	0.266827
