Sun Feb 26 13:21:31 2017

Number of Points = 3615
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.531677	-0.028122	0.000000	-0.000040	0.279541

0.511537	-0.025409	0.005005	-0.000034	0.279535
0.557470	-0.034804	0.010010	-0.000045	0.279533
0.719005	-0.064209	0.015014	-0.000085	0.279541
0.707321	-0.078974	0.020019	-0.000082	0.279472
0.488561	-0.096347	0.025024	-0.000028	0.279229
0.419721	-0.082610	0.030029	-0.000011	0.279229
0.619096	-0.134669	0.035034	-0.000059	0.279177
0.425829	-0.138714	0.040038	-0.000012	0.279007
0.243891	-0.104819	0.045043	0.000033	0.278999
0.247374	-0.154154	0.050048	0.000032	0.278803
0.136959	-0.165033	0.055053	0.000059	0.278671
0.065032	-0.160713	0.060058	0.000077	0.278631
-0.061905	-0.202950	0.065062	0.000108	0.278359
-0.016736	-0.215711	0.070067	0.000097	0.278343
0.016364	-0.281150	0.075072	0.000090	0.278105
-0.038226	-0.286987	0.080077	0.000103	0.278037
0.041205	-0.370998	0.085082	0.000084	0.277760
0.300784	-0.455964	0.090086	0.000021	0.277622
0.261819	-0.512706	0.095091	0.000031	0.277361
0.275409	-0.580979	0.100096	0.000028	0.277095
0.342200	-0.666097	0.105101	0.000012	0.276802
0.288835	-0.726204	0.110106	0.000025	0.276515
0.294744	-0.799101	0.115110	0.000024	0.276223
0.172271	-0.856430	0.120115	0.000054	0.275892
0.052852	-0.903984	0.125120	0.000083	0.275602
-0.076010	-0.951909	0.130125	0.000115	0.275303
-0.230767	-0.997315	0.135130	0.000153	0.274993
-0.320444	-1.047169	0.140134	0.000175	0.274717
-0.378733	-1.109713	0.145139	0.000190	0.274413
-0.351339	-1.177290	0.150144	0.000183	0.274158
-0.326996	-1.252185	0.155149	0.000178	0.273870
-0.440394	-1.315325	0.160154	0.000205	0.273519
-0.351586	-1.414016	0.165158	0.000184	0.273185
-0.443914	-1.482447	0.170163	0.000207	0.272829
-0.419451	-1.576277	0.175168	0.000201	0.272461
-0.318643	-1.696888	0.180173	0.000177	0.272045
-0.309871	-1.793278	0.185178	0.000175	0.271654
-0.417930	-1.865129	0.190182	0.000202	0.271268
-0.606604	-1.944300	0.195187	0.000248	0.270786
-0.822441	-1.990933	0.200192	0.000301	0.270416
-0.956428	-2.053192	0.205197	0.000334	0.270047
-1.386729	-2.058086	0.210202	0.000439	0.269675
-1.547912	-2.103247	0.215206	0.000479	0.269354
-1.735771	-2.130795	0.220211	0.000525	0.269084
-1.851005	-2.184390	0.225216	0.000553	0.268766
-2.323364	-2.170066	0.230221	0.000669	0.268437
-2.365255	-2.224648	0.235226	0.000680	0.268173
-2.405076	-2.276916	0.240230	0.000690	0.267921
-2.901000	-2.244293	0.245235	0.000811	0.267649
-3.005154	-2.270909	0.250240	0.000837	0.267450
-3.235785	-2.296209	0.255245	0.000893	0.267153
-3.920980	-2.191922	0.260250	0.001061	0.267025
-5.127668	-1.998060	0.265254	0.001356	0.266842
-5.314646	-1.963475	0.270259	0.001401	0.266832
-5.349157	-1.897882	0.275264	0.001410	0.267079
-5.592857	-1.831464	0.280269	0.001470	0.267156
-5.591376	-1.833167	0.285274	0.001470	0.267150
-6.111429	-1.728647	0.290278	0.001597	0.267159
-6.668586	-1.622156	0.295283	0.001733	0.267145
-6.337004	-1.623976	0.300288	0.001652	0.267411
-5.680587	-1.739755	0.305293	0.001492	0.267465
-5.239490	-1.855193	0.310298	0.001385	0.267344
-5.931913	-1.762372	0.315302	0.001554	0.267162
-5.498845	-1.850799	0.320307	0.001448	0.267147
-4.782628	-1.988724	0.325312	0.001274	0.267158
-4.519584	-2.111975	0.330317	0.001210	0.266857
-3.972476	-2.274031	0.335322	0.001076	0.266626
-3.845066	-2.380121	0.340326	0.001046	0.266284
-4.156509	-2.407012	0.345331	0.001122	0.265912
-4.672476	-2.383628	0.350336	0.001248	0.265582
-5.404096	-2.298465	0.355341	0.001427	0.265333
